doi,CR_status_code,full_text_SC,error
10.1139/apnm-2013-0297,200,200.0,
10.1139/apnm-2013-0061,200,200.0,
10.1139/apnm-2013-0341,200,200.0,
10.1139/apnm-2013-0140,200,200.0,
10.1139/apnm-2013-0139,200,200.0,
10.1139/apnm-2013-0044,200,200.0,
10.1139/apnm-2013-0034,200,200.0,
10.1139/apnm-2012-0306,200,200.0,
10.1139/apnm-2012-0384,200,200.0,
10.1139/apnm-2012-0504,200,200.0,
10.1139/apnm-2012-0459,200,200.0,
10.1139/apnm-2012-0467,200,200.0,
10.1139/apnm-2012-0389,200,200.0,
10.1139/apnm-2012-0421,200,200.0,
10.1139/apnm-2012-0281,200,200.0,
10.1139/apnm-2012-0226,200,200.0,
10.1139/apnm-2012-0178,200,200.0,
10.1139/apnm-2012-0244,200,200.0,
10.1139/apnm-2012-0361,200,200.0,
10.1139/apnm-2012-0220,200,200.0,
10.1139/apnm-2012-0136,200,200.0,
10.1139/apnm-2012-0104,200,200.0,
10.1139/apnm-2012-0216,200,200.0,
10.1139/apnm-2012-0154,200,200.0,
10.1139/h2012-111,200,200.0,
10.1139/h2012-105,200,200.0,
10.1139/h2012-093,200,200.0,
10.1139/h2012-108,200,200.0,
10.1139/h2012-098,200,200.0,
10.1139/h2012-096,200,200.0,
10.1139/y2012-106,200,200.0,
10.1139/h2012-082,200,200.0,
10.1139/h2012-078,200,403.0,
10.1139/h2012-076,200,403.0,
10.1139/h2012-057,200,403.0,
10.1139/h2012-056,200,403.0,
10.1139/h2012-053,200,403.0,
10.1139/h2012-048,200,403.0,
10.1139/h2012-047,200,403.0,
10.1139/h2012-044,200,403.0,
10.1139/h2012-028,200,403.0,
10.1139/h2012-036,200,403.0,
10.1139/h2012-011,200,403.0,
10.1139/h2012-001,200,403.0,
10.1139/h2012-003,200,403.0,
10.1139/h11-160,200,403.0,
10.1139/h11-156,200,403.0,
10.1139/h11-149,200,403.0,
10.1139/h11-147,200,403.0,
10.1139/h11-143,200,403.0,
10.1139/h11-120,200,403.0,
10.1139/h11-114,200,403.0,
10.1139/h11-109,200,403.0,
10.1139/h11-108,200,403.0,
10.1139/h11-100,200,403.0,
10.1139/h11-090,200,403.0,
10.1139/h10-107,200,403.0,
10.1139/h10-099,200,403.0,
10.1139/h10-096,200,403.0,
10.1139/h10-086,200,403.0,
10.1139/h10-084,200,403.0,
10.1139/h10-068,200,403.0,
10.1139/h10-058,200,403.0,
10.1139/h10-055,200,403.0,
10.1139/h10-030,200,403.0,
10.1139/h10-019,200,403.0,
10.1139/h10-015,200,403.0,
10.1139/h09-122,200,403.0,
10.1139/h09-129,200,403.0,
10.1139/h09-120,200,403.0,
10.1139/h09-124,200,403.0,
10.1139/h09-117,200,403.0,
10.1139/h09-107,200,403.0,
10.1139/h09-111,200,403.0,
10.1139/h09-104,200,403.0,
10.1139/h09-103,200,403.0,
10.1139/h09-099,200,403.0,
10.1139/h09-069,200,403.0,
10.1139/h09-067,200,403.0,
10.1139/h09-021,200,403.0,
10.1139/h09-018,200,403.0,
10.1139/h08-144,200,403.0,
10.1139/h08-137,200,403.0,
10.1139/h08-126,200,403.0,
10.1139/h08-134,200,403.0,
10.1139/h08-129,200,403.0,
10.1139/h08-109,200,403.0,
10.1139/h08-111,200,403.0,
10.1139/h08-099,200,403.0,
10.1139/h08-086,200,403.0,
10.1139/h08-077,200,403.0,
10.1139/h08-070,200,403.0,
10.1139/h08-046,200,403.0,
10.1139/h08-034,200,403.0,
10.1139/h08-053,200,403.0,
10.1139/h08-050,200,403.0,
10.1139/h08-010,200,403.0,
10.1139/h08-026,200,403.0,
10.1139/h08-012,200,403.0,
10.1139/h07-196,200,403.0,
10.1139/h07-188,200,403.0,
10.1139/h07-154,200,403.0,
10.1139/h07-135,200,403.0,
10.1139/apnm-2016-0269,200,403.0,
10.1139/apnm-2016-0248,200,403.0,
10.1139/apnm-2016-0275,200,403.0,
10.1139/apnm-2016-0107,200,403.0,
10.1139/apnm-2015-0693,200,403.0,
10.1139/h07-070,200,403.0,
10.1139/h07-066,200,403.0,
10.1139/h07-057,200,403.0,
10.1139/h07-037,200,403.0,
10.1139/h07-038,200,403.0,
10.1139/y07-039,200,403.0,
10.1139/h07-004,200,403.0,
10.1139/h07-007,200,403.0,
10.1139/h07-022,200,403.0,
10.1139/h06-106,200,403.0,
10.1139/h06-098,200,403.0,
10.1139/h06-073,200,403.0,
10.1139/h06-080,200,403.0,
10.1139/h06-028,200,403.0,
10.1139/h06-029,200,403.0,
10.1139/h06-023,200,403.0,
10.1139/h06-069,200,403.0,
10.1139/h06-017,200,403.0,
10.1139/h05-039,200,403.0,
10.1139/h06-012,200,403.0,
10.1139/h05-023,200,403.0,
10.1139/h05-005,200,403.0,
10.1139/h05-004,200,403.0,
10.1139/h05-006,200,403.0,
10.1139/h05-011,200,403.0,
10.1139/h05-016,200,403.0,
10.1139/y05-049,200,403.0,
10.1139/y05-054,200,403.0,
10.1139/h05-147,200,403.0,
10.1139/h05-151,200,403.0,
10.1139/h05-138,200,403.0,
10.1139/h05-131,200,403.0,
10.1139/h05-129,200,403.0,
10.1139/h05-140,200,403.0,
10.1139/h05-112,200,403.0,
10.1139/h2004-054,200,403.0,
10.1139/h2004-055,200,403.0,
10.1139/h04-040,200,403.0,
10.1139/h04-024,200,403.0,
10.1139/h04-003,200,403.0,
10.1139/h04-047,200,403.0,
10.1139/h04-044,200,403.0,
10.1139/h04-046,200,403.0,
10.1139/h04-048,200,403.0,
10.1139/h04-049,200,403.0,
10.1139/h03-063,200,403.0,
10.1139/h03-046,200,403.0,
10.1139/h03-030,200,403.0,
10.1139/h03-048,200,403.0,
10.1139/h03-050,200,403.0,
10.1139/h03-044,200,403.0,
10.1139/h03-047,200,403.0,
10.1139/h03-002,200,403.0,
10.1139/h03-022,200,403.0,
10.1139/h03-021,200,403.0,
10.1139/h03-005,200,403.0,
10.1139/h02-033,200,403.0,
10.1139/h02-034,200,403.0,
10.1139/h02-025,200,403.0,
10.1139/h02-019,200,403.0,
10.1139/h02-008,200,403.0,
10.1139/h01-029,200,403.0,
10.1139/h01-022,200,403.0,
10.1139/h01-001,200,403.0,
10.1139/h01-021,200,403.0,
10.1139/h00-019,200,403.0,
10.1139/y99-151,200,403.0,
10.1139/y99-093,200,403.0,
10.1139/h99-037,200,403.0,
10.1139/h99-029,200,403.0,
10.1139/h99-027,200,403.0,
10.1139/h99-005,200,403.0,
10.1139/h98-026,200,403.0,
10.1139/h98-024,200,403.0,
10.1139/h98-015,200,403.0,
10.1139/h98-005,200,403.0,
10.1139/h97-032,200,403.0,
10.1139/h97-031,200,403.0,
10.1139/h97-012,200,403.0,
10.1139/h97-008,200,403.0,
10.1139/y96-153,200,403.0,
10.1139/h96-006,200,403.0,
10.1139/h96-016,200,403.0,
10.1139/h96-025,200,403.0,
10.1139/h96-023,200,403.0,
10.1139/h96-008,200,403.0,
10.1139/h96-009,200,403.0,
10.1139/h96-012,200,403.0,
10.1139/h96-013,200,403.0,
10.1139/h96-005,200,403.0,
10.1139/h96-004,200,403.0,
10.1139/y95-241,200,403.0,
10.1139/h95-033,200,403.0,
10.1139/h95-037,200,403.0,
10.1139/h95-036,200,403.0,
10.1139/h95-024,200,403.0,
10.1139/h95-015,200,403.0,
10.1139/y95-014,200,403.0,
10.1139/y95-164,200,403.0,
10.1139/h94-036,200,403.0,
10.1139/h94-039,200,403.0,
10.1139/h94-022,200,403.0,
10.1139/h94-011,200,403.0,
10.1139/h94-013,200,403.0,
10.1139/h93-030,200,403.0,
10.1139/h93-032,200,403.0,
10.1139/h93-016,200,403.0,
10.1139/h93-014,200,403.0,
10.1139/h93-003,200,403.0,
10.1139/y93-019,200,403.0,
10.1139/y90-208,200,403.0,
10.1139/y87-203,200,403.0,
10.1139/y86-213,200,403.0,
10.1139/y83-151,200,403.0,
10.1139/y67-111,200,403.0,
10.1139/cjfas-57-s3-59,200,403.0,
10.1139/f2011-016,200,403.0,
10.1139/f07-079,200,403.0,
10.1139/cjfas-54-3-566,200,,'link'
10.1139/f02-046,200,403.0,
10.1139/z05-035,200,403.0,
10.1139/cjfas-58-6-1113,200,403.0,
10.1139/b05-004,200,403.0,
10.1139/cjfas-2013-0450,200,403.0,
10.1139/f05-126,200,403.0,
10.1139/z05-181,200,403.0,
10.1139/f05-007,200,403.0,
10.1139/f03-101,200,403.0,
10.1139/f09-062,200,403.0,
10.1139/f04-211,200,403.0,
10.1139/f11-009,200,403.0,
10.1139/cjfas-2019-0289,200,403.0,
10.1139/f07-007,200,403.0,
10.1139/f10-120,200,403.0,
10.1139/f08-080,200,403.0,
10.1139/z11-095,200,403.0,
10.1139/cjfas-55-9-2028,200,403.0,
10.1139/cjfas-58-6-1104,200,403.0,
10.1139/cjfas-53-9-2093,200,,'link'
10.1139/z02-054,200,403.0,
10.1139/cjz-78-8-1380,200,403.0,
10.1139/y93-128,200,403.0,
10.1139/h94-035,200,403.0,
10.1139/apnm-2015-0334,200,403.0,
10.1139/h07-078,200,403.0,
10.1139/apnm-2018-0633,200,403.0,
10.1139/h07-131,200,403.0,
10.1139/cjpp-77-11-909,200,403.0,
10.1139/h06-108,200,403.0,
10.1139/h94-006,200,403.0,
10.1139/h11-122,200,403.0,
10.1139/y92-053,200,403.0,
10.1139/cjpp-75-1-19,200,403.0,
10.1139/apnm-2015-0558,200,403.0,
10.1139/y91-039,200,403.0,
10.1139/h06-075,200,403.0,
10.1139/w07-027,200,403.0,
10.1139/apnm-2018-0662,200,403.0,
10.1139/apnm-2015-0261,200,403.0,
10.1139/apnm-2012-0489,200,403.0,
10.1139/h05-035,200,403.0,
10.1139/h97-028,200,403.0,
10.1139/y93-143,200,403.0,
10.1139/h08-031,200,403.0,
10.1139/h00-004,200,403.0,
10.1139/h04-033,200,403.0,
