doi,publisher_status_code,error,doi_suffix,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
10.1016/j.clnesp.2021.10.008,400,,j.clnesp.2021.10.008,https://doi.org/10.1016/j.clnesp.2021.10.008,Mediterranean diet quality index is associated with better cardiorespiratory fitness and reduced systolic blood pressure in adults: A cross-sectional study,journal-article,False,10/1/21,2021.0,Clinical Nutrition ESPEN,2405-4577,2405-4577,False,False,Elsevier BV,False,closed,False,,,[],[],2021-10-27T21:05:49.137808,2,"[{'given': 'Nastaran', 'family': 'Payandeh', 'sequence': 'first'}, {'ORCID': 'http://orcid.org/0000-0002-4499-4102', 'given': 'Hossein', 'family': 'Shahinfar', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Alireza', 'family': 'Jafari', 'sequence': 'additional'}, {'given': 'Nadia', 'family': 'Babaei', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-9134-7178', 'given': 'Kurosh', 'family': 'Djafarian', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Sakineh', 'family': 'Shab-Bidar', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.resp.2021.103723,400,,j.resp.2021.103723,https://doi.org/10.1016/j.resp.2021.103723,Effect of acute altitude exposure on ventilatory thresholds in recreational athletes,journal-article,False,11/1/21,2021.0,Respiratory Physiology & Neurobiology,1569-9048,1569-9048,False,False,Elsevier BV,False,closed,False,,,[],[],2021-07-03T18:25:03.264386,2,"[{'ORCID': 'http://orcid.org/0000-0002-2546-5862', 'given': 'Dominik', 'family': 'Schüttler', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Ludwig T.', 'family': 'Weckbach', 'sequence': 'additional'}, {'given': 'Wolfgang', 'family': 'Hamm', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-4951-104X', 'given': 'Florian', 'family': 'Maier', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-5813-3776', 'given': 'Sari', 'family': 'Kassem', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-1738-1295', 'given': 'Johannes', 'family': 'Schier', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-6009-960X', 'given': 'Korbinian', 'family': 'Lackermair', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Stefan', 'family': 'Brunner', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.resp.2021.103703,400,,j.resp.2021.103703,https://doi.org/10.1016/j.resp.2021.103703,Five repeated maximal efforts of apneas increase the time to exhaustion in subsequent high-intensity exercise,journal-article,False,10/1/21,2021.0,Respiratory Physiology & Neurobiology,1569-9048,1569-9048,False,False,Elsevier BV,False,closed,False,,,[],[],2021-06-07T03:31:02.581384,2,"[{'ORCID': 'http://orcid.org/0000-0002-8514-0605', 'given': 'Dimitrios I.', 'family': 'Bourdas', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Nickos D.', 'family': 'Geladas', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.resp.2021.103706,400,,j.resp.2021.103706,https://doi.org/10.1016/j.resp.2021.103706,Ventilatory adaptation during eccentric cycling in patients with severe COPD: Potential implications for exercise training,journal-article,False,10/1/21,2021.0,Respiratory Physiology & Neurobiology,1569-9048,1569-9048,False,False,Elsevier BV,False,closed,False,,,[],"[{'updated': '2022-05-24T00:51:05.045380', 'url': 'http://manuscript.elsevier.com/S1569904821000914/pdf/S1569904821000914.pdf', 'url_for_pdf': 'http://manuscript.elsevier.com/S1569904821000914/pdf/S1569904821000914.pdf', 'url_for_landing_page': 'https://doi.org/10.1016/j.resp.2021.103706', 'evidence': 'open (via crossref license, author manuscript)', 'license': 'elsevier-specific: oa user license', 'version': 'acceptedVersion', 'host_type': 'publisher', 'is_best': False, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-06-08'}]",2021-06-11T15:23:25.280161,2,"[{'given': 'Olympe', 'family': 'Nahmias', 'sequence': 'first'}, {'given': 'Ophélie', 'family': 'Ritter', 'sequence': 'additional'}, {'given': 'Yoshimasa', 'family': 'Sagawa', 'sequence': 'additional'}, {'given': 'Pauline', 'family': 'Roux', 'sequence': 'additional'}, {'given': 'Bruno', 'family': 'Degano', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-9251-066X', 'given': 'Thibaud', 'family': 'Soumagne', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.resp.2021.103691,400,,j.resp.2021.103691,https://doi.org/10.1016/j.resp.2021.103691,Effects of increased respiratory rate on cortical oxygenated hemoglobin during low-intensity exercise,journal-article,False,9/1/21,2021.0,Respiratory Physiology & Neurobiology,1569-9048,1569-9048,False,False,Elsevier BV,False,closed,False,,,[],[],2021-05-23T09:47:22.774498,2,"[{'given': 'Keiichi', 'family': 'Oyanagi', 'sequence': 'first'}, {'ORCID': 'http://orcid.org/0000-0003-4573-2267', 'given': 'Atsuhiro', 'family': 'Tsubaki', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.humov.2021.102849,400,,j.humov.2021.102849,https://doi.org/10.1016/j.humov.2021.102849,Cost of transport at preferred walking speeds are minimized while walking on moderately steep incline surfaces,journal-article,False,10/1/21,2021.0,Human Movement Science,0167-9457,0167-9457,False,False,Elsevier BV,False,closed,False,,,[],[],2021-08-09T21:02:29.956641,2,"[{'given': 'Alexis D.', 'family': 'Gidley', 'sequence': 'first'}, {'given': 'D. Eli', 'family': 'Lankford', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apergo.2021.103503,400,,j.apergo.2021.103503,https://doi.org/10.1016/j.apergo.2021.103503,Energy cost and knee extensor strength changes following multiple day military load carriage,journal-article,False,11/1/21,2021.0,Applied Ergonomics,0003-6870,0003-6870,False,False,Elsevier BV,False,closed,False,,,[],[],2021-07-06T02:26:19.756504,2,"[{'given': 'Scales', 'family': 'James', 'sequence': 'first'}, {'given': 'Coleman', 'family': 'Damian', 'sequence': 'additional'}, {'given': 'Brown', 'family': 'Mathew', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.yebeh.2021.108086,400,,j.yebeh.2021.108086,https://doi.org/10.1016/j.yebeh.2021.108086,Two-minute exercise testing is sufficient to estimate maximal cardiorespiratory fitness in people with epilepsy,journal-article,False,8/1/21,2021.0,Epilepsy & Behavior,1525-5050,1525-5050,False,False,Elsevier BV,False,closed,False,,,[],[],2021-06-07T21:02:04.151861,2,"[{'ORCID': 'http://orcid.org/0000-0001-6295-9792', 'given': 'Natan', 'family': 'Feter', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'César A.', 'family': 'Häfele', 'sequence': 'additional'}, {'given': 'Júlia', 'family': 'Cassuriaga', 'sequence': 'additional'}, {'given': 'Emily C.', 'family': 'Smith', 'sequence': 'additional'}, {'given': 'Vítor', 'family': 'Häfele', 'sequence': 'additional'}, {'given': 'Lucas', 'family': 'Rosseto', 'sequence': 'additional'}, {'given': 'Jeff S.', 'family': 'Coombes', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-6707-814X', 'given': 'Airton J.', 'family': 'Rombaldi', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Marcelo C.', 'family': 'da Silva', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.niox.2021.03.006,400,,j.niox.2021.03.006,https://doi.org/10.1016/j.niox.2021.03.006,Multiple-day high-dose beetroot juice supplementation does not improve pulmonary or muscle deoxygenation kinetics of well-trained cyclists in normoxia and hypoxia,journal-article,False,6/1/21,2021.0,Nitric Oxide,1089-8603,1089-8603,False,False,Elsevier BV,False,closed,False,,,[],[],2021-04-24T13:11:13.703531,2,"[{'ORCID': 'http://orcid.org/0000-0001-9793-5168', 'given': 'Torben', 'family': 'Rokkedal-Lausch', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Jesper', 'family': 'Franch', 'sequence': 'additional'}, {'given': 'Mathias K.', 'family': 'Poulsen', 'sequence': 'additional'}, {'given': 'Lars P.', 'family': 'Thomsen', 'sequence': 'additional'}, {'given': 'Eddie', 'family': 'Weitzberg', 'sequence': 'additional'}, {'given': 'Ernest N.', 'family': 'Kamavuako', 'sequence': 'additional'}, {'given': 'Dan S.', 'family': 'Karbing', 'sequence': 'additional'}, {'given': 'Ryan G.', 'family': 'Larsen', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.hlc.2021.01.004,400,,j.hlc.2021.01.004,https://doi.org/10.1016/j.hlc.2021.01.004,Decline Is Not Inevitable: Exercise Capacity Trajectory in an Australian and New Zealand Fontan Cohort,journal-article,False,9/1/21,2021.0,"Heart, Lung and Circulation",1443-9506,1443-9506,False,False,Elsevier BV,False,closed,False,,,[],[],2021-08-06T15:41:36.326409,2,"[{'given': 'Derek L.', 'family': 'Tran', 'sequence': 'first'}, {'given': 'Cameron', 'family': 'Rodrigues', 'sequence': 'additional'}, {'given': 'Karin', 'family': 'du Plessis', 'sequence': 'additional'}, {'given': 'Diana', 'family': 'Zannino', 'sequence': 'additional'}, {'given': 'Glen M.', 'family': 'Davis', 'sequence': 'additional'}, {'given': 'David S.', 'family': 'Celermajer', 'sequence': 'additional'}, {'given': 'Yves', 'family': ""d'Udekem"", 'sequence': 'additional'}, {'given': 'Rachael', 'family': 'Cordina', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.clnesp.2021.01.035,400,,j.clnesp.2021.01.035,https://doi.org/10.1016/j.clnesp.2021.01.035,Efficacy of dietary nitrate-rich beetroot juice supplementation in patients with chronic obstructive pulmonary disease (COPD): A systematic review and meta-analysis,journal-article,False,4/1/21,2021.0,Clinical Nutrition ESPEN,2405-4577,2405-4577,False,False,Elsevier BV,False,closed,False,,,[],[],2021-03-21T12:15:57.095024,2,"[{'given': 'Somia', 'family': 'Alshafie', 'sequence': 'first'}, {'given': 'Ghidaa Osama', 'family': 'El-Helw', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-4139-8812', 'given': 'Aya M.', 'family': 'Fayoud', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-8312-3959', 'given': 'Asmaa Ahmed', 'family': 'Elrashedy', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-4030-942X', 'given': 'Mohamed Ibrahim', 'family': 'Gbreel', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-0573-0577', 'given': 'Saba Saleh', 'family': 'Alfayoumi', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-2659-1553', 'given': 'Islam Mayhoub', 'family': 'Mohamed', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Gehad Taha', 'family': 'Abdelwadoud', 'sequence': 'additional'}, {'given': 'Alaa Saad', 'family': 'Isa', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-7273-9221', 'given': 'Khaled Mohamed', 'family': 'Ragab', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-3605-1101', 'given': 'Anas Zakarya', 'family': 'Nourelden', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apergo.2021.103371,400,,j.apergo.2021.103371,https://doi.org/10.1016/j.apergo.2021.103371,The effect of physical training modality on exercise performance with police-related personal protective equipment,journal-article,False,5/1/21,2021.0,Applied Ergonomics,0003-6870,0003-6870,False,False,Elsevier BV,False,closed,False,,,[],[],2021-01-26T01:11:37.204854,2,"[{'given': 'Lukas', 'family': 'Zwingmann', 'sequence': 'first'}, {'ORCID': 'http://orcid.org/0000-0001-8865-3951', 'given': 'Marco', 'family': 'Hoppstock', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Jan-Peter', 'family': 'Goldmann', 'sequence': 'additional'}, {'given': 'Patrick', 'family': 'Wahl', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.marenvres.2020.105224,400,,j.marenvres.2020.105224,https://doi.org/10.1016/j.marenvres.2020.105224,Contrasting effects of constant and fluctuating pCO2 conditions on the exercise physiology of coral reef fishes,journal-article,False,1/1/21,2021.0,Marine Environmental Research,0141-1136,0141-1136,False,False,Elsevier BV,False,closed,False,,,[],[],2021-01-17T06:57:55.785630,2,"[{'given': 'Kelly D.', 'family': 'Hannan', 'sequence': 'first'}, {'given': 'Shannon J.', 'family': 'McMahon', 'sequence': 'additional'}, {'given': 'Philip L.', 'family': 'Munday', 'sequence': 'additional'}, {'given': 'Jodie L.', 'family': 'Rummer', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.niox.2020.10.002,400,,j.niox.2020.10.002,https://doi.org/10.1016/j.niox.2020.10.002,The effect of dietary nitrate on exercise capacity in chronic kidney disease: a randomized controlled pilot study,journal-article,False,1/1/21,2021.0,Nitric Oxide,1089-8603,1089-8603,False,False,Elsevier BV,False,closed,False,,,[],[],2021-04-01T06:59:01.537235,2,"[{'given': 'Meghan G.', 'family': 'Ramick', 'sequence': 'first'}, {'given': 'Danielle L.', 'family': 'Kirkman', 'sequence': 'additional'}, {'given': 'Joseph M.', 'family': 'Stock', 'sequence': 'additional'}, {'given': 'Bryce J.', 'family': 'Muth', 'sequence': 'additional'}, {'given': 'William B.', 'family': 'Farquhar', 'sequence': 'additional'}, {'given': 'Julio A.', 'family': 'Chirinos', 'sequence': 'additional'}, {'given': 'Paschalis-Thomas', 'family': 'Doulias', 'sequence': 'additional'}, {'given': 'Harry', 'family': 'Ischiropoulos', 'sequence': 'additional'}, {'given': 'David G.', 'family': 'Edwards', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
