doi_suffix,file_path,pred_op-rr,pred_human,op-rr,human,eligible
00005768-199809000-00016,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-199809000-00016.txt,,,TRUE,TRUE,TRUE
00005768-199905000-00006,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-199905000-00006.txt,,,TRUE,TRUE,TRUE
00005768-200001000-00012,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200001000-00012.txt,,,FALSE,TRUE,FALSE
00005768-200008000-00020,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200008000-00020.txt,,,TRUE,TRUE,TRUE
00005768-200104000-00017,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200104000-00017.txt,,,TRUE,TRUE,TRUE
00005768-200107001-00005,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200107001-00005.txt,,,FALSE,TRUE,FALSE
00005768-200108000-00004,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200108000-00004.txt,,,TRUE,TRUE,TRUE
00005768-200110000-00020,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00005768-200110000-00020.txt,,,TRUE,TRUE,TRUE
00007256-199111060-00002,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-199111060-00002.txt,,,TRUE,TRUE,TRUE
00007256-199927060-00002,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-199927060-00002.txt,,,FALSE,TRUE,FALSE
00007256-200029040-00003,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-200029040-00003.txt,,,FALSE,TRUE,FALSE
00007256-200131130-00004,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-200131130-00004.txt,,,FALSE,FALSE,FALSE
00007256-200737040-00009,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-200737040-00009.txt,,,FALSE,TRUE,FALSE
00007256-200737040-00015,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-200737040-00015.txt,,,FALSE,TRUE,FALSE
00007256-200737040-00031,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/00007256-200737040-00031.txt,,,FALSE,TRUE,FALSE
0002-8703_._71_._90099-8,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._71_._90099-8.txt,,,FALSE,TRUE,FALSE
0002-8703_._74_._90496-7,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._74_._90496-7.txt,,,FALSE,TRUE,FALSE
0002-8703_._78_._90403-9,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._78_._90403-9.txt,,,FALSE,TRUE,FALSE
0002-8703_._86_._90693-9,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._86_._90693-9.txt,,,FALSE,TRUE,FALSE
0002-8703_._91_._90953-f,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._91_._90953-f.txt,,,TRUE,TRUE,TRUE
0002-8703_._92_._90753-i,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._92_._90753-i.txt,,,TRUE,TRUE,TRUE
0002-8703_._94_._90499-5,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-8703_._94_._90499-5.txt,,,TRUE,TRUE,TRUE
0002-9149_._68_._90126-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._68_._90126-4.txt,,,FALSE,TRUE,FALSE
0002-9149_._74_._90211-2,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._74_._90211-2.txt,,,FALSE,TRUE,FALSE
0002-9149_._74_._90217-3,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._74_._90217-3.txt,,,FALSE,TRUE,FALSE
0002-9149_._74_._90692-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._74_._90692-4.txt,,,TRUE,TRUE,TRUE
0002-9149_._78_._90169-8,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._78_._90169-8.txt,,,TRUE,TRUE,TRUE
0002-9149_._79_._90368-0,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._79_._90368-0.txt,,,TRUE,TRUE,TRUE
0002-9149_._82_._91250-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._82_._91250-4.txt,,,FALSE,TRUE,FALSE
0002-9149_._83_._90670-7,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._83_._90670-7.txt,,,TRUE,TRUE,TRUE
0002-9149_._84_._90385-0,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._84_._90385-0.txt,,,TRUE,TRUE,TRUE
0002-9149_._85_._90792-1,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._85_._90792-1.txt,,,FALSE,TRUE,FALSE
0002-9149_._85_._91069-0,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._85_._91069-0.txt,,,FALSE,TRUE,FALSE
0002-9149_._89_._90747-9,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._89_._90747-9.txt,,,TRUE,TRUE,TRUE
0002-9149_._92_._90591-l,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._92_._90591-l.txt,,,FALSE,TRUE,FALSE
0002-9149_._92_._90592-m,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._92_._90592-m.txt,,,FALSE,TRUE,FALSE
0002-9149_._92_._90619-a,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0002-9149_._92_._90619-a.txt,,,TRUE,TRUE,TRUE
0003-2670_._94_._00436-p,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0003-2670_._94_._00436-p.txt,,,,FALSE,FALSE
0003-4975_._95_._00701-l,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0003-4975_._95_._00701-l.txt,,,TRUE,TRUE,TRUE
0005-2728_._90_._90164-y,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0005-2728_._90_._90164-y.txt,,,FALSE,FALSE,FALSE
0006-2952_._95_._02168-x,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0006-2952_._95_._02168-x.txt,,,TRUE,FALSE,FALSE
0008-5472.can-11-3135,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0008-5472.can-11-3135.txt,,,TRUE,FALSE,FALSE
0008-5472.can-19-0500,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0008-5472.can-19-0500.txt,,,FALSE,TRUE,FALSE
0009-9236_._95_._90057-8,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0009-9236_._95_._90057-8.txt,,,FALSE,TRUE,FALSE
0010-406x_._67_._90491-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0010-406x_._67_._90491-4.txt,,,,FALSE,FALSE
0014-2999_._91_._90673-e,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0014-2999_._91_._90673-e.txt,,,,FALSE,FALSE
0021-9290_._91_._90178-p,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0021-9290_._91_._90178-p.txt,,,TRUE,TRUE,TRUE
0022-0981_._94_._90068-x,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0022-0981_._94_._90068-x.txt,,,,FALSE,FALSE
0026-0495_._82_._90135-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0026-0495_._82_._90135-4.txt,,,TRUE,TRUE,TRUE
0026-0495_._90_._90176-d,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0026-0495_._90_._90176-d.txt,,,TRUE,TRUE,TRUE
0026-0495_._93_._90209-7,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0026-0495_._93_._90209-7.txt,,,TRUE,TRUE,TRUE
0031-9384_._92_._90107-d,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0031-9384_._92_._90107-d.txt,,,TRUE,TRUE,TRUE
0031-9384_._92_._90438-8,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0031-9384_._92_._90438-8.txt,,,,FALSE,FALSE
0031-9384_._93_._90324-9,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0031-9384_._93_._90324-9.txt,,,,FALSE,FALSE
0033-0620_._74_._90008-5,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0033-0620_._74_._90008-5.txt,,,TRUE,TRUE,TRUE
0033-0620_._81_._90028-1,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0033-0620_._81_._90028-1.txt,,,FALSE,TRUE,FALSE
0033-0620_._88_._90015-1,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0033-0620_._88_._90015-1.txt,,,FALSE,TRUE,FALSE
0033-0620_._92_._90033-v,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0033-0620_._92_._90033-v.txt,,,FALSE,TRUE,FALSE
0034-5687_._81_._90008-6,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0034-5687_._81_._90008-6.txt,,,TRUE,TRUE,TRUE
0034-5687_._92_._90081-7,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0034-5687_._92_._90081-7.txt,,,TRUE,TRUE,TRUE
0034-5687_._95_._00023-7,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0034-5687_._95_._00023-7.txt,,,,FALSE,FALSE
0034-5687_._95_._00065-8,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0034-5687_._95_._00065-8.txt,,,,FALSE,FALSE
0044-8486_._93_._90011-m,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0044-8486_._93_._90011-m.txt,,,,FALSE,FALSE
0093-691x_._92_._90137-g,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0093-691x_._92_._90137-g.txt,,,,FALSE,FALSE
01.cir.102.13.1591,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.cir.102.13.1591.txt,,,FALSE,TRUE,FALSE
01.cir.87.4.1076,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.cir.87.4.1076.txt,,,TRUE,TRUE,TRUE
01.hcr.0000300263.07764.4a,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.hcr.0000300263.07764.4a.txt,,,FALSE,TRUE,FALSE
01.mss.0000074670.03001.98,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000074670.03001.98.txt,,,FALSE,TRUE,FALSE
01.mss.0000084422.49491.2c,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000084422.49491.2c.txt,,,TRUE,TRUE,TRUE
01.mss.0000089247.37563.4b,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000089247.37563.4b.txt,,,TRUE,TRUE,TRUE
01.mss.0000135794.01507.48,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000135794.01507.48.txt,,,TRUE,TRUE,TRUE
01.mss.0000185088.33669.fd,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000185088.33669.fd.txt,,,TRUE,TRUE,TRUE
01.mss.0000188450.82733.f0,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000188450.82733.f0.txt,,,TRUE,TRUE,TRUE
01.mss.0000230343.64000.ac,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000230343.64000.ac.txt,,,FALSE,TRUE,FALSE
01.mss.0000241641.75101.64,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000241641.75101.64.txt,,,FALSE,TRUE,FALSE
01.mss.0000246996.63976.5f,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.mss.0000246996.63976.5f.txt,,,TRUE,TRUE,TRUE
01.pep.0000154340.43505.91,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.pep.0000154340.43505.91.txt,,,TRUE,TRUE,TRUE
01.res.84.10.1203,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/01.res.84.10.1203.txt,,,TRUE,FALSE,FALSE
0140-6736_._92_._92492-x,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0140-6736_._92_._92492-x.txt,,,TRUE,TRUE,TRUE
0161-5890_._82_._90298-x,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0161-5890_._82_._90298-x.txt,,,FALSE,FALSE,FALSE
0166-445x_._95_._00007-q,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0166-445x_._95_._00007-q.txt,,,TRUE,FALSE,FALSE
0167-5273_._92_._90083-f,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0167-5273_._92_._90083-f.txt,,,TRUE,TRUE,TRUE
0167-5273_._95_._02428-y,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0167-5273_._95_._02428-y.txt,,,TRUE,TRUE,TRUE
0168-1656_._92_._90132-s,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0168-1656_._92_._90132-s.txt,,,,FALSE,FALSE
0168-8227_._90_._90177-u,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0168-8227_._90_._90177-u.txt,,,TRUE,TRUE,TRUE
0168-8278_._91_._90831-u,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0168-8278_._91_._90831-u.txt,,,,FALSE,FALSE
0256-307x_._38_._12_._124401,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0256-307x_._38_._12_._124401.txt,,,,FALSE,FALSE
02640410601175428,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/02640410601175428.txt,,,TRUE,TRUE,TRUE
02701367.2005.10599315,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/02701367.2005.10599315.txt,,,TRUE,TRUE,TRUE
0272-0590_._92_._90207-x,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0272-0590_._92_._90207-x.txt,,,,FALSE,FALSE
0278-4343_._93_._90098-i,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0278-4343_._93_._90098-i.txt,,,,FALSE,FALSE
0300-9629_._92_._90543-y,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0300-9629_._92_._90543-y.txt,,,,FALSE,FALSE
0300-9629_._92_._90631-y,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0300-9629_._92_._90631-y.txt,,,,FALSE,FALSE
0300-9629_._93_._90513-4,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0300-9629_._93_._90513-4.txt,,,,FALSE,FALSE
0300-9629_._95_._02058-6,/Users/antonhesse/Desktop/Anton/Education/UMN/Lab and Research/HSPL/CPET_scoping_review/data/cpet_articles/full_texts/txts/0300-9629_._95_._02058-6.txt,,,FALSE,TRUE,FALSE
