doi,_merge
10.1007/s10661-021-09181-0,right_only
10.1016/j.bbalip.2021.158988,right_only
10.1039/d1fo00524c,right_only
10.1007/s00421-021-04718-0,right_only
10.1016/j.jsams.2021.04.014,right_only
10.1016/j.jhevol.2021.103014,right_only
10.1002/adbi.202100484,right_only
10.1007/s00421-021-04702-8,right_only
10.1016/j.carbpol.2021.117992,right_only
10.1055/a-1403-2606,right_only
10.1152/ajpregu.00266.2020,right_only
10.1016/j.apmr.2021.02.007,right_only
10.1007/s00421-021-04624-5,right_only
10.1007/s00421-021-04648-x,right_only
10.1080/02640414.2021.1876313,right_only
10.1007/s00360-021-01341-5,right_only
10.1080/15438627.2021.1888107,right_only
10.1016/j.plantsci.2020.110798,right_only
10.1016/j.apmr.2021.01.075,right_only
10.1016/j.scitotenv.2021.144994,right_only
10.1016/j.ccm.2020.11.003,right_only
10.1123/ijspp.2020-0501,right_only
10.1123/ijspp.2020-0812,right_only
10.1002/cpcb.116,right_only
10.1086/713252,right_only
10.1111/sms.13929,right_only
10.1210/clinem/dgab052,right_only
10.1080/02640414.2020.1863644,right_only
10.1096/fj.202002106RR,right_only
10.1242/jeb.233056,right_only
10.1016/j.biochi.2020.12.021,right_only
10.1016/j.ecoenv.2020.111641,right_only
10.1111/sms.13914,right_only
10.1152/japplphysiol.00661.2020,right_only
10.1080/02640414.2020.1857507,right_only
10.1111/jfb.14641,right_only
10.1016/j.cbpa.2020.110851,right_only
10.1016/j.scitotenv.2020.143038,right_only
10.1080/02640414.2020.1823088,right_only
10.1080/17461391.2020.1824020,right_only
10.1080/17461391.2020.1783369,right_only
10.1080/17461391.2020.1775895,right_only
10.1111/jfb.14348,right_only
10.1080/17461391.2020.1736183,right_only
10.1519/JSC.0000000000003446,right_only
10.1519/JSC.0000000000003227,right_only
10.1519/JSC.0000000000003087,right_only
10.1519/JSC.0000000000002669,right_only
10.1519/JSC.0000000000002637,right_only
10.12047/j.cjap.6005.2020.100,right_only
10.26355/eurrev_202012_24211,right_only
10.1123/ijspp.2019-0952,right_only
10.1080/14763141.2020.1797153,right_only
10.1016/j.jtherbio.2020.102666,right_only
10.1086/709646,right_only
10.1016/j.scitotenv.2020.140128,right_only
10.1111/liv.14618,right_only
10.1016/j.gaitpost.2020.07.012,right_only
10.1016/j.cbpa.2020.110768,right_only
10.1016/j.lfs.2020.118073,right_only
10.1007/s00421-020-04429-y,right_only
10.1007/s10741-019-09841-x,right_only
10.1016/j.rehab.2019.07.006,right_only
10.1152/japplphysiol.00837.2019,right_only
10.1007/s11538-020-00754-7,right_only
10.1080/02640414.2020.1776929,right_only
10.1016/j.cbpa.2020.110742,right_only
10.1161/CIRCIMAGING.120.010567,right_only
10.1016/j.scitotenv.2020.139084,right_only
10.1016/j.cbpb.2020.110460,right_only
10.1016/j.cbi.2020.109123,right_only
10.1242/jeb.208306,right_only
10.1016/j.jtherbio.2020.102548,right_only
10.1016/j.metabol.2020.154228,right_only
10.1016/j.pulmoe.2019.10.004,right_only
10.1080/00140139.2020.1745899,right_only
10.23736/S0022-4707.20.10109-9,right_only
10.1016/j.toxicon.2020.02.022,right_only
10.1016/j.jtherbio.2019.102502,right_only
10.1089/met.2019.0069,right_only
10.1242/jeb.217125,right_only
10.1007/s10103-020-02973-9,right_only
10.1016/j.bbrc.2020.02.033,right_only
10.1016/j.physbeh.2020.112828,right_only
10.1093/femsle/fnaa003,right_only
10.1016/j.envpol.2020.114044,right_only
10.1080/17461391.2020.1712480,right_only
10.1007/s40279-019-01252-0,right_only
10.1016/j.neurobiolaging.2019.11.015,right_only
10.1016/j.scitotenv.2019.135751,right_only
10.1249/MSS.0000000000002212,right_only
10.1016/j.apmr.2019.10.184,right_only
10.1007/s40279-019-01223-5,right_only
10.1002/tox.22862,right_only
10.1016/j.rehab.2019.09.007,right_only
10.1080/00913847.2019.1684810,right_only
10.1007/s10695-019-00709-3,right_only
10.1007/s40279-019-01201-x,right_only
10.1139/cjpp-2019-0459,right_only
10.1016/j.jcmg.2019.08.008,right_only
10.1080/17461391.2019.1645212,right_only
10.1080/09638288.2018.1531943,right_only
10.1519/JSC.0000000000002710,right_only
10.1519/JSC.0000000000002221,right_only
10.1055/a-1005-8678,right_only
10.1007/s40279-019-01087-9,right_only
10.1167/iovs.19-28194,right_only
10.1016/j.scitotenv.2019.133913,right_only
10.12047/j.cjap.5803.2019.072,right_only
10.1007/978-3-030-27480-1_14,right_only
10.1007/s12576-019-00722-4,right_only
10.1080/15412555.2019.1674269,right_only
10.1021/acssynbio.9b00262,right_only
10.1080/02640414.2019.1651582,right_only
10.1007/s12350-019-01839-0,right_only
10.1111/jfb.14102,right_only
10.23736/S0022-4707.19.09530-6,right_only
10.1111/jfb.14092,right_only
10.1016/j.jhazmat.2019.120861,right_only
10.1242/jeb.206045,right_only
10.1111/jfb.14087,right_only
10.1016/j.bmc.2019.06.002,right_only
10.1093/hmg/ddz153,right_only
10.1016/j.mce.2019.110493,right_only
10.1007/s00442-019-04430-z,right_only
10.1002/jnr.24477,right_only
10.1016/j.chemosphere.2019.05.176,right_only
10.21091/mppa.2019.2014,right_only
10.1002/ppul.24293,right_only
10.1016/j.ntt.2019.106809,right_only
10.1016/j.hal.2019.04.007,right_only
10.1111/sms.13470,right_only
10.1016/j.mito.2019.05.002,right_only
10.1016/j.cbpb.2019.05.006,right_only
10.1016/j.ijcard.2019.04.053,right_only
10.1016/j.jbiomech.2019.03.033,right_only
10.1080/00913847.2019.1599588,right_only
10.1007/s10695-019-00630-9,right_only
10.1111/sms.13424,right_only
10.1123/pes.2018-0179,right_only
10.1016/j.scitotenv.2019.03.028,right_only
10.1021/acs.jafc.9b00395,right_only
10.1007/s00360-019-01212-0,right_only
10.1111/jphp.13086,right_only
10.1002/pmrj.12154,right_only
10.1016/j.sleep.2018.10.043,right_only
10.1111/exd.13823,right_only
10.1016/j.wasman.2018.11.011,right_only
10.1016/j.cbpa.2019.01.004,right_only
10.1242/jeb.191791,right_only
10.1242/jeb.187179,right_only
10.1097/EJA.0000000000000909,right_only
10.1016/j.jtherbio.2018.12.008,right_only
10.1123/ijspp.2018-0507,right_only
10.1007/s00360-018-1198-6,right_only
10.1111/aor.13403,right_only
10.1113/EP087360,right_only
10.1136/bjsports-2018-100082,right_only
10.23736/S0022-4707.18.09188-0,right_only
10.1111/jeb.13399,right_only
10.1007/s40279-018-1012-3,right_only
10.1113/EP087159,right_only
10.1139/apnm-2018-0523,right_only
10.1123/ijspp.2018-0163,right_only
10.1080/00207454.2018.1526798,right_only
10.1007/s00774-018-0949-5,right_only
10.1519/JSC.0000000000002766,right_only
10.1016/j.bbr.2018.07.015,right_only
10.1519/JSC.0000000000002680,right_only
10.1007/s12576-018-0619-3,right_only
10.1111/cpf.12513,right_only
10.23736/S0022-4707.17.07950-6,right_only
10.1519/JSC.0000000000001356,right_only
10.1007/s40279-018-0941-1,right_only
10.1021/acs.est.8b03408,right_only
10.5055/jem.2018.0381,right_only
10.1519/JSC.0000000000002900,right_only
10.1109/TNSRE.2018.2872889,right_only
10.1111/jfb.13663,right_only
10.1093/toxsci/kfy216,right_only
10.1007/s00421-018-3951-7,right_only
10.1016/j.lfs.2018.08.036,right_only
10.1007/s12020-018-1689-y,right_only
10.1016/j.cbpa.2018.07.027,right_only
10.1016/j.neuro.2018.07.003,right_only
10.1016/j.bcp.2018.06.023,right_only
10.1055/a-0592-7219,right_only
10.1055/a-0592-7660,right_only
10.1242/jeb.176719,right_only
10.1002/mc.22841,right_only
10.1002/nau.23710,right_only
10.1242/jeb.176545,right_only
10.1021/acs.biomac.8b00650,right_only
10.1007/s10534-018-0103-9,right_only
10.1249/JSR.0000000000000481,right_only
10.1007/s40279-018-0927-z,right_only
10.1016/j.envpol.2017.11.092,right_only
10.1007/s00431-018-3159-1,right_only
10.1242/jeb.168773,right_only
10.1111/jfb.13621,right_only
10.1139/apnm-2017-0826,right_only
10.1016/j.aquatox.2018.02.007,right_only
10.1007/s40279-018-0877-5,right_only
10.1016/j.jtherbio.2018.02.002,right_only
10.1016/j.chemosphere.2018.02.028,right_only
10.1123/ijsnem.2017-0337,right_only
10.1021/acs.jproteome.7b00761,right_only
10.1123/ijspp.2017-0184,right_only
10.1016/j.ypmed.2018.01.007,right_only
10.1016/j.nbd.2018.01.002,right_only
10.1093/gerona/glx244,right_only
10.1111/jfb.13507,right_only
10.1016/j.cbi.2017.11.016,right_only
10.1007/s40279-017-0820-1,right_only
10.1016/j.tox.2017.11.014,right_only
10.1016/j.metabol.2017.11.002,right_only
10.1007/s40279-017-0809-9,right_only
10.1007/s00360-017-1134-1,right_only
10.1242/jeb.165225,right_only
10.1086/694933,right_only
10.1080/00913847.2018.1402663,right_only
10.1016/j.jstrokecerebrovasdis.2017.09.061,right_only
10.1007/s10695-017-0438-0,right_only
10.1016/j.toxlet.2017.10.022,right_only
10.1007/s40279-017-0805-0,right_only
10.1080/15438627.2017.1393750,right_only
10.1016/j.cbpa.2017.10.016,right_only
10.1007/s40279-017-0794-z,right_only
10.1111/gcb.13928,right_only
10.1007/s40279-017-0789-9,right_only
10.1016/j.cellsig.2017.09.023,right_only
10.1111/cpf.12473,right_only
10.1016/j.ejim.2017.09.010,right_only
10.1111/cpf.12454,right_only
10.1111/sms.12945,right_only
10.1111/sms.12938,right_only
10.1080/09638288.2017.1287623,right_only
10.1007/s12576-017-0548-6,right_only
10.1080/02640414.2017.1326618,right_only
10.1007/s00360-017-1107-4,right_only
10.1123/ijspp.2017-0196,right_only
10.1002/jcp.25917,right_only
10.1111/cpf.12412,right_only
10.1519/JSC.0000000000001791,right_only
10.12047/j.cjap.5438.2017.053,right_only
10.1177/2047487317738592,right_only
10.1016/j.ridd.2017.09.021,right_only
10.1007/s00421-017-3691-0,right_only
10.1002/pmic.201700140,right_only
10.1097/CRD.0000000000000154,right_only
10.1016/j.msard.2017.06.003,right_only
10.1242/jeb.162644,right_only
10.1007/s40279-017-0761-8,right_only
10.1007/s40279-017-0760-9,right_only
10.1177/2047487317722434,right_only
10.1007/s00415-017-8568-y,right_only
10.1519/JSC.0000000000001667,right_only
10.1016/j.cbpa.2017.06.009,right_only
10.1016/j.aquatox.2017.06.001,right_only
10.1007/s10695-017-0390-z,right_only
10.1242/jeb.154021,right_only
10.1007/s40279-017-0739-6,right_only
10.1007/s40279-017-0737-8,right_only
10.1055/s-0042-123707,right_only
10.1242/jeb.150284,right_only
10.1123/ijspp.2017-0230,right_only
10.1016/j.taap.2017.04.024,right_only
10.1086/691694,right_only
10.1519/JSC.0000000000001928,right_only
10.1111/obr.12532,right_only
10.1016/j.cbpa.2017.04.002,right_only
10.1016/j.aquatox.2017.04.002,right_only
10.1111/jne.12474,right_only
10.1016/j.physbeh.2017.03.034,right_only
10.1016/j.physbeh.2017.03.028,right_only
10.1002/ejp.1033,right_only
10.1002/jnr.24050,right_only
10.1002/bit.26287,right_only
10.1007/s00449-017-1752-8,right_only
10.1016/j.neuropharm.2017.03.002,right_only
10.1016/j.ijcard.2017.02.046,right_only
10.1007/s40279-017-0708-0,right_only
10.1519/JSC.0000000000000892,right_only
10.1111/jfb.13273,right_only
10.1007/s40279-017-0685-3,right_only
10.1152/japplphysiol.01063.2016,right_only
10.1111/sms.12831,right_only
10.1152/ajpregu.00383.2016,right_only
10.1123/ijspp.2016-0749,right_only
10.1123/ijspp.2016-0205,right_only
10.1249/MSS.0000000000001204,right_only
10.1016/j.cardfail.2016.12.010,right_only
10.1016/j.freeradbiomed.2016.12.050,right_only
10.1111/sms.12809,right_only
10.1123/ijspp.2016-0322,right_only
10.1530/JME-16-0159,right_only
10.1123/ijspp.2016-0403,right_only
10.1080/02640414.2016.1261176,right_only
10.1016/j.chemosphere.2016.11.086,right_only
10.1519/JSC.0000000000001495,right_only
10.1080/00140139.2016.1261188,right_only
10.1530/JME-16-0078,right_only
10.1242/jeb.146993,right_only
10.1136/bjsports-2016-096159,right_only
10.1123/ijspp.2016-0404,right_only
10.1007/s11538-016-0230-9,right_only
10.1007/s00421-016-3498-4,right_only
10.1080/17483107.2016.1235620,right_only
10.1007/s40279-016-0622-x,right_only
10.1123/ijspp.2016-0015,right_only
10.1002/ajhb.22907,right_only
10.1089/ars.2016.6698,right_only
10.1007/s40279-016-0604-z,right_only
10.1007/s40279-016-0581-2,right_only
10.1136/bjsports-2015-095897,right_only
10.1071/RD15152,right_only
10.1021/acsami.9b15736,right_only
10.1021/acsami.9b15586,right_only
10.1039/c9nr03129d,right_only
10.1039/c9cp00548j,right_only
10.1039/c8cc09184f,right_only
10.1039/c8nr02450b,right_only
10.1021/acsami.7b19448,right_only
10.1021/acs.langmuir.8b00035,right_only
10.1039/c7dt03853d,right_only
10.1021/jacs.7b06409,right_only
10.1021/acs.inorgchem.7b00789,right_only
10.1016/j.pcad.2017.03.002,right_only
10.1002/chem.201700369,right_only
10.1021/acsami.6b16473,right_only
10.1021/acs.nanolett.6b04831,right_only
10.1086/708673,right_only
10.1007/s40279-016-0538-5,right_only
10.1109/EMBC.2016.7591841,right_only
10.7705/biomedica.v36i3.3148,right_only
10.1016/j.aquatox.2016.10.022,right_only
10.1016/j.canlet.2016.09.018,right_only
10.1016/j.wasman.2016.09.012,right_only
10.1002/adhm.201600559,right_only
10.1111/josh.12422,right_only
10.1139/apnm-2016-0095,right_only
10.1126/science.353.6296.206,right_only
10.1016/j.neuint.2016.07.003,right_only
10.1242/jeb.137513,right_only
10.1139/apnm-2015-0673,right_only
10.1007/s00125-016-4038-9,right_only
10.1093/jac/dkw244,right_only
10.1507/endocrj.EJ16-0126,right_only
10.1080/02640414.2015.1136071,right_only
10.1016/j.cbpa.2016.06.011,right_only
10.1016/j.jep.2016.06.024,right_only
10.1007/s40279-016-0570-5,right_only
10.1016/j.neuint.2016.05.012,right_only
10.1016/j.cbpa.2016.05.018,right_only
10.1242/jeb.134742,right_only
10.1016/j.jphotobiol.2016.04.014,right_only
10.1016/j.medengphy.2016.04.016,right_only
10.3892/mmr.2016.5257,right_only
10.1016/j.freeradbiomed.2016.05.002,right_only
10.1007/s40279-016-0536-7,right_only
10.1016/j.cbpa.2016.04.022,right_only
10.1007/s12013-016-0720-2,right_only
10.1021/acs.est.6b00276,right_only
10.1055/s-0042-101795,right_only
10.1007/s40279-016-0546-5,right_only
10.1002/cssc.201600106,right_only
10.1016/j.scitotenv.2016.03.209,right_only
10.1242/jeb.136358,right_only
10.5546/aap.2016.eng.120,right_only
10.1210/en.2015-1964,right_only
10.1123/IJSPP.2015-0405,right_only
10.1242/jeb.137166,right_only
10.1242/jeb.120816,right_only
10.1016/j.cbpa.2016.03.021,right_only
10.3357/AMHP.4399.2016,right_only
10.1152/ajpregu.00453.2015,right_only
10.1016/j.ijcard.2016.02.122,right_only
10.1002/jmri.25192,right_only
10.1007/s10103-016-1882-2,right_only
10.1159/000444025,right_only
10.1016/j.resp.2016.02.001,right_only
10.1016/j.envpol.2016.01.002,right_only
10.1016/j.cbpa.2016.01.007,right_only
10.1152/ajpregu.00515.2015,right_only
10.1016/j.taap.2015.12.005,right_only
10.1080/02640414.2015.1045927,right_only
10.1007/s00128-015-1697-z,right_only
10.1152/japplphysiol.00546.2015,right_only
10.1111/jfb.12804,right_only
10.1111/jfb.12790,right_only
10.1111/jfb.12788,right_only
10.1016/j.apmr.2015.09.023,right_only
10.1080/17461391.2015.1086817,right_only
10.1123/ijspp.2014-0602,right_only
10.1016/j.aquatox.2015.09.003,right_only
10.1017/S1368980015002566,right_only
10.1016/j.cbpa.2015.08.008,right_only
10.1080/00140139.2015.1082632,right_only
10.1002/etc.3168,right_only
10.1111/sms.12514,right_only
10.1016/j.jsams.2015.03.002,right_only
10.1111/jfd.12352,right_only
10.3109/19390211.2014.965867,right_only
10.1515/folmed-2015-0033,right_only
10.1097/BRS.0000000000001102,right_only
10.1111/sms.12573,right_only
10.1111/sms.12605,right_only
10.2340/16501977-2031,right_only
10.1242/jeb.125500,right_only
10.1002/jemt.22596,right_only
10.1111/sms.12552,right_only
10.1021/acs.jproteome.5b00575,right_only
10.2152/jmi.62.199,right_only
10.1016/j.biortech.2015.08.134,right_only
10.1016/j.neuroscience.2015.09.012,right_only
10.1007/s10863-015-9624-x,right_only
10.1242/jeb.124602,right_only
10.1088/1748-3190/10/5/056008,right_only
10.1016/j.pharep.2015.06.002,right_only
10.1016/j.ridd.2015.08.002,right_only
10.1242/jeb.125328,right_only
10.1519/JSC.0000000000001098,right_only
10.1021/acs.est.5b02451,right_only
10.1007/s00421-015-3218-5,right_only
10.1007/s00125-015-3690-9,right_only
10.3892/or.2015.4092,right_only
10.1249/MSS.0000000000000723,right_only
10.1519/JSC.0000000000000831,right_only
10.1016/j.watres.2015.04.035,right_only
10.1016/j.jbi.2015.06.008,right_only
10.1080/02701367.2015.1043229,right_only
10.1210/jc.2015-1996,right_only
10.3305/nh.2015.31.6.8977,right_only
10.1519/JSC.0000000000000784,right_only
10.1016/j.aquatox.2015.05.008,right_only
10.1007/s00360-015-0911-y,right_only
10.1007/s00360-015-0908-6,right_only
10.1055/s-0034-1390466,right_only
10.1139/apnm-2014-0370,right_only
10.1519/JSC.0000000000000977,right_only
10.1152/japplphysiol.01021.2014,right_only
10.1152/japplphysiol.00254.2015,right_only
10.1002/cssc.201403426,right_only
10.1111/mmi.13013,right_only
10.1016/j.apergo.2015.01.001,right_only
10.1093/jac/dkv054,right_only
10.3109/10715762.2015.1006216,right_only
10.1016/j.jjcc.2014.12.020,right_only
10.1242/jeb.114579,right_only
10.1053/j.semnuclmed.2014.10.002,right_only
10.1016/j.physbeh.2015.01.036,right_only
10.1242/jeb.114363,right_only
10.1016/j.ijcard.2015.01.029,right_only
10.1055/s-0034-1390431,right_only
10.1123/ijspp.2014-0431,right_only
10.1016/j.neulet.2015.01.006,right_only
10.1007/s00421-014-3096-2,right_only
10.1007/s00421-014-3086-4,right_only
10.1007/s00421-014-3070-z,right_only
10.1016/j.ecoenv.2014.10.005,right_only
10.1007/s11010-014-2284-z,right_only
10.1080/02640414.2014.962573,right_only
10.1152/japplphysiol.00061.2014,right_only
10.1123/ijspp.2014-0179,right_only
10.1177/2047487314553780,right_only
10.1007/s40279-014-0261-z,right_only
10.1093/gerona/glu147,right_only
10.1007/s10695-014-9982-z,right_only
10.1007/s40279-014-0246-y,right_only
10.1249/MSS.0000000000000464,right_only
10.1016/j.jsams.2014.05.003,right_only
10.1136/bjsports-2012-091907,right_only
10.1590/S0325-00752014000200005,right_only
10.1109/EMBC.2014.6944056,right_only
10.7205/MILMED-D-14-00205,right_only
10.1016/j.bbrc.2014.11.005,right_only
10.1039/c4em00243a,right_only
10.1007/s00210-014-1052-7,right_only
10.1080/08997659.2014.902873,right_only
10.3233/BME-141097,right_only
10.1111/jfb.12511,right_only
10.1111/gcb.12718,right_only
10.1055/s-0034-1382056,right_only
10.1111/obr.12202,right_only
10.1007/s00253-014-5989-8,right_only
10.1007/s00421-014-2960-4,right_only
10.1242/jeb.105908,right_only
10.1016/j.aquatox.2014.06.012,right_only
10.1016/j.biortech.2014.06.039,right_only
10.1152/japplphysiol.00119.2014,right_only
10.1111/jnc.12811,right_only
10.1111/nph.12903,right_only
10.1095/biolreprod.114.118471,right_only
10.1016/j.ejphar.2014.06.008,right_only
10.1016/j.biortech.2014.05.091,right_only
10.1021/es501058q,right_only
10.1016/j.cbi.2014.05.020,right_only
10.1016/j.biortech.2014.05.024,right_only
10.1088/0967-3334/35/7/1439,right_only
10.1016/j.jep.2014.05.024,right_only
10.1016/j.chemosphere.2014.02.060,right_only
10.1007/s40279-014-0199-1,right_only
10.1139/apnm-2014-0011,right_only
10.1139/apnm-2013-0565,right_only
10.1139/apnm-2013-0587,right_only
10.1139/apnm-2013-0549,right_only
10.1139/apnm-2013-0530,right_only
10.1139/apnm-2013-0501,right_only
10.1016/j.biortech.2014.03.100,right_only
10.1152/ajplung.00275.2013,right_only
10.1016/j.lfs.2014.03.023,right_only
10.1111/gcb.12585,right_only
10.2166/wst.2013.771,right_only
10.1242/jeb.101147,right_only
10.1016/j.bbrc.2014.03.004,right_only
10.1007/s00421-014-2860-7,right_only
10.1055/s-0034-1367064,right_only
10.12678/1089-313X.18.1.12,right_only
10.1007/s40279-014-0157-y,right_only
10.1016/j.watres.2013.12.035,right_only
10.1016/j.cbpa.2014.02.004,right_only
10.1123/ijspp.2013-0423,right_only
10.1007/s00449-014-1129-1,right_only
10.1519/JSC.0b013e31829b56b1,right_only
10.1152/japplphysiol.00121.2013,right_only
10.1249/MSS.0b013e3182a63b81,right_only
10.1123/ijspp.2013-0374,right_only
10.1080/17461391.2013.876102,right_only
10.1016/j.gene.2013.11.048,right_only
10.1007/s11010-013-1905-2,right_only
10.1097/MAT.0000000000000027,right_only
10.3109/10715762.2013.867959,right_only
10.1016/j.metabol.2013.10.004,right_only
10.1016/j.jsams.2013.09.014,right_only
10.1242/jeb.089268,right_only
10.1007/s40279-013-0108-z,right_only
10.1007/s40279-013-0115-0,right_only
10.1109/TNSRE.2013.2280301,right_only
10.1242/jeb.085811,right_only
10.1519/JSC.0000000000000254,right_only
10.1249/MSS.0000000000000178,right_only
10.1123/ijspp.2013-0302,right_only
10.1123/ijspp.2013-0373,right_only
10.1055/s-0033-1353141,right_only
10.1093/ehjci/jet171,right_only
10.1016/j.resp.2013.08.022,right_only
10.1016/j.jsams.2013.07.010,right_only
10.1519/JSC.0b013e3182a73c0e,right_only
10.1007/s00449-013-1022-3,right_only
10.1055/s-0033-1349872,right_only
10.1249/MSS.0b013e3182a53594,right_only
10.1519/JSC.0b013e3182a1fe28,right_only
10.1177/1367493513486964,right_only
10.1111/sms.12032,right_only
10.1111/j.1600-0838.2012.01524.x,right_only
10.1111/j.1600-0838.2012.01479.x,right_only
10.1139/apnm-2013-0055,right_only
10.1002/psc.2571,right_only
10.1016/j.lfs.2013.09.022,right_only
10.1016/j.tube.2013.09.002,right_only
10.1556/APhysiol.100.2013.3.5,right_only
10.1139/apnm-2013-0364,right_only
10.1016/j.bcp.2013.08.064,right_only
10.1021/am4016445,right_only
10.1016/j.jbiomech.2013.06.020,right_only
10.1242/jeb.087361,right_only
10.1016/j.prrv.2012.08.005,right_only
10.1152/japplphysiol.01333.2012,right_only
10.1136/bjsports-2013-092157,right_only
10.1016/j.jbiomech.2013.07.005,right_only
10.1016/j.ridd.2013.07.005,right_only
10.1111/sms.12092,right_only
10.1016/j.bbrc.2013.07.055,right_only
10.1016/j.scitotenv.2013.06.077,right_only
10.1016/j.bios.2013.06.031,right_only
10.1007/s40279-013-0066-5,right_only
10.1242/jeb.091199,right_only
10.1152/japplphysiol.01407.2012,right_only
10.1016/j.abb.2013.06.008,right_only
10.1016/j.apmr.2013.05.020,right_only
10.1159/000345815,right_only
10.1242/jeb.083089,right_only
10.1111/jfb.12120,right_only
10.1139/apnm-2012-0362,right_only
10.1016/j.medengphy.2013.04.004,right_only
10.1242/jeb.086546,right_only
10.1242/jeb.084244,right_only
