txt_file,o2_uptake,vo2_units,gas_collection_methods,estimated_vo2,gas_data
fphys.2021.672403,True,True,False,False,m
hrt.61.5.421,True,True,False,False,m
s12884-015-0474-7,True,False,False,False,m
jc.2010-2735,True,True,False,False,m
s00421-011-2156-0,False,False,False,False,n
s00421-013-2694-8,True,True,True,False,y
bf01094801,True,False,False,False,m
s12020-014-0210-5,True,True,False,False,m
sports3010012,True,True,True,False,y
j.jelekin.2014.10.005,True,True,False,False,m
fspor.2020.549407,True,True,False,False,m
ijerph18020777,True,True,True,False,y
s12889-020-08969-y,True,True,False,True,m
s00421-012-2504-8,True,True,True,False,y
srep44590,True,True,True,False,y
jpah.2014-0535,True,True,True,True,y
s-0030-1248286,True,True,True,False,y
fphys.2018.00919,True,False,False,True,m
bjsm.13.4.165,True,False,True,False,y
17461391.2018.1449892,True,True,True,True,y
s00421-008-0735-5,True,True,False,False,m
mss.0b013e31828f9bbb,True,False,True,False,y
thx.35.9.680,True,False,False,False,m
en.2003-1319,True,False,False,True,m
euhj.1997.0853,True,True,True,False,y
s40798-020-00246-x,True,True,False,False,m
j.cardfail.2010.05.003,True,True,True,False,y
journal.pone.0123101,True,True,True,False,y
journal.pone.0123115,True,False,False,False,m
23120541.00153-2019,True,True,False,False,m
s12883-016-0686-0,True,True,True,False,y
apnm-2017-0212,True,True,False,False,m
thx.46.11.824,True,True,False,False,m
bjsm.29.3.158,True,True,False,False,m
nu12092888,True,True,False,False,m
ijerph17134636,True,True,True,True,y
02640414.2016.1182199,True,True,True,False,y
sports3040369,True,True,False,False,m
s004210050239,True,False,False,False,m
j.amjcard.2008.05.020,True,True,True,False,y
sj.ijo.0800393,True,False,False,False,m
s00592-020-01600-x,False,False,False,False,n
ajpendo.00380.2016,True,False,False,False,m
jbc.m115.664813,True,False,False,False,m
fnins.2019.00051,True,True,True,False,y
s10695-015-0184-0,True,False,False,False,m
s00421-003-0846-y,True,False,False,False,m
bf00235184,True,False,False,False,m
s10286-005-0251-1,False,False,False,False,n
jeb.02346,True,False,False,False,m
17461390802116708,True,True,True,False,y
fphys.2019.00365,True,True,True,True,y
j.jadohealth.2003.06.003,True,False,True,False,y
jhse.2018.13.proc2.24,True,True,False,True,m
journal.pone.0255952,True,False,True,True,y
bf02335931,True,False,False,False,m
s-0032-1304640,True,True,True,False,y
s004210050563,False,False,False,False,n
s004210000340,True,False,False,False,m
physrevb.93.125132,True,False,False,False,m
j.burns.2016.11.004,True,True,True,False,y
s004210100432,True,True,True,True,y
s40064-015-1144-y,True,True,True,False,y
pbc.27703,True,False,True,False,y
s004210050211,False,False,False,False,n
s00421-017-3590-4,True,True,False,False,m
s00421-003-1030-0,False,False,False,False,n
s13075-018-1605-0,True,True,True,False,y
1414-431x20155061,True,True,True,True,y
journal.pntd.0002983,True,True,False,True,m
journal.pone.0148010,True,True,False,True,m
bf03347043,True,True,False,True,m
s00421-003-0971-7,True,False,False,False,m
jeb.02347,True,True,False,False,m
bjsm.2004.014464,True,True,True,False,y
j.jsams.2020.06.004,True,True,True,False,y
01.res.0000250430.62775.99,True,False,False,False,m
metabo11010004,True,True,False,False,m
s00421-018-3809-z,True,True,False,False,m
s00424-003-1174-0,True,False,False,False,m
bf00690902,False,False,False,False,n
23120541.00581-2021,True,True,True,False,y
s00421-003-0803-9,True,True,False,False,m
eje-14-0204,True,False,True,True,y
s004210100427,True,True,False,False,m
fphys.2021.637406,True,True,True,False,y
s00421-008-0758-y,True,True,True,False,y
jpa2.30.161,True,False,False,False,m
s00421-013-2774-9,True,False,False,False,m
nu11123051,True,True,True,False,y
nu12040930,True,True,False,False,m
bf00418502,True,False,False,False,m
s00421-019-04133-6,False,False,False,False,n
1471-2350-11-84,True,False,False,False,m
00007256-198401020-00001,True,True,True,True,y
bf00422852,True,False,False,False,m
j.exger.2012.03.004,True,True,False,False,m
fendo.2021.658311,True,True,False,False,m
s004210050238,True,True,False,False,m
actascihealthsci.v34i2.9333,True,True,True,False,y
000329174,True,True,False,True,m
s00392-015-0950-0,True,True,False,False,m
jhse.2018.13.proc2.19,True,True,True,False,y
09031936.98.11040854,True,True,False,False,m
journal.pone.0216842,True,True,False,False,m
jpts.26.1059,True,True,True,False,y
s00406-020-01200-4,True,False,False,False,m
s40101-016-0122-6,True,True,False,False,m
jad-2012-121078,True,False,True,True,y
17461391.2018.1484177,True,False,False,True,m
fphys.2016.00536,True,True,True,True,y
s41440-019-0392-6,True,True,False,False,m
s00394-021-02510-6,True,True,True,False,y
jer.1734962.481,True,True,False,True,m
apnm-2017-0207,True,True,False,False,m
k.52.2.12,True,True,True,False,y
sci19-00060,True,True,True,False,y
bf00696368,True,True,True,False,y
mss.0b013e31829af603,True,True,False,False,m
s00484-013-0754-8,True,True,True,True,y
j.jvs.2019.04.493,True,False,False,False,m
s41598-020-61199-5,True,True,True,False,y
bjsm.29.3.165,True,True,False,True,m
j.ultrasmedbio.2016.07.003,True,True,False,False,m
j.jvs.2011.01.077,True,False,False,False,m
bf00422891,False,False,False,False,n
bjsm.32.1.44,True,True,False,False,m
s-0042-110654,True,True,False,True,m
s00421-017-3612-2,True,False,True,False,y
17461391.2018.1472811,True,True,False,False,m
s40798-019-0228-6,True,True,False,True,m
cpf.12442,True,False,False,True,m
s00421-002-0725-y,True,True,True,False,y
sj.ejcn.1601295,True,True,True,True,y
02640414.2016.1267386,True,True,True,True,y
jsc.0000000000001638,True,True,False,True,m
2045-9912-2-12,True,True,True,False,y
mss.0000000000002181,True,True,False,True,m
bf00383753,True,True,True,False,y
ijspp.2018-0876,True,False,False,False,m
s12574-012-0150-0,True,False,False,False,m
s00421-003-0834-2,True,True,False,False,m
s004200050308,True,False,False,False,m
bf00868134,True,False,False,False,m
s00421-006-0235-4,True,True,True,True,y
01.cir.0000159261.11520.63,True,True,False,False,m
ijspp.2020-0594,True,True,True,True,y
s1807-59322011000700003,True,True,True,False,y
s00421-012-2508-4,True,True,True,True,y
j.jneumeth.2011.05.024,True,True,False,False,m
s12967-020-02592-6,True,True,True,False,y
jbc.m209702200,True,False,False,False,m
s00421-010-1439-1,True,True,False,True,m
journal.pone.0094345,True,False,False,True,m
s00421-007-0614-5,True,False,True,False,y
bjsm.28.1.18,True,False,False,False,m
1745-6215-15-459,True,False,True,True,y
s00421-022-04917-3,True,True,True,False,y
s00125-007-0727-8,True,False,False,False,m
bf02692207,True,False,False,False,m
bjsm.30.3.238,True,True,True,True,y
jeb.151019,True,False,False,True,m
s00421-014-2937-3,True,True,True,True,y
s00421-013-2798-1,False,False,False,False,n
jappl.1997.82.3.908,True,True,False,True,m
s1517-86922013000400009,True,True,False,True,m
bf00705064,True,False,False,False,m
s00421-007-0596-3,True,True,True,False,y
j.ebiom.2019.06.003,True,False,False,False,m
fphys.2022.839996,True,True,True,True,y
s41393-020-0470-2,True,False,False,True,m
japplphysiol.00714.2018,True,False,True,True,y
oajsm.s39632,True,False,False,False,m
jpet.113.208017,True,False,False,False,m
s00421-014-2890-1,True,True,True,False,y
bf00421624,False,False,False,False,n
bjsm.25.4.227,True,True,False,False,m
s00421-007-0441-8,True,False,False,False,m
s1516-31802006000500010,True,True,True,False,y
physzool.67.4.30163869,False,False,False,False,n
journal.pone.0252386,True,True,True,True,y
s004210050600,True,False,False,False,m
s1517-86922011000400012,True,True,False,True,m
s00421-003-0877-4,True,True,True,True,y
journal.pone.0097704,True,True,False,True,m
319668a0,True,False,True,True,y
s11695-010-0109-z,True,True,True,False,y
ham.2014.1027,True,True,True,False,y
s004210050614,True,True,False,True,m
j.humov.2015.01.014,True,False,False,False,m
s1517-86922011000500012,True,True,False,False,m
fphys.2012.00406,True,True,True,True,y
nu6020605,True,True,True,True,y
s12970-017-0191-x,True,True,True,False,y
kp.2013.0256,True,True,False,False,m
s000711450999287x,True,False,True,True,y
jc.2015-1196,True,True,True,True,y
bf00964120,False,False,False,False,n
s00167-009-0822-0,False,False,False,False,n
bf00426942,True,False,False,False,m
s00421-002-0779-x,True,True,True,False,y
j.athoracsur.2015.04.028,True,True,True,False,y
1472-6793-4-9,True,True,True,False,y
s1517-86922012000100004,True,True,False,True,m
s00125-015-3582-z,True,False,False,False,m
bf00233866,True,True,True,False,y
bf00964134,True,False,False,False,m
j.resp.2012.10.007,True,True,True,False,y
s00421-004-1232-0,True,True,True,False,y
s00421-013-2803-8,True,False,False,False,m
fspor.2020.00067,True,False,False,False,m
s00198-003-1512-2,False,False,False,False,n
s00421-009-1128-0,True,False,False,False,m
s00421-008-0879-3,True,True,False,True,m
s00421-011-2214-7,True,False,False,False,m
fphys.2021.628863,True,False,True,True,y
circheartfailure.116.003694,True,True,False,False,m
nu6051981,True,False,True,False,y
fphys.2016.00132,True,False,False,False,m
s0066-782x2009001200007,True,True,False,True,m
s00424-002-0918-6,True,False,False,False,m
01.cir.90.6.2877,True,True,True,False,y
02640414.2018.1442781,True,True,False,False,m
s004210050199,True,False,False,False,m
01.cir.101.23.2727,True,False,True,False,y
fphys.2014.00005,True,True,True,False,y
s00702-009-0270-5,False,False,False,False,n
s00421-010-1474-y,True,True,False,False,m
mss.0000000000000609,True,False,True,False,y
s13102-015-0023-8,True,True,False,False,m
s13102-018-0101-9,True,True,False,False,m
s00421-002-0616-2,True,False,True,True,y
01.cir.98.18.1886,True,True,True,False,y
s11259-011-9510-x,True,True,False,False,m
s12890-016-0360-8,True,True,True,False,y
bf00601809,True,False,True,False,y
journal.pone.0084208,True,True,True,True,y
s00421-003-0875-6,False,False,False,False,n
s004210050402,True,False,False,False,m
j.jtcvs.2008.12.027,True,True,True,False,y
s004210050364,True,False,False,False,m
1472-6963-7-36,True,False,True,True,y
journal.pone.0166299,True,True,False,False,m
s00421-003-0830-6,False,False,False,False,n
milmed-d-10-00003,True,True,False,False,m
s0100-879x2005000400019,True,True,False,False,m
journal.pone.0205976,True,True,True,False,y
ijspp.2021-0190,True,True,True,False,y
s00421-006-0252-3,True,True,True,False,y
j.jtherbio.2013.04.005,True,True,False,False,m
sports8010003,True,True,False,False,m
bf00262817,True,False,False,False,m
s00421-003-0977-1,True,True,False,False,m
s00421-005-0086-4,True,False,False,False,m
apnm-2015-0452,True,True,False,True,m
bf01667127,False,False,False,False,n
s004210050358,True,True,False,True,m
jeb.241885,True,False,False,True,m
circresaha.114.305322,True,False,False,False,m
s00246-012-0226-7,True,True,False,False,m
j.rmed.2011.08.021,True,False,True,False,y
s00221-013-3691-1,True,False,True,False,y
j.jsams.2018.05.011,True,True,True,False,y
jhh.2010.62,True,False,False,False,m
hrt.81.2.121,True,True,True,True,y
s12937-016-0206-5,True,False,False,True,m
s0021-75572007000600006,True,True,True,False,y
s40064-015-1341-8,True,True,False,False,m
fphys.2021.759240,True,True,False,False,m
japplphysiol.00952.2020,True,True,True,True,y
s00246-009-9423-4,False,False,False,False,n
s00421-004-1230-2,True,False,True,False,y
j.jsams.2014.02.002,True,False,False,False,m
physrevb.90.165109,True,False,False,False,m
ijerph17186668,True,True,True,False,y
bf00843762,False,False,False,False,n
s12970-020-00357-6,True,False,True,True,y
s00421-010-1541-4,True,True,True,False,y
fphys.2022.739753,True,True,False,False,m
oem.60.10.765,True,True,False,False,m
fphys.2016.00318,True,True,False,False,m
thx.53.4.269,True,False,False,False,m
s00421-016-3409-8,True,True,False,False,m
bf00640672,True,True,False,False,m
journal.pone.0247576,True,True,False,False,m
journal.pone.0127548,True,True,False,False,m
bf01208918,True,False,False,False,m
1479-5876-8-93,True,True,False,False,m
fimmu.2018.02819,True,True,True,False,y
0008-5472.can-11-3135,True,False,False,False,m
bf00626285,True,False,False,False,m
ijspp.2018-0527,True,True,False,False,m
s00421-021-04643-2,True,True,False,False,m
s00421-010-1567-7,True,False,False,False,m
ajcn.2009.28293,True,False,False,False,m
bf00640670,True,False,False,False,m
01.cir.86.5.1351,True,True,False,True,m
ijspp.2017-0114,True,True,True,False,y
fphys.2017.00755,True,False,True,True,y
s1517-86922005000100008,True,False,False,False,m
bmjopen-2019-034610,True,True,False,True,m
jeb.062943,True,True,False,True,m
cpf.12534,True,True,False,False,m
s00421-008-0706-x,False,False,False,False,n
ijsnem.23.6.593,True,False,False,False,m
00002512-199404050-00007,False,False,False,False,n
bjsm.34.5.367,True,True,True,False,y
gme.0b013e31818c931f,True,True,False,False,m
ijerph18189486,True,True,False,False,m
s00421-018-4011-z,True,True,True,True,y
05.06.pms.111.6.848-862,True,True,False,False,m
journal.pone.0179378,True,False,True,False,y
nu12061877,True,True,False,False,m
s00408-015-9745-3,False,False,False,False,n
s13613-017-0289-y,True,False,False,True,m
mss.0000000000000421,True,True,True,False,y
japplphysiol.00319.2015,True,True,True,False,y
bf00843760,True,False,False,False,m
00913847.2018.1411171,True,True,False,True,m
bf02376770,True,True,True,True,y
s1519-69842010000200013,True,False,False,False,m
bf00640658,True,True,False,False,m
fphys.2018.00846,True,True,False,False,m
s00296-009-1126-x,True,False,False,False,m
2060.2021.00153,True,False,False,False,m
j.gaitpost.2018.06.069,True,False,False,False,m
jsc.0000000000001570,True,True,False,True,m
jsc.0000000000002079,True,True,False,False,m
bf00599618,True,False,False,False,m
cells11010039,True,True,True,False,y
mppa.2018.3028,True,True,True,True,y
apnm-2015-0450,True,True,False,False,m
jappl.1998.84.4.1185,True,True,True,False,y
s004210050428,True,False,True,False,y
eje.0.1490421,True,False,False,False,m
h10-014,True,False,True,False,y
jcj.63.255,True,False,True,False,y
circj.cj-19-0699,True,True,True,False,y
s00421-020-04450-1,True,True,True,False,y
japplphysiol.00585.2017,True,False,False,False,m
s00360-012-0673-8,True,False,False,False,m
j.1475-097x.2004.00555.x,True,False,True,False,y
circheartfailure.120.007503,True,True,True,False,y
s00421-020-04348-y,True,True,True,True,y
j.1365-2265.2011.04212.x,True,False,False,False,m
s00421-004-1050-4,True,True,False,False,m
sjweh.2914,True,False,False,True,m
s0007114514003146,True,False,False,False,m
s00467-011-1887-9,True,True,False,False,m
s12020-013-9969-z,True,False,False,False,m
s004210050414,True,True,True,True,y
s004210000223,True,False,False,False,m
fnagi.2016.00066,True,False,False,False,m
00005768-199302000-00018,False,False,False,False,n
01.cir.88.4.1770,True,True,True,False,y
s004210050372,True,True,False,False,m
ijerph18158036,True,True,False,True,m
s41371-020-00452-w,True,False,False,False,m
1414-431x20165229,True,True,False,False,m
s40798-018-0143-2,True,True,True,False,y
hrt.74.1.27,True,True,False,False,m
j.resp.2018.02.010,True,True,True,True,y
s-0044-101546,True,True,False,False,m
journal.pone.0031880,True,True,False,False,m
mss.0000000000001515,True,False,True,False,y
bjsm.2010.079855,True,False,False,False,m
ijsnem.2021-0060,True,True,True,True,y
1475-2840-8-62,True,True,False,False,m
bf00236061,True,True,True,False,y
s00421-019-04236-0,True,False,True,True,y
jeb.041368,True,False,False,False,m
s00421-014-2952-4,False,False,False,False,n
fphys.2016.00642,True,True,False,True,m
bjsm.33.3.178,True,True,True,False,y
j.joca.2013.12.003,True,True,False,False,m
fspor.2020.00065,True,True,True,True,y
s00394-009-0085-z,True,False,False,False,m
s00421-005-1343-2,True,True,False,False,m
journal.pone.0137567,True,False,True,True,y
ijfmt.v14i4.12707,True,False,False,False,m
bjsm.22.1.31,True,True,True,False,y
s11657-015-0239-y,True,True,False,False,m
s40798-021-00343-5,True,False,False,False,m
s1413-35552012005000129,True,True,True,True,y
fphys.2019.01440,True,True,True,True,y
s00421-010-1723-0,True,True,False,False,m
j.physbeh.2011.06.005,True,True,False,True,m
jeb.190900,True,False,False,False,m
s00520-020-05407-y,True,True,True,False,y
bf00376492,True,False,True,False,y
jjphysiol.48.365,False,False,False,False,n
fphys.2021.662029,True,True,True,True,y
j.1365-2761.2006.00745.x,True,False,False,False,m
apnm-2015-0646,True,True,True,False,y
mss.0b013e31812e52b3,True,False,True,True,y
s1413-35552012005000115,True,True,False,False,m
hypertensionaha.109.133983,True,False,False,False,m
s004210050602,True,False,False,False,m
02640414.2018.1511318,True,True,False,False,m
bf00854977,True,True,True,False,y
jamacardio.2018.4847,True,True,False,False,m
bjsm.17.1.27,True,True,True,True,y
thx.2005.046854,True,True,True,False,y
bjsports-2012-091752,True,True,False,True,m
s00246-013-0751-z,True,False,False,False,m
bjsports-2016-096083,True,True,False,True,m
s41598-020-67983-7,True,False,True,True,y
bjsm.2004.011668,True,True,False,True,m
s00421-004-1150-1,False,False,False,False,n
nu12030635,True,True,True,False,y
s00421-021-04726-0,True,True,True,False,y
mss.0b013e318258bf85,True,True,True,False,y
00006450-199402000-00020,True,False,False,False,m
apnm-2019-0378,True,True,False,True,m
s00421-010-1570-z,True,True,False,False,m
1414-431x20176335,True,True,True,False,y
journal.pone.0095924,True,True,False,False,m
s00586-011-2068-z,True,True,False,True,m
000248991,True,False,False,False,m
s00421-007-0515-7,True,False,False,False,m
j.nurx.2006.07.011,True,True,False,False,m
journal.pone.0160239,True,False,False,False,m
nu11040721,True,True,True,True,y
bf00705072,False,False,False,False,n
sc.1996.52,True,True,True,True,y
fphys.2017.01067,True,True,False,True,m
bf00422475,True,True,False,True,m
ijerph19052587,True,True,False,False,m
s10008-019-04310-9,True,False,False,False,m
ijerph18126649,True,True,False,True,m
1477-7525-6-110,True,True,False,False,m
s00421-006-0228-3,True,True,True,False,y
s00421-021-04783-5,True,False,True,True,y
journal.pone.0165433,True,True,False,False,m
tbme.2008.2001130,True,True,False,False,m
s12970-017-0199-2,False,False,False,False,n
j.bspc.2008.11.003,True,False,True,True,y
bf00943364,True,True,False,False,m
mss.0000000000000970,True,True,True,False,y
nu8090534,True,True,True,False,y
ajpregu.00126.2020,True,False,True,True,y
s12970-020-00400-6,True,True,True,True,y
s00421-017-3729-3,True,False,False,False,m
a:1015060530414,True,False,False,False,m
ajpregu.00127.2020,True,True,False,True,m
jpa2.26.495,True,True,True,True,y
fphys.2018.01609,True,True,False,False,m
ajpregu.00435.2015,True,True,True,False,y
nu11081800,True,False,False,False,m
s00424-003-1209-6,True,True,True,False,y
j.cyto.2009.03.006,True,False,False,False,m
bf00599234,True,False,False,False,m
cells10123490,True,True,False,True,m
s00421-004-1054-0,True,True,True,True,y
journal.pone.0065382,True,True,False,True,m
j.ehj.2004.06.013,True,True,True,False,y
bf00868136,True,False,False,False,m
jaha.118.008837,True,False,False,False,m
journal.pone.0085276,True,False,True,True,y
jpa.22.137,True,True,True,True,y
bmj.1.5794.207,True,False,False,False,m
bjsm.2009.067272,True,True,False,False,m
nu9080803,True,True,True,False,y
bjha-2014-0023,True,True,False,False,m
bf00846036,True,True,True,False,y
bf00235178,True,True,False,True,m
bjhpa.12.2.01,True,True,False,True,m
tcst.2008.2009465,False,False,False,False,n
jci110399,True,False,False,False,m
cpf.12468,True,True,True,True,y
circulationaha.105.545459,True,False,False,True,m
s004210000380,True,True,False,False,m
s00421-009-1275-3,True,False,False,False,m
journal.pone.0210216,True,True,True,True,y
bios11100391,True,True,True,False,y
s00421-014-2956-0,True,True,True,False,y
01.cir.72.1.72,True,True,False,True,m
s00421-005-1324-5,True,False,False,False,m
sj.ijo.0800409,True,False,False,False,m
bf02389808,True,True,False,False,m
sj.sc.3101730,True,True,False,False,m
bf00422850,True,False,False,False,m
1874609811205010028,True,False,False,False,m
s00360-014-0839-7,True,False,False,True,m
jhh.2008.29,False,False,False,False,n
s13102-016-0036-y,True,True,True,False,y
bf00839153,True,False,False,False,m
2015.july.3.29,True,False,False,False,m
apnm-2015-0524,True,False,True,True,y
hcr.0b013e31826be485,True,True,False,False,m
jcj.63.447,True,True,True,False,y
milmed-d-01-3308,True,False,False,False,m
bf00237784,True,False,False,False,m
s00421-019-04094-w,True,True,False,False,m
journal.pone.0130817,True,True,True,True,y
s00421-009-1152-0,True,True,True,False,y
mss.0000000000002395,True,True,True,False,y
1984-0063.20200076,True,True,False,True,m
sms.12980,True,False,False,False,m
s40279-017-0711-5,True,False,True,False,y
ijerph181910426,True,True,False,False,m
s004210050206,True,False,False,False,m
journal.pone.0174927,True,False,True,False,y
fphys.2021.700294,True,True,False,False,m
bf00690901,True,True,False,False,m
japplphysiol.00081.2019,True,True,False,False,m
s-0035-1548810,True,True,True,False,y
jbm.s272905,True,True,True,True,y
s004210050207,True,True,True,True,y
fmars.2022.806848,True,False,False,False,m
jeb.00547,True,False,False,True,m
ijerph19073951,True,True,False,True,m
fpsyg.2021.713106,True,True,True,True,y
fphys.2019.00415,True,True,True,False,y
bjsm.17.3.188,True,False,False,False,m
ijspp.2015-0754,True,True,True,False,y
s12890-015-0050-y,True,False,True,False,y
jpts.28.1325,True,True,True,False,y
s00421-006-0345-z,True,False,False,False,m
s004210000342,True,False,False,False,m
nu8080518,True,True,False,False,m
s004840050110,False,False,False,False,n
s41598-021-96569-0,True,True,True,False,y
j.wem.2015.04.004,True,True,False,True,m
1532-429x-11-48,True,True,False,False,m
bmj.295.6597.521,True,True,False,False,m
bf00422845,True,True,False,True,m
bj20041354,True,False,False,False,m
1550-2783-4-15,True,True,False,True,m
japplphysiol.00885.2015,True,True,True,False,y
