doi_suffix,mc_db,mc_db_text
j.nutres.2016.11.004,False,False
j.1532-5415.2009.02495.x,False,False
japplphysiol.00209.2019,False,False
s-2003-39084,False,False
jappl.1995.79.1.279,False,False
s0066-782x2010005000110,False,False
bf00843763,False,False
japplphysiol.91550.2008,False,False
s-2004-815845,False,False
01.mss.0000179099.81706.11,False,False
s00421-010-1587-3,False,False
s00421-009-1312-2,"['mixing chamber', 'douglas bag']","['ironment has reduced in the past, the possibility of measuring continuous cardiopulmonary responses in a breath-by-breath mode. prior to the 1990s, the assessment of vo2 uptake during swimming was performed in a ﬂume or with a pulley system, using a DOUGLAS BAG technique or a MIXING CHAMBER analyzer (di prampero et al. 1974, holmer 1972; holmer and astrand 1972) or using a backward extrapolation method (lavoie and montpetit 1986). toussaint et al. (1987) developed a valid respiratory valve system with low drag, allowing continuous vo2 ', 'ng. in the early 1990s, a portable gas analyzer was developed by cosmed (k2) composed of a facemask, a ﬂow meter, an o2 gas analyzer and a telemetric receiver. this system was found to be valid for measuring cardiopulmonary responses compared to the DOUGLAS BAG technique (kawakami et al. 1992) and the conventional stationary gas analyzer (crandall et al. 1994; gayda et al. 2003; lucia et al. 1993; peel and utsey 1993). newer versions of the cosmed portable gas analyzer (cosmed k4 and k4b2), equipped with a', 'er (hardware conﬁguration: in/ex software, cosmed ltd. 2005) compared with the facemask. concerning ventilatory variables (ve, vt and rf) the measurement are performed breath by breath, whereas, the gas concentration for o2 and co2 are more close to MIXING CHAMBER mode (cosmed ltd. 2005). due to the length of the expiratory tube and to this particular mode, there may be a delay between the ﬂow signal and the concentration signals, it is assumed that this delay is accounted in the software/hardware conﬁguratio', ' cosmed k4b2 (i.e. with the facemask) to overestimate vo2 at submaximal workloads has occasionally been reported in the literature (mclaughlin et al. 2001), but the difference we found in our study (*15%) was larger than the 3–9% difference with the DOUGLAS BAG method observed by mclaughlin et al. (2001). some factors including the calibration procedure, the accuracy of the expected vo2 estimation, differences between systems of the same model and many others can be put forward to explain this discrepancy.']"
expphysiol.2006.034223,['douglas bag'],"['age inter- and intra-assay coefﬁcients of variations were 5.9 and 2.7%, respectively. all hormone analyses from a single subject were carried out in the same assay batch. gas, temperature and hr measurement during tests in the heat chamber, standard DOUGLAS BAGs (cranleigh, crowborough, uk) were used to collect expired air for 2 min at the 20 and 40 min time points and were measured with a servomex analyser and a dry gas meter (harvard, kent, uk) to determine expiratory minute ventilation ( ˙ve), o2 consum']"
pes.2014-0007,['douglas bag'],"['ren’s omni scale of perceived exertion: mixed gender and race validation. o med sci sports exerc. 2000;32:452-8. r 21. rosdahl h, gullstrand l, salier-eriksson j, johansson p, schantz p. evaluation p of the oxycon mobile metabolic system against the DOUGLAS BAG method. eur je of appl physiol. 2010;109:159–71. er 22. trost sg. measurement of physical activity in children and adolescents. am j lifestyle med. 2007;1:299-314. re 23. turley kr, wilmore jh. cardiovascular responses to treadmill and cycle vie erg']"
s1440-2440_._04_._80025-2,False,False
s00125-016-4170-6,False,False
s00421-011-2275-7,False,False
sms.13280,False,False
ijspp.2020-0634,"['mixing-chamber', 'mixing chamber', 'douglas bag']","['international journal of sports physiology and performance, 2021, 16, 1335-1340 https://doi.org/10.1123/ijspp.2020-0634 © 2021 human kinetics, inc. original investigation differences in ˙vo2max measurements between breathby-breath and MIXING-CHAMBER mode in the cosmed k5 kay winkert, johannes kirsten, rupert kamnig, jürgen m. steinacker, and gunnar treff purpose: automated metabolic analyzers are frequently utilized to measure maximal oxygen consumption ( ˙vo2max). however, in portable devices, the results may be inﬂuenced by the analyzer’s technological approach, being either breath-by-breath (bbb) or dynamic micro MIXING CHAMBER mode (dmc). the portable metabolic analyzer k5 (cosmed, rome, italy) provides both technologies within one device, and the authors aimed to evaluate differences in ˙vo2max between modes in endurance athletes. methods: sixteen trained male participan', '/27/22 03:35 pm utc\n\x0cv˙o2max intermode differences cosmed k5 1337 figure 1 — schematic setup for simultaneous measurement of 2 k5 devices. the bbb and dmc modes were counterbalanced between devices. bbb indicates breath-by-breath; dmc, dynamic micro MIXING CHAMBER. netherlands) that was carefully checked for accuracy in power output by the manufacturer prior to the study (−0.54%, 90% ci, −0.79 to −0.30). were assessed using histograms, probability plots, and shapiro–wilk tests. procedures and testing after th', 'nt.6 not least because of the ease of use, the db method was replaced in several laboratories by stationary and portable automated metabolic analyzers that provide real-time data. several automated analyzers are available using either the bbb or the MIXING CHAMBER technology. brieﬂy, the most crucial difference between bbb and MIXING CHAMBER systems is the way expiratory gas fractions are measured and ˙vo2 and ˙vco2 are calculated. in bbb systems, ﬂow and expiratory gas fractions are measured with high tempor', '. 1123/ijspp.8.2.111 5. smirmaul bpc, bertucci dr, teixeira ip. is the vo2max that we measure really maximal? front physiol. 2013;4:203. doi:10.3389/ fphys.2013.00203 6. shephard rj. open-circuit respirometry: a brief historical review of the use of DOUGLAS BAGs and chemical analyzers. eur j appl physiol. 2017;117(3):381–387. doi:10.1007/s00421-017-3556-6 7. noguchi h, ogushi y, yoshiya i, itakura n, yamabayashi h. breathby-breath vco2 and vo2 required compensation for transport delay and dynamic response.', ' resolution: the breath-by-breath approach. int j sports med. 2005;26(suppl 1):s11–s18. doi:10.1055/s-2004-830506 10. rosdahl h, lindberg t, edin f, nilsson j. the moxus modular metabolic system evaluated with two sensors for ventilation against the DOUGLAS BAG method. eur j appl physiol. 2013;113(5):1353– 1367. doi:10.1007/s00421-012-2551-1 11. jakovljevic dg, nunan d, donovan g, hodges ld, sandercock grh, brodie da. lack of agreement between gas exchange variables measured by two metabolic systems. j spo', 'althy physical active consecutive measurements over 5 intensities of bike exercise, subjects trained 4 increasing metabolic rates consecutive measurements over 4 intensities of bike exercise. subjects’ ˙vo2max: 63.5ð4.2þ ml · min−1 · kg−1 vyntus cpx DOUGLAS BAG metabolic simulator DOUGLAS BAG author calculated theoretical error: 9%–12% vs 5%–7% no numeric data reported, only bland–altman plots beijst et al18 beijst et al18 perezsuarez et al13 crouter et al19 rest: −0.57% vs 12.7%*; 60 w: −3.72% vs 5.80%*; ', 'ean of rf on the x-axis. dots represent single values from 40 w to 100% of power output at ˙vo2max during an incremental bike test performed by n = 16 athletes. feo2 and feco2 are given as volume %. bbb indicates breath-by-breath; dmc, dynamic micro MIXING CHAMBER; feco2, fraction of expiratory carbon dioxide; feo2, fraction of expiratory oxygen; rf, respiratory frequency; ˙vco2, carbon dioxide output; ˙vo2, oxygen consumption. measure an instantaneous change of the gas fractions (personal communication dr. k', ' 16). paired dots represent single values measured simultaneously in bbb and dmc mode. bars represent arithmetic mean with 95% ci. student paired t test p <.05; ****p <.0001. bbb indicates breath-by-breath; ci, conﬁdence interval; dmc, dynamic micro MIXING CHAMBER; ˙vo2, oxygen consumption. studies,16 which is probably attributable to the ﬁrmware update. in addition, the ∼4.4% difference is in the range of betweendevice differences published for other cardiopulmonary exercise testing instruments (2%–6%).11 in', 'sensor and co2 sensor.7 for accurate calculation of ˙vo2 and ˙vco2 by integration of the intrabreath gas proﬁles and corresponding expired volume curves, a precise temporal alignment of both signals is crucial and necessitates complex algorithms.8,9 MIXING CHAMBER analyzers, on the other hand, collect expired gas in a MIXING CHAMBER before it is measured. the MIXING CHAMBER may be conventional (6–8 l) where a mixture of complete expirations is analyzed or a dynamic micro MIXING CHAMBER (~2 ml), where proporti', ' the utilized technological method and approach of the ˙vo2max measurement itself play an important role in the results. current methods to measure respiratory gas exchange and ventilation by open-circuit respirometry can be categorized into (1) the DOUGLAS BAG (db), (2) the breath-by-breath (bbb), (3) conventional MIXING CHAMBER, and the (4) dynamic micro MIXING CHAMBER (dmc) approach (see below for a short description of the details). the classical db method, where all expired gases are collected, for example, 1 minute in a large nondiffusing bag and gas fractions and expi', 'ction of small changes in oxygen consumption. eur j appl physiol. 2014;114(5):941–950. doi:10.1007/s00421-014-2825-x 15. rosdahl h, gullstrand l, salier-eriksson j, johansson p, schantz p. evaluation of the oxycon mobile metabolic system against the DOUGLAS BAG method. eur j appl physiol. 2010;109(2):159–171. doi:10.1007/s00421-009-1326-9 16. winkert k, kirsten j, dreyhaupt j, steinacker jm, treff g. the cosmed k5 in breath-by-breath and MIXING CHAMBER mode at low to high intensities. med sci sports exerc. 2020;52(5):1153–1162. doi:10.1249/mss.0000000000002241 17. perez-suarez i, martin-rincon m, gonzalez-henriquez jj, et al. accuracy and precision of the cosmed k5 portable analyser. front physiol', '3: −4.64 vs −3.81%; rate 4: −7.27 vs −3.05%* 127 (8) w: 0.61% vs 0.14%; 170 (11) w: 0.32% vs −0.45%; 212 (13) w: −0.84% vs −2.05%; 353 (27) w: −6.11% vs −0.38%* winkert et al12 winkert et al12 abbreviations: bbb, breath-by-breath; dmc, dynamic micro MIXING CHAMBER; ˙vo2max, maximal oxygen consumption. *signiﬁcant difference bbb vs dmc. obvious differences regarding the validity of ˙vo2 measured with 4 different portable metabolic analyzers using the bbb and 7 analyzers using the dmc approach was found when co', 'ean (90% ci) 0.44 (−0.2 to 1.08) −0.02 (−0.05 to 0.01) 0.51 (−0.6 to 1.63) variable rf, min−1 vt, l·min−1 ˙ve, l·min−1 ˙vco2, l·min−1 ˙vo2, l·min−1 rer feco2, % feo2, % abbreviations: bbb, breath-by-breath; ci, conﬁdence interval; dmc, dynamic micro MIXING CHAMBER; feco2, fraction of expiratory carbon dioxide; feo2, fraction of expiratory oxygen; rer, respiratory exchange ratio; rf, respiratory frequency; ˙vco2, carbon dioxide output; ˙ve, minute ventilation; ˙vo2, oxygen consumption; vt, tidal volume. notes:', '. 2018;9:1764. doi:10.3389/fphys.2018.01764 18. beijst c, schep g, van breda e, wijn pff, van pul c. accuracy and precision of cpet equipment: a comparison of breath-by-breath and MIXING CHAMBER systems. j med eng technol. 2013;37(1):35–42. doi:10.3109/03091902.2012.733057 19. overstreet bs, bassett dr, crouter se, rider bc, parr bb. portable open-circuit spirometry systems. j sports med phys fitness. 2017;57:227–237. doi:10.23736/s0022-470']"
cpf.12279,False,False
s00421-018-3946-4,False,False
s0966-6362_._03_._00097-3,"['mixing-chamber', 'douglas bag']","['are comparable with the results of other validity studies assessing the accuracy of high-technology portable metabolic systems [10,13]. king et al. [10] applied a simultaneous design to test for differences between the aerosport kb1-c system and the DOUGLAS BAG method. their results showed significantly higher values for the kb1-c, both at rest and at a 50 w workload. difference magnitudes were 30 ml/min for vo2rest and 90 ml/min for vo2exercise. mclaughlin et al. [13] validated the accuracy of the cosmed ', 'ith the DOUGLAS BAG trial followed by the vmaxst trial. each trial consisted of two time-blocks: 5 min of resting in a comfortable chair and 5 min of cycling at an 80 w workload. all measurement trials were performed in a quiet laboratory in the department of pulmonolo', 's ve, vo2, vco2 and ee were examined in the rest condition, the 80 w condition, and the net condition. spss (10.0) for windows was used for the statistical analysis. a paired t -test was used to test for differences between the vmaxst values and the DOUGLAS BAG values. the level of significance was set at p <0.05. furthermore, bland–altman plots [24] were used to show the individual difference scores between the DOUGLAS BAG method and the vmaxst system (db–st). 3 results average st and db values for the pa', 'surements in clinical practice. even though significant differences were found in the rest condition and the 80 w condition for the two primary parameters, oxygen uptake and energy expenditure, the magnitude of the differences was within 7.5% of the DOUGLAS BAG values. king et al. and mclaughlin et al. [10,13] pointed out that differences up to 10%, which approximates 100 ml or 2000 j during exercise, are physiologically insignificant for most purposes. differences that go beyond 10% might, thus, be regard', 't 2004 2004-08-01 2004-08-31 2004 converted-article fla copyright © 2003 elsevier b.v. all rights reserved. validationportablevmaxstsystemforoxygenuptakemeasurement brehm m1 introduction 2 methods 2.1 subjects 2.2 equipment 2.2.1 vmaxst system 2.2.2 DOUGLAS BAG method 2.3 study design 2.4 protocol 2.5 environmental conditions 2.6 gas volume and gas fraction analysis 2.7 data-analysis 2.8 statistical analysis 3 results 4 discussion 5 conclusion acknowledgements references fisher 1978 124 132 s rose 1990 333', '80 w workload was more or less equal to the energy cost required for patients performing the walking exercise. accuracy evaluations of the vmaxst system were made by means of two separate trials, randomly using the vmaxst system in one trial and the DOUGLAS BAG method in the other. 2.4 protocol each subject performed the two trials on the same day, with a resting interval of 20 min. by randomisation, five subjects started with the vmaxst trial followed by the DOUGLAS BAG trial, and the other five started w', ' conditions the barometric pressure (pb), vapour pressure (ph2o), temperature (t ) and fractions of inspired oxygen and carbon dioxide (fio2 and fico2) were determined before each trial. 2.6 gas volume and gas fraction analysis the gas volume in the DOUGLAS BAG, which is the volume measured at ambient temperature and pressure, saturated (ve(atps)), was analysed with a dry gasometer (meterfabriek dordrecht, the netherlands). the volumes were converted from ve(atps) to volume at body temperature and pressure', 'ment. 4 discussion the purpose of this study was to assess the validity of the vmaxst system for the measurement of oxygen-uptake at expenditure levels that are reached during walking in patients with movement disorders. the criterion method was the DOUGLAS BAG method, which is regarded as the ‘gold standard’. one of the limitations of this study was the inability to perform simultaneous gas-exchange measurements, connecting the vmaxst and the DOUGLAS BAG in series. such a serial set up would be the perfec', 'ise values between db and st. (a) vo2rest (l/min), (b) vo2exercise (l/min), (c) eerest (kj/min) and (d) eeexercise (kj/min). table 1 average values of ve, vo2, vco2 and ee: comparison of the st system and the db method parameter vmaxst (mean ± s.d.) DOUGLAS BAG (mean ± s.d.) rest 80 w net rest 80 w net ve (l/min) 8.08 (1.8) 30.4 (3.6) 22.3 (2.2) 9.08 (2.1) 30.9 (3.4) 21.8 (2.9) vo2 (l/min) 0.3 (0.06) 1.45 (0.15) 1.15 (0.11) 0.28 (0.05) 1.41 (0.14) 1.13 (0.1) vco2 (l/min) 0.25 (0.05) 1.18 (0.12) 0.93 (0.08)', 'to validate the accuracy of a new type of portable gas-analysis system (sensormedics vmaxst) for the measurement of oxygen-uptake at expenditure levels that are reached during walking in patients with movement disorders. the criterion method was the DOUGLAS BAG (db) method, which is considered to be the gold standard. accuracy evaluations were made in two trials, randomly using the vmaxst (st) and the DOUGLAS BAG method. ten healthy adult subjects participated in the trials (age: 28.8 (4.3) years; body mas', 'rmany), was used. both systems have some features that are similar to those of their predecessor, the metamax x1 (cortex, leipzig, germany) that has been described elsewhere [16]. however, since the vmaxst uses breath-by-breath technology instead of MIXING-CHAMBER technology, a brief outline of this new equipment and of the companion calibration procedures is given. the vmaxst system (version 1.0) is a fully portable cardiopulmonary gas-exchange measurement system, based on breath-by-breath technology. it is ', 'ing. the purpose of the present study, before the execution of a large-scale reproducibility study in patients with gait pathology, was to assess the validity of a new type of portable gas-analysis system, the sensormedics vmaxst system, against the DOUGLAS BAG criterion method. a further aim was to assess whether the variability of metabolic measurements can be reduced when a net evaluation protocol is applied instead of a gross evaluation protocol. 2 methods 2.1 subjects ten able-bodied, healthy adult su', 'calculated for both systems. energy expenditure (ee) values were calculated and net values calculated by subtracting resting measurements from gross measurements. the results show that no significant differences were found between the vmaxst and the DOUGLAS BAG method for the primary parameters: eenet and vo2net. significantly higher values were found for rest and exercise values. however, these differences were very small. therefore, the validity of the vmaxst is sufficient for use in gait studies to dete', 'ddition, the bag and tube were inspected for leakage before the start of the study. 2.3 study design the accuracy of the vmaxst system for measurement of oxygen uptake was validated on a rehcor cycle ergometer (lode, groningen, the netherlands). the DOUGLAS BAG method served as the criterion method. since future research will be focused on assessment of walking efficiency in patients with movement disorders, an external ergometer load was applied, which to a certain extent was comparable to the load of wal', 'rmed just before each test. 2. volume calibration of the triple® volume transducer: the volume transducer was calibrated every 30 days with a3l syringe. 3. pressure calibration of the pressure analyser: the analyser was calibrated once a year. 2.2.2 DOUGLAS BAG method the DOUGLAS BAG method, which was developed by claude gordon douglas in 1911, involves collection of the expired air in a large impermeable rubber bag, and subsequent volume and chemical analysis [17–19]. for many decades, this manual method ', 'multaneous design when connecting two devices in series. consequently, the accuracy of the vmaxst system for oxygen-uptake measurement was validated by means of non-simultaneous measurements, randomly using the vmaxst system in the one trial and the DOUGLAS BAG method in the other trial. by applying this parallel set-up, a within-subject trial-to-trial variation of approximately 4.5% was expected [26–28]. a second limitation of this study is due to the fact that only derived output variables are reported a', 'k4b2 system against the DOUGLAS BAG method by means of non-simultaneous measurements. they found no significant difference for vo2rest values, and significantly higher values for vo2 at a 50 w workload (about 90 ml/min higher than db). vco2 values were not significantly different. thi']"
13813458709104518,['mixing chamber'],"['he experiment, the subject breathed through a low-resistance, low-dead-  space three way valve (hans 2870). inspiratory ventilation was measured by a dry  gas meter (parkinson cowan cd-4) previously calibrated. expired gas was led through  a 9-litre MIXING CHAMBER and was sampled each 30 s. the sample was analysed using  0, analyser (beckman-om-11) and co, analyser (beckman lb-2). the gas analysers  were calibrated with two gas mixtures in the required range. end tidal pcoz (petco,)  was recorded (microscribe']"
09031936.00.15109200,False,False
jsc.0000000000001567,False,False
jsc.0b013e318260b829,False,False
j.1600-0838.2009.00951.x,False,False
bjsm.2006.032359,False,False
j.amepre.2006.06.002,False,False
s12283-017-0242-1,False,False
ajpregu.00101.2011,False,False
09031936.01.00088801,False,False
jandrol.110.010074,False,False
sms.12613,False,False
sms.13519,False,False
sj.ijo.0800595,False,False
j.jsams.2018.05.004,False,False
mss.0b013e31815a83dc,False,False
mss.0b013e3181c67d82,False,False
bf03345735,False,False
s00592-003-0045-7,False,False
journal.pone.0211902,False,False
bf00262816,False,False
s0002-8703_._98_._70350-3,False,False
s0735-1097_._10_._80191-3,False,False
s00421-015-3211-z,False,False
s-2007-971103,False,False
s004840050066,False,False
s00421-006-0315-5,['douglas bag'],"[' the treadmill to estimate the þ during oxygen demand and the oxygen deﬁcit do2 the intermittent sprint running test. treadmill speed was set at 170, 180, 190, 200 m min–1 for each bout with a recovery period of 4 min. expired gas was collected into DOUGLAS BAGs during the last 1 min of each bout. through a ﬁne tube-line attached to a mass spectrometer (arco 1000; arco-system inc., chiba, japan), the gas concentration (o2, co2) in the DOUGLAS BAGs was measured. subsequently, the expired air in the bags was']"
s12970-017-0180-0,False,False
jappl.1990.68.2.796,False,False
jpa2.25.59,False,False
apnm-2013-0152,False,False
joh1959.29.202,['douglas bag'],"['fig.\n 3.\n photo of fin-swimming test.\n the subject must speed up to swim by degrees at the rate of 5s per 25m until all out.\n during the tolerance test, cardiopneumatic functions are measured.\n this photo is scene of collecting expiratory gas into a DOUGLAS BAG.\n\x0c眞野:潜 水 活動 時 にお け る労 作能 の評価 方法 205 除 外し た. ど 等し く,生 体への負荷量は心拍数からみて同等の結 果 iii.結 果で あっ た.肺 機能に関し て,分 時呼吸量 と1回 換気量 との 関係を求めたとこ ろ, fig. 4の ような結果を得 た.第 7名 の同一被験者に対 して3種 類の労作負荷を課 し 2群 の レギ ュレーター使用時には呼気の機械的抵抗が 大 た.こ れ らの 被験者の形 態,な らびに機能的特性 と潜 水き いの で, 1回 ']"
oxfordjournals.eurheartj.a014975,False,False
chd.12740,False,False
mss.0000000000001516,False,False
jp271621,False,False
japplphysiol.00491.2005,False,False
ep089180,False,False
00005768-200101000-00024,False,False
japplphysiol.00829.2016,False,False
chest.103.2.611,False,False
jsc.0b013e318231a69e,['mixing chamber'],"['m (polar electro oy, kempele, finland), and blood lactate concentration was measured in unhemolyzed blood, collected from capillary ﬁngertip samples. blood was collected in a heparinized capillary tube, and 25 ml was injected with a pipette into the MIXING CHAMBER of the lactate analyzer (ysi 1500 sport, yellow springs instruments, yellow springs, oh, usa). the lactate analyzer and oxycon pro jaeger instrument were calibrated according to the instruction manual and described in detail by losnegard et al. (15)', 'http://www.ﬁs-ski.com. accessed september 3, 2010. 8. foss, o and halle´n, j. cadence and performance in elite cyclists. eur j appl physiol 93: 453–462, 2005. 9. foss, o and halle´ n, j. validity and stability of a computerized metabolic system with MIXING CHAMBER. int j sports med 26: 569–575, 2005. 10. hoffman, md, clifford, ps, bota, b, mandli, m, and jones, gm. inﬂuence of body-mass on energy-cost of roller skiing. int j sport biomech 6: 374–385, 1990. 11. holmberg, hc, lindinger, s, sto¨ ggl, t, eitzlmai']"
j.1468-1293.2007.00439.x,False,False
chest.86.3.366,False,False
s00421-012-2437-2,False,False
s00439-009-0731-9,False,False
j.metabol.2016.11.009,False,False
10903127.2016.1254695,False,False
ijsnem.2018-0359,False,False
1758-5996-6-36,False,False
etm.2017.4084,False,False
j.jvs.2007.09.001,False,False
phy2.14002,['douglas bag'],"['ents of vt and fr. during the mimic ventilation, 100% co2 was added to the inspiratory gas to maintain the end tidal pressure of co2 (petco2) at normocapnic levels. measurements incremental running test _vo2, _vco2, and _ve were calculated using the DOUGLAS BAG method. o2 and co2 concentrations were measured using a mass spectrometer (arco1000; arco; chiba, japan), which was calibrated with a standardized gas of known composition (o2, 15.00%; co2, 5.00%; and n2, balanced). the volume inside the bag was det']"
nu10111718,False,False
s-2003-43264,False,False
ctr.13352,False,False
j.jpeds.2007.06.029,False,False
s00421-003-0809-3,False,False
j.apmr.2004.11.025,False,False
jsc.0000000000003199,False,False
chest.113.6.1459,False,False
j.resp.2013.02.027,False,False
07420528.2018.1448855,False,False
phy2.14758,False,False
jsc.0000000000000490,False,False
j.1748-1716.2012.02427.x,False,False
jsc.0b013e318234eb5d,False,False
s-2003-43270,False,False
apnm-2014-0137,False,False
s-2007-972634,False,False
jappl.1987.62.1.199,False,False
japplphysiol.01246.2012,False,False
j.jshs.2015.09.009,False,False
s1047951113002084,False,False
s41105-021-00333-w,False,False
j.jelekin.2009.03.008,False,False
s00421-010-1419-5,False,False
a-1018-1965,False,False
monaldi.2009.372,False,False
mgg3.1757,False,False
s00421-017-3574-4,False,False
2047487316661615,False,False
s13102-020-00172-1,['douglas bag'],"['ditions. the room temperature was 20.2 ± 0.4 °c, and the room was continuously ventilated to minimise increases in co2 concentration in the air. under h condition, hypoxic gas was generated by adding moistened n2 gas to ambient air from packed large DOUGLAS BAGs (700 l). under both conditions, inspiratory gas was supplied through a pipe from large DOUGLAS BAGs (700 l). subjects breathed through a mouthpiece attached to a pneumotachograph (mlt1000l; ad-instrument, sidney, australia) and a two-way valve (270']"
s00421-013-2647-2,False,False
mss.0b013e318215d10b,False,False
phy2.13976,False,False
j.ahj.2004.12.021,False,False
s-2007-972620,False,False
apha.13063,False,False
