done,doi_suffix,op-rr,human,english,eligible,gas_data,ext_ref,gas_analyzer,Data Processing Text,time_bin_avg_nums,time_bin_surrounding_text,,outliers,Interpolation type,Interpolation time (s),Avg type,Avg subtype,Avg amount,Avg MOS,Avg mean type,outlier_details,interpolation_details,avg_details,processing_details,Notes
TRUE,srep42485,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The oxygen uptake (V O2) was measured breath-by-breath during all effort tests bya stationary gas analyzer, Quark PFT (COSMED, Rome, Italy). The gas analyzer was calibrated immediatelybefore each test with known samples (5.0% CO2and 16.0% O2, White Martins® , Osasco, Brazil) and room air,while the turbine was calibrated through a three-liter syringe (Hans-Rudolf, USA) following the manufacturer’srecommendations. The V O2 values were smoothed each 5 points and interpolated each 1 second throughOriginPro 9.0 software (OriginLab Corporation, Microcal, Massachusetts, USA)30","[('each 1 second ', '1')]","[' the manufacturer’s \nrecommendations. the  \uf026vo2 values were smoothed each 5 points and interpolated each 1 second through \noriginpro 9.0 software (originlab corporation, microcal, massachusetts, usa)30. the heart r']",,,,1,breath,rolling,5,mean,whole,FALSE,TRUE,TRUE,TRUE,
TRUE,tjem.233.135,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s13063-018-2823-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s1517-86922011000100008,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The VO2 was measured breath after breath during the entire protocol from the expired gas (K4b2, Cosmed, Rome, Italy), and the data were reduced to the mean of 15s.","[(' 30s interval', '30'), (' 15s intervals', '15'), ('mean of 15s.', '15')]","['as 12km.h-1 (1% inclination), with increment of 1km.h-1 at every 3min \nuntil voluntary exhaustion. a 30s interval between each stage was set \nfor collection of 25µl of blood from the earlobe for blood lactate dosa', ',000m distances.\n\nthe vo2max was considered asa the highest value obtained during the \ntest in these 15s intervals. in order to consider that during the test the \nindividuals had reached the vo2max, the criteria pr', 'entire protocol from the expired gas (k4b2, \ncosmed, rome, italy), and the data were reduced to the mean of 15s. \n\nrev bras med esporte – vol. 17, no 1 – jan/fev, 2011\n\ndetermination of re and texh\n\ninitially, th']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s13102-019-0140-x,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s40798-021-00363-1,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41394-019-0223-7,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"All data processing was performed using Origin (Origin 2016, OriginLab Corporation, Northampton, MA) on raw (unaveraged) variables. Data points outside of the computed 99% prediction bands were deemed to be aberrant breaths (e.g., sighing, coughing) and were removed from the analysis.",FALSE,FALSE,,±99% CI,,,unaveraged,,,,,TRUE,FALSE,TRUE,TRUE,
TRUE,s41598-020-65770-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired air was analyzed breath-by-breath using an online system (Ultima Series, MedGraphics, USA), and averaged over 15 s intervals13,18,20","[('averaged over 15 s ', '15')]","['ed air was analyzed breath-by-breath using \nan online system (ultima series, medgraphics, usa), and averaged over 15 s intervals13,18,20. the air flow was \ncalibrated before each test using 3-liter syringes (hans rudolp']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s41598-021-02072-x,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The test included gas analysis, and the recording of metabolic and ventilatory parameters was performed using the portable ergospirometry system Oxycon Mobile® (Mijnhardt/Jäger, Würzburg, German) with breathto- breath measures. All volunteers used a face mask as an interface to collect expired gases during exercise tests. For the three exercise tests performed, the peak values were defined as the highest 15-s averaged values.","[('highest 15-s ', '15')]","['cr-10.\n\ndata analysis.  for the three exercise tests performed, the peak values were defined as the highest 15-s averaged values. the oxygen uptake (v̇o2), carbon dioxide production (v̇co2), minute ventilation (v̇']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,sjweh.2083,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s40064-016-2952-4,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s40279-019-01103-y,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41467-019-10925-3,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s1517-86922008000400007,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s1517-86922009000200010,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s1517-86922010000400012,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s42000-020-00176-z,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"An Ergo-Fit Cardio Line 4000 TRAC (EuroMedix, Leuven, Belgium) treadmill ergometer was used with a Cardiovit AT-104 ECG recorder (Schiller Medizintechnik GmbH, Ottobrun, Germany), in conjunction with a PowerCube (Ganshorn Medizin Electronic GmbH, Niederlauer, Germany) O2 and carbon dioxide (CO2) gas analyser. The system was calibrated before each measurement.",,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,sc.2017.34,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The data from the tests (VO2, RER and Ve) were time-averaged into 30 -s intervals","[('highest average over 30 s ', '30'), ('averaged into 30 -s ', '30')]","['ests (vo2, rer and ve) were time-averaged into 30 -s intervals. if no\nvo2 plateau was achieved, the highest average over 30 s was considered\nvo2 max.\nachievement of a vo2 plateau (⩽2 ml kg\nincreased workload at maximal intensi', ' cm) and weight (nearest 0.5 kg) were recorded. the data from the\ntests (vo2, rer and ve) were time-averaged into 30 -s intervals. if no\nvo2 plateau was achieved, the highest average over 30 s was considered\nvo2 max.\nach']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s10103-016-2011-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"For analysis of respiratory variables, the data were smoothed every five points and interpolated every 1 s using the software OriginPro 8.0 (OriginLab Corporation, Northampton, USA).","[('every 1 s ', '1'), (' 30 s of each', '30'), ('\n30 s at each', '30')]","['s. for analysis of respiratory variables, the data were smoothed every five\npoints and interpolated every 1 s using the software\noriginpro 8.0 (originlab corporation, northampton,\nusa). heart rate was measured ', 'he optimal test duration (8–\n10 min) [21].\n\nfor the ivo2max determination, the vo2 mean of the\nfinal 30 s of each stage was measured. if the plateau in\n−1) in the\noxygen consumption (range <2.1 ml kg\nfinal two sta', 'nd 4.5 j/cm2\n\ntotal energy\ndelivered\n\nfrom each infrared led\n\n600 j (300 j per leg)\n\ntreatment time\n\n30 s at each point\n\ndouble-blind design was kept, the technician did not perform any procedure during the exerci']",,,,1,time,rolling,5,mean,whole,FALSE,TRUE,TRUE,TRUE,
TRUE,s12887-022-03257-7,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41419-017-0256-4,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41598-019-54912-6,TRUE,TRUE,TRUE,TRUE,TRUE,,Time/breath averaged,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41598-020-58492-8,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The breath-by-breathV̇ O2 data collected by the gas analysis system was averaged per minute for further analysis,,,,,,,time,bin,60,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s004210100384,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s00421-017-3677-y,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s00421-019-04275-7,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s00431-017-2948-2,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,"This study measured different activities for 4 minute periods. They removed the first 2.5 minutes and averaged the remaining 90 seconds. However, that means they took every breath (unaveraged) and got the average value across that time. Though, unaveraged data was not explicitly stated..."
TRUE,s00520-015-2993-1,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The peak oxygen uptake (VO2peak) was calculated as the mean value of the final 30 s of the test and expressed in milliliters per kilogram per minute (ml/kg/min).,FALSE,FALSE,,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s0717-75182021000600893,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s10654-006-9038-5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s12970-020-00369-2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s12986-020-00497-1,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"At the end of the test, the highest average VO2 value recorded over a 30 s period of exercise was considered the participants VO2max.","[('over a 30\xa0s ', '30')]","[' point  of \nvolitional exhaustion. at the end of the test, the highest \naverage  vo2 value recorded over a 30\xa0s period of exercise \nwas considered the participants  vo2max.\n\nexperimental protocol\non  the  next  t']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s004210050052,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,Expired gas was collected for a timed period of whole number of breaths during the final 45 seconds of each minute.,,,,,,,time,bin,45,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s1047951109990928,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s0066-782x2012005000092,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s0100-879x2004000300019,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s00421-020-04390-w,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"During the maximal exercise test, the highest 30-s rolling average of ̇V O2 and HR were used to calculate ̇V O2Peak and HRPeak.","[('highest 30-s ', '30'), ('every 15\xa0s ', '15')]","['e \nstandard conversion table (péronnet and massicotte 1991). \nduring the maximal exercise test, the highest 30-s rolling \naverage of  ̇vo2 and hr were used to calculate  ̇vo2peak \nand  hrpeak. a 15-s rolling avera', 'arting po was equivalent \nto their aelt and was maintained for 2\xa0min. po was then \nincreased by 5\xa0w every 15\xa0s until the athlete reached volitional exhaustion (failure to maintain cadence ≥ 50\xa0rpm and \nan overal']",,,,,time,rolling,30,mean,whole,FALSE,FALSE,TRUE,TRUE,There was a submaximal test focused on lactate that took the last minute of data from each stage
TRUE,s00421-021-04769-3,TRUE,TRUE,TRUE,TRUE,TRUE,,Mass spec,"The time course of oxygen and carbon dioxide partial pressures throughout the respiratory cycles were continuously monitored by a mass spectrometer (Balzers Prisma, Balzers, Liechtenstein) calibrated against gas mixtures of known composition. Oxygen and carbon dioxide partial pressures traces were aligned with the flowmeter traces and breath-by-breath ̇V O2 and carbon dioxide output ( ̇V CO2) were then computed off-line by means of a modified version of Grønlund’s algorithm (1984) run in LabVIEW ® environment ( LabVIEW® 5.0, National Instruments™, Austin, TX, USA).","[('averaged \nover 10\xa0s ', '10')]","['alled a “blocking effect” of atropine on the initial \nrapid hr increase, in a study in which hr was averaged \nover 10\xa0s periods, thereby obtaining a dampened response. \nlater, using the supine knee extension model, toska']",,,,uninterpolated,unaveraged,,,,,FALSE,TRUE,TRUE,TRUE,
TRUE,s00421-022-04898-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Breath-by-breath gas exchange values were recorded and averaged every 15 s by a gas exchange analyser,"[('averaged every 15 s ', '15'), ('over a 30-s ', '30'), (' 60-s rest intervals', '60')]","[' increased by 1% per min until \nexhaustion. breath-by-breath gas exchange values were \nrecorded and averaged every 15 s by a gas exchange analyser (oxycon pro, jaeger, hoechberg, germany). the  ̇v\no2 was considered maxim', ' greater than 1.05.  ̇vo2max \nwas determined from the mean of the three consecutive \nhighest values over a 30-s interval reached during the last \nstage of the protocol.\n\nstatistical analysis\n\nall variables are ex', 'ollowing 8\xa0weeks’ dr training (two sessions/week, 10 × 30\xa0s \nbouts at −\xa010% slope, interspersed with 60-s rest intervals, \nand running speed equivalent to 90% of the speed associated with  ̇vo2max). however, the authors ']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s00586-009-1002-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s10973-018-7067-4,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s11845-021-02861-3,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s12576-020-00750-5,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,"[('last 30\xa0s ', '30'), (' 10-s \nintervals', '10')]","['ecrease in end-tidal partial pressure \nof  co2  (petco2) [27]. peak  vo2 was determined during \nthe last 30\xa0s of ramp exercise. all exercise tests were performed  in  an  air-conditioned  laboratory  (ambient  ', 'diameters were summarized at rest every 5\xa0min during the first 30\xa0min of constant wr exercise and at 10-s \nintervals  during  the  sinusoidal  exercise.  the  validity  of \nthe  simultaneous  pulsed  and  echo  doppl']",,,,1,,,,,,FALSE,TRUE,FALSE,TRUE,
TRUE,s12877-018-0993-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s-0033-1337905,TRUE,TRUE,TRUE,TRUE,TRUE,,Mass spec,"To calculate V O2peak, the V O2 data were interpolated (second to second) and the highest 15s moving average was taken to be V O2peak for each laboratory test.","[('highest 15s ', '15')]","['rmance mean hrs.  to calculate  o2peak, the  o2 data were interpolated (second to \n\nsecond) and the highest 15s moving average was taken to be  o2peak for each laboratory test. \n\nhrpeak was defined as the highest']",,,,1,time,rolling,15,mean,whole,FALSE,TRUE,TRUE,TRUE,
TRUE,s0022-4707.20.10322-0,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s0034-98872019000300289,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s0100-879x2011007500073,TRUE,TRUE,TRUE,TRUE,TRUE,,Time/breath averaged,"Pulmonary ventilation was quantified, and the partial oxygen and carbonic gas fractions were analyzed and expressed every 10 s by a VO2000 Metabolic Analyzer (MedGraphics), which was periodically calibrated with a 2-L syringe and with gases of known concentrations.",,,,,,,time,bin,10,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s00246-020-02359-2,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Gas exchange was measured continuously during each test using a breathby- breath method and averaged over 15 s intervals.,"[('averaged over 15\xa0s ', '15')]",['s used. gas exchange \nwas measured continuously during each test using a breathby-breath method and averaged over 15\xa0s intervals. the criteria for completion of peak  ̇vo2 was attaining a heart rate of \n195 beats/minute'],,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s00421-005-1350-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Peak VO2 was calculated as the average of the 30 s breath-by-breath data immediately prior to the peak workload.,"[('mean: 25 s)', '25'), ('highest bht\n(58 s)', '58')]","['ents are in general agreement\nwith the ﬁndings of gay et al. (1994), who measured a\nbht of 18–32 s (mean: 25 s) in subjects who were heavy\nsmokers or had chronic obstructive pulmonary disease\nor congestive heart', ' the best\nbht does not contradict this fact, as it was that of\nan almost healthy young patient. the highest bht\n(58 s) among our data is equivalent to the mean bht\n\nfailure. however,\n\n\x0cmeasured by fowler (1959) 52.2 s ']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s00421-022-04928-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The highest 15-s VO2 during the final stages of the test was considered as the individual VO2max,"[('highest 15-s ', '15'), ('every 30\xa0s ', '30'), (' 1-s intervals', '1')]","['e ratio (rer) \ngreater than 1.10 and rpe equal to or higher than 7 (midgley et\xa0al. 2006, 2007). the highest 15-s vo2 during the \nfinal stages of the test was considered as the individual \nvo2max (midgley et\xa0al. 20', 'x assessment, \nrunning on a treadmill alternating speed (1\xa0km\xa0 h−1) and inclination (1%) increments every 30\xa0s until exhaustion. maximal \nhr  (hrmax) was assessed directly with a multiple approach and estimated ', 's to correct gas analyser drift bias \n(garcia-tabar et\xa0al. 2015).\n\nall exercise hrs were recorded in 1-s intervals using \npolar team system 2 hr monitors (polar electro oy, \nkempele, finland). the participants were']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s10072-020-04965-7,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s11357-013-9596-x,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s11695-020-04944-z,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Respiratory gas exchange and ventilation (VE) were analysed breath-by-breath, averaging 20-s intervals during rest and incremental exercise.","[(' 20-s intervals', '20')]","['on ≥ 18/20.\n\nrespiratory gas exchange and ventilation (ve) were\nanalysed breath-by-breath, averaging 20-s intervals during\n\n\x0c696\n\nobes surg  (2021) 31:694–701\n\nrest and incremental exercise. the physiologic dead spa']",,,,,time,bin,20,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s12970-015-0106-7,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"Pulmonary gas exchange was continually collected throughout the incremental test (Oxycon Pro, VIASYS GmbH, Eric Jaeger, Hoechberg, Germany) and was averaged to fifteen seconds collection periods.","[('over a 15-\ns ', '15')]",['s a significant difference between dc\nand wc (p < 0.05)\n\nwas recorded as the highest value achieved over a 15-\ns collection period.\n\nmoderate intensity cycle\nparticipants rested for 30 min after completing the inc'],,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s0007114521002208,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,nu8120755,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The .V O2max was determined based on the highest 30 s average value,"[('highest 30 s ', '30'), ('sampled every 5 s ', '5'), ('during the last 60 s ', '60')]","['concentration gas (o2 = 16%, co2 = 5%),\n.\nand a 3 l syringe. the\nvo2max was determined based on the highest 30 s average value. the map (w)\nwas calculated as map = w completed + 25 × (t/120), where w is the last c', ') was assessed verbally using the borg\n6–20 scale [24] every 5 km. heart rate (hr) was continuously sampled every 5 s (polar, kempele,\nfinland) during the tt. the time, the mean power, and the mean speed were collected', 'red during the submaximal cycling test; calculations\ncalculated from\nwere made from gases collected during the last 60 s of each work interval of interest with nonprotein\nrespiratory exchange ratio (rer) values being asse']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,nu14091776,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,"[(' 5 s sub-period', '5')]","['tects the average power value for the 30 s bout and the maximum\npower among all power values for the 5 s sub-period. in this study, the average power value\nwas used for evaluation because it reﬂects the contribution']",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,oxfordjournals.eurheartj.a014942,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Ventilation and gas concentration were averaged over 30 s and from these values minute venilation, the rate of oxygen uptake, the rate of CO2 production and respiratory exchange ratio were derived",,,,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,oxim.2.4.9415,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,pbc.27113,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,raq.12501,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,resp.12162,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The highest 30-s average VO2 was recorded as the VO2peak,"[('highest 30-s ', '30')]",['aphics metabolic measurement systems with standardized software \nwere used by all institutions. the highest 30-s average vo2 was recorded as the vo2peak. \nfor the primary analysis we chose a vo2peak above 14 ml/kg'],,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,s-0035-1548810,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Oxygen uptake (VO2), carbon dioxyde production (VCO2) and respiratory 140 exchange ratio 141 (VCO2/VO2) were measured by portable system for pulmonary gas exchange measurements using a breath-by-breath analysis device (K4 b2142 , Cosmed, Rome, Italy) and averaged over 15 s","[('averaged over 15 s.', '15'), ('every 15 s ', '15')]","['ange measurements using \n\n142 \n\na breath-by-breath analysis device (k4 b2, cosmed, rome, italy) and averaged over 15 s. these \n\n143 \n\nvariables were recorded every 15 s during the last minute of each stage of sessions 1', 's device (k4 b2, cosmed, rome, italy) and averaged over 15 s. these \n\n143 \n\nvariables were recorded every 15 s during the last minute of each stage of sessions 1 and 2 and \n\n144 \n\naveraged. heart rate (hr) was r']",,,,,time,bin,15,mean,whole,FALSE,FALSE,TRUE,TRUE,
