done,doi_suffix,op-rr,human,english,eligible,gas_data,ext_ref,gas_analyzer,Data Processing Text,outlier_terms,outlier_text,outlier_limit,outlier_avg_type,outlier_avg_subtype,outlier_avg_amount,outlier_avg_MOS,outlier_avg_mean_type,Notes
TRUE,srep42485,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The oxygen uptake (V O2) was measured breath-by-breath during all effort tests bya stationary gas analyzer, Quark PFT (COSMED, Rome, Italy). The gas analyzer was calibrated immediatelybefore each test with known samples (5.0% CO2and 16.0% O2, White Martins® , Osasco, Brazil) and room air,while the turbine was calibrated through a three-liter syringe (Hans-Rudolf, USA) following the manufacturer’srecommendations. The V O2 values were smoothed each 5 points and interpolated each 1 second throughOriginPro 9.0 software (OriginLab Corporation, Microcal, Massachusetts, USA)30",FALSE,FALSE,,,,,,,
TRUE,tjem.233.135,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s13063-018-2823-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s1517-86922011000100008,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The VO2 was measured breath after breath during the entire protocol from the expired gas (K4b2, Cosmed, Rome, Italy), and the data were reduced to the mean of 15s.",FALSE,FALSE,,,,,,,
TRUE,s13102-019-0140-x,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,s40798-021-00363-1,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s41394-019-0223-7,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"All data processing was performed using Origin (Origin 2016, OriginLab Corporation, Northampton, MA) on raw (unaveraged) variables. Data points outside of the computed 99% prediction bands were deemed to be aberrant breaths (e.g., sighing, coughing) and were removed from the analysis.","[[' coughing'], [' sigh'], [' aberrant']]","[' \x00 e \x00ðt \x00 tdpþ=τpþþ: ð1þ data points outside of the computed 99% prediction bands were deemed to be aberrant breaths (e.g., sighing, coughing) and were removed from the analysis. after the regression was recomputed, no additional data points']",±3 SD / 99%,,,,,,
TRUE,s41598-020-65770-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired air was analyzed breath-by-breath using an online system (Ultima Series, MedGraphics, USA), and averaged over 15 s intervals13,18,20",FALSE,FALSE,,,,,,,
TRUE,s41598-021-02072-x,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The test included gas analysis, and the recording of metabolic and ventilatory parameters was performed using the portable ergospirometry system Oxycon Mobile® (Mijnhardt/Jäger, Würzburg, German) with breathto- breath measures. All volunteers used a face mask as an interface to collect expired gases during exercise tests. For the three exercise tests performed, the peak values were defined as the highest 15-s averaged values.",FALSE,FALSE,,,,,,,
TRUE,sjweh.2083,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,,,,,,,,,,
TRUE,s40064-016-2952-4,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s40279-019-01103-y,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s41467-019-10925-3,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s1517-86922008000400007,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,s1517-86922009000200010,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,s1517-86922010000400012,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,s42000-020-00176-z,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"An Ergo-Fit Cardio Line 4000 TRAC (EuroMedix, Leuven, Belgium) treadmill ergometer was used with a Cardiovit AT-104 ECG recorder (Schiller Medizintechnik GmbH, Ottobrun, Germany), in conjunction with a PowerCube (Ganshorn Medizin Electronic GmbH, Niederlauer, Germany) O2 and carbon dioxide (CO2) gas analyser. The system was calibrated before each measurement.",,,,,,,,,
TRUE,sc.2017.34,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The data from the tests (VO2, RER and Ve) were time-averaged into 30 -s intervals",FALSE,FALSE,,,,,,,
TRUE,s10103-016-2011-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"For analysis of respiratory variables, the data were smoothed every five points and interpolated every 1 s using the software OriginPro 8.0 (OriginLab Corporation, Northampton, USA).",FALSE,FALSE,,,,,,,
TRUE,s12887-022-03257-7,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s41419-017-0256-4,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s41598-019-54912-6,TRUE,TRUE,TRUE,TRUE,TRUE,,Time/breath averaged,,,,,,,,,,
TRUE,s41598-020-58492-8,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The breath-by-breathV̇ O2 data collected by the gas analysis system was averaged per minute for further analysis,,,,,,,,,
TRUE,s004210100384,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,s00421-017-3677-y,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,
TRUE,s00421-019-04275-7,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,FALSE,FALSE,,,,,,,
TRUE,s00431-017-2948-2,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,"This study measured different activities for 4 minute periods. They removed the first 2.5 minutes and averaged the remaining 90 seconds. However, that means they took every breath (unaveraged) and got the average value across that time. Though, unaveraged data was not explicitly stated..."
TRUE,s00520-015-2993-1,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The peak oxygen uptake (VO2peak) was calculated as the mean value of the final 30 s of the test and expressed in milliliters per kilogram per minute (ml/kg/min).,FALSE,FALSE,,,,,,,
TRUE,s0717-75182021000600893,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,s10654-006-9038-5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,
TRUE,s12970-020-00369-2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,s12986-020-00497-1,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"At the end of the test, the highest average VO2 value recorded over a 30 s period of exercise was considered the participants VO2max.",,,,,,,,,
TRUE,s004210050052,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,Expired gas was collected for a timed period of whole number of breaths during the final 45 seconds of each minute.,,,,,,,,,
TRUE,s1047951109990928,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,,,,
TRUE,s0066-782x2012005000092,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s0100-879x2004000300019,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,s00421-020-04390-w,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"During the maximal exercise test, the highest 30-s rolling average of ̇V O2 and HR were used to calculate ̇V O2Peak and HRPeak.",FALSE,FALSE,,,,,,,There was a submaximal test focused on lactate that took the last minute of data from each stage
TRUE,s00421-021-04769-3,TRUE,TRUE,TRUE,TRUE,TRUE,,Mass spec,"The time course of oxygen and carbon dioxide partial pressures throughout the respiratory cycles were continuously monitored by a mass spectrometer (Balzers Prisma, Balzers, Liechtenstein) calibrated against gas mixtures of known composition. Oxygen and carbon dioxide partial pressures traces were aligned with the flowmeter traces and breath-by-breath ̇V O2 and carbon dioxide output ( ̇V CO2) were then computed off-line by means of a modified version of Grønlund’s algorithm (1984) run in LabVIEW ® environment ( LabVIEW® 5.0, National Instruments™, Austin, TX, USA).",FALSE,FALSE,,,,,,,
TRUE,s00421-022-04898-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Breath-by-breath gas exchange values were recorded and averaged every 15 s by a gas exchange analyser,FALSE,FALSE,,,,,,,
TRUE,s00586-009-1002-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s10973-018-7067-4,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,s11845-021-02861-3,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,FALSE,FALSE,,,,,,,
TRUE,s12576-020-00750-5,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s12877-018-0993-y,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s-0033-1337905,TRUE,TRUE,TRUE,TRUE,TRUE,,Mass spec,"To calculate V O2peak, the V O2 data were interpolated (second to second) and the highest 15s moving average was taken to be V O2peak for each laboratory test.",FALSE,FALSE,,,,,,,
TRUE,s0022-4707.20.10322-0,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,
TRUE,s0034-98872019000300289,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,s0100-879x2011007500073,TRUE,TRUE,TRUE,TRUE,TRUE,,Time/breath averaged,"Pulmonary ventilation was quantified, and the partial oxygen and carbonic gas fractions were analyzed and expressed every 10 s by a VO2000 Metabolic Analyzer (MedGraphics), which was periodically calibrated with a 2-L syringe and with gases of known concentrations.",,,,,,,,,
TRUE,s00246-020-02359-2,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Gas exchange was measured continuously during each test using a breathby- breath method and averaged over 15 s intervals.,FALSE,FALSE,,,,,,,
TRUE,s00421-005-1350-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Peak VO2 was calculated as the average of the 30 s breath-by-breath data immediately prior to the peak workload.,FALSE,FALSE,,,,,,,
TRUE,s00421-022-04928-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The highest 15-s VO2 during the final stages of the test was considered as the individual VO2max,FALSE,FALSE,,,,,,,
TRUE,s10072-020-04965-7,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,s11357-013-9596-x,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,,,,,,,,,
TRUE,s11695-020-04944-z,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Respiratory gas exchange and ventilation (VE) were analysed breath-by-breath, averaging 20-s intervals during rest and incremental exercise.",FALSE,FALSE,,,,,,,
TRUE,s12970-015-0106-7,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"Pulmonary gas exchange was continually collected throughout the incremental test (Oxycon Pro, VIASYS GmbH, Eric Jaeger, Hoechberg, Germany) and was averaged to fifteen seconds collection periods.",FALSE,FALSE,,,,,,,
TRUE,s0007114521002208,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,nu8120755,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The .V O2max was determined based on the highest 30 s average value,FALSE,FALSE,,,,,,,
TRUE,nu14091776,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,oxfordjournals.eurheartj.a014942,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Ventilation and gas concentration were averaged over 30 s and from these values minute venilation, the rate of oxygen uptake, the rate of CO2 production and respiratory exchange ratio were derived",,,,,,,,,
TRUE,oxim.2.4.9415,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,pbc.27113,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,raq.12501,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,
TRUE,resp.12162,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The highest 30-s average VO2 was recorded as the VO2peak,FALSE,FALSE,,,,,,,
TRUE,s-0035-1548810,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Oxygen uptake (VO2), carbon dioxyde production (VCO2) and respiratory 140 exchange ratio 141 (VCO2/VO2) were measured by portable system for pulmonary gas exchange measurements using a breath-by-breath analysis device (K4 b2142 , Cosmed, Rome, Italy) and averaged over 15 s",FALSE,FALSE,,,,,,,
TRUE,s00421-007-0519-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s00421-013-2741-5,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,VO2peak was identified over the highest 30s period during the test,FALSE,FALSE,,,,,,,
TRUE,s00421-014-2883-0,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,nu8080518,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,nu13124391,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,pc.2015.29,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Peak VO2 was defi ned as the mean of the two highest consecutive values of 15-s averages of VO2,FALSE,FALSE,,,,,,,
TRUE,pes.24.2.187,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,phm.0000000000000108,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Breath-by-breath measurement of VO2 data (ml/kg/min) was collected and averaged into 30-second intervals to reduce variability,FALSE,FALSE,,,,,,,
TRUE,s00394-019-02101-6,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s00421-011-2129-3,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Expired gases were collected and averaged in 15 s intervals during the test using a calibrated metabolic cart (Parvomedics, Inc., Salt Lake City, UT).",,,,,,,,,
TRUE,s00421-013-2767-8,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"VO2max was taken as the highest 30-s average of breath-by-breath data and confirmed when the corresponding respiratory exchange ratio was at least 1.1 and blood lactate was at least 7.5 mmol/l. PPO was interpolated from the average P/t slope (i.e., 15 W/min) and time point at exhaustion.",FALSE,FALSE,,,,,,,
TRUE,nu14010141,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,oem.34.2.126,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
TRUE,oxfordjournals.eurheartj.a015352,TRUE,TRUE,TRUE,TRUE,TRUE,,Mass spec,,,,,,,,,,
TRUE,pes.2018-0141,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,This is a review paper that compiled many data sets.
TRUE,physiolsci.rp011906,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,ppul.21024,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Gas measurements were collected in the upright position before and during CPXT to 2 O V & peak, and during the first 10 min of recovery using a 10 s moving average.",,,,,,,,,
TRUE,psyp.12868,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,s00360-012-0690-7,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,
TRUE,s00421-006-0327-1,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The cardio-respiratory values were averaged over a 15 s period during the maximal graded test,FALSE,FALSE,,,,,,,
TRUE,s00421-016-3379-x,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,pVO2 was averaged over the last minute of each work load of the lactate threshold test and pVO2peak was defined as the highest one-minute average attained during the MAP-test.,FALSE,FALSE,,,,,,,
TRUE,journal.pone.0201598,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,journal.pone.0208452,TRUE,TRUE,TRUE,TRUE,TRUE,,,"VO2max was determined by the average of the two highest VO2 measurements (30 sec periods), and maximal aerobic power output (Wmax) was calculated as the mean power output of the last minute of the test.",,,,,,,,,
TRUE,journal.pone.0249504,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,jrrd.2007.09.0153,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,jsc.0000000000003470,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,,,,
TRUE,juoeh.8.11,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,
TRUE,mss.0000000000000880,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"In addition, breath-by-breath VO2 and VE were averaged over 10s periods to derive the OUES for each individual.",FALSE,FALSE,,,,,,,
TRUE,mss.0000000000001429,TRUE,TRUE,TRUE,TRUE,TRUE,,,"Gas exchange results were used to determine the VO2-peak, 134 which was defined as the average VO2 over the last 30 seconds of the exercise test.",,,,,,,,,
TRUE,mss.0000000000002245,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Peak power was recorded as the highest power output achieved and V̇ 122 O2peak was identified as the highest V̇ 123 O2 recorded over a consecutive 30 s average during the test.,FALSE,FALSE,,,,,,,
TRUE,journal.pone.0257549,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,jpah.2014-0535,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,jsc.0b013e3181876ad0,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,jsc.0000000000001521,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,V . 194 O2peak was considered the highest volume of oxygen (V . O2) obtained in any 10 s period with V . 195 O2peak more appropriately describing the ACCEPTED 7 end point of the test due to an absence of O2 plateau in all participants,,,,,,,,,
TRUE,mss.0000000000000568,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Sub-maximal V ! O2 was determined via a final minute average for each stage. V ! O2max established via a rolling 30 s average, after eliminating values that are outside four standard deviations of the midpoint of a rolling 20 breath mean (attributed to ‘noise’; 30).","[['vሶ o2 was  ሶ o2max established via a rolling 30 s  determined via a final minute average for each stage. v average, after eliminating values that are outside four standard deviations ']]","[' (viasys healthcare  gmbh, hoechberg, germany) according to manufacturers instructions. sub-maximal vሶ o2 was  ሶ o2max established via a rolling 30 s  determined via a final minute average for each stage. v average, after eliminating values that are outside four standard deviations of the midpoint of a  rolling 20 breath mean (attributed to ‘noise’; 30). rate of perceived exertion']",±4 SD,time,rolling,20,mean,whole,
TRUE,mss.0000000000001353,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired gases were collected continuously, and ventilatory variables were calculated at 15-s intervals using a calibrated metabolic cart (TrueOne  2400 or TrueMax 2400; Parvo Medics, Sandy, UT).",,,,,,,,,
TRUE,nu12123911,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,journal.pone.0210216,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,The data were filtered every 15 seconds for further analysis,"[[' locale average', ' locale average']]","['fact correction which means that any rr interval that was larger/smaller than 0.25 s compared to the locale average was corrected by replacing the identified artefact with interpolated values using a cubic spline in', 'alyzed the data using a free software (kubios hrv, version 2.2). if an rr interval differed from the locale average more than a specific threshold value, the interval was identified as an artifact and was marked for']",,,,,,,
TRUE,journal.pone.0210275,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"During the test, oxygen uptake (VO2) was continuously measured by means of a breath-by-breath analyzer (Metalyzer 3B, Cortex, Germany) and the data were averaged every 15 s.",FALSE,FALSE,,,,,,,
TRUE,journal.pone.0210651,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,journal.pone.0217491,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,FALSE,FALSE,,,,,,,
TRUE,jsc.0b013e3181bc19b1,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Open circles represent breath-by-breath V  O2 data; the dashed horizontal line represents 95% of the subject’s V  O2max; the solid line represents a three breath moving average.,FALSE,FALSE,,,,,,,
TRUE,mppa.2020.1007,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,All cardiorespiratory data underwent a 5-breathe smooth,FALSE,FALSE,,,,,,,
TRUE,mss.0000000000000793,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,,,,,,,,,,
TRUE,mss.0000000000001151,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Heart rate, V̇O2 (ml.kg.-188 1.min1), V̇E and RER were averaged across 10 s epochs with BP recorded at 1:30 and 4:30 of 189 the five minute protocol.",FALSE,FALSE,,,,,,,
TRUE,nu11061287,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Throughout cardio-pulmonary exercise testing, breath-by-breath measurements were conducted and averaged over 5 s for later analysis (METAMAX® 3B; Cortex Biophysik GmbH, Leipzig, Germany).",FALSE,FALSE,,,,,,,
TRUE,nu11071642,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"The breath-by-breath pulmonary gas exchange data were continuously measured during the test and averaged over 15 s periods (Oxycon Pro, Jaeger GmbH, Würzburg, Germany).",FALSE,FALSE,,,,,,,
TRUE,japplphysiol.00499.2018,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,,,,
TRUE,japplphysiol.00634.2013,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,,,,,,,,,,
TRUE,journal.pone.0049098,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,journal.pone.0097534,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,journal.pone.0235567,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"To compare peak values for ⩒o2, RER and HR between INC and CWR, gas exchange and ventilation data were exported in 10-s bins that were subsequently rolling averaged to provide 20-s values.",FALSE,FALSE,,,,,,,
TRUE,jsc.0000000000001638,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired ventilatory volume, V_ O2 (l$min21), and V_ CO2 (l$min21) were analyzed and calculated by open circuit spirometry in 15-second sampling intervals.",FALSE,FALSE,,,,,,,
TRUE,nu10070815,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,japplphysiol.00853.2006,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,japplphysiol.01437.2012,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,jb.184.3.746-753.2002,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,jbc.m117.806786,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,
TRUE,jcj.63.945,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,jjphysiol.23.645,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,Maximum oxygen intake and carbon dioxide output were determined by the Douglas bag technique: Expired gas was collected in the bag every minute until exhaustion.,,,,,,,,,
TRUE,joe-07-0625,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,
TRUE,journal.pone.0114729,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"Expired gases were continuously collected and analyzed with the MetaMax II metabolic test system (Cortex Biophysik, Leipzig, Germany; mixing chamber; sampling frequency 10 s).",,,,,,,,,
TRUE,journal.pone.0139279,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,Expired gases were VO2peak was calculated as the highest _V O2 value averaged over 60 s,FALSE,FALSE,,,,,,,
TRUE,journal.pone.0140616,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,
TRUE,journal.pone.0140863,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,,,,,,,,,,
TRUE,journal.pone.0181228,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,,FALSE,FALSE,,,,,,,
TRUE,jappl.1996.81.2.738,TRUE,TRUE,TRUE,TRUE,TRUE,,,"On-line 30-s average values of O2 uptake (VO2, CO2 output (VCO2), minute ventilation (VE), and respiratory exchange ratio (R) were calculated",FALSE,FALSE,,,,,,,
