done,doi_suffix,Data Processing Text,avg_terms,avg_text,no_avg_details,Avg type,Avg subtype,Avg amount,Avg MOS,Avg mean type,Avg method,Documented
FALSE,01.brs.0000169447.55556.01,,['average period of brace usage at the time of performin'],FALSE,TRUE,,,,,,01.brs.0000169447.55556.01,TRUE
FALSE,01.cir.0000027149.83473.b6,,"['rolled, two-way crossover', 'overy, 1 minute', '1-minute recover']","['hf). ed reduces quality of life, and it may affect compliance, thereby impairing the success of chf treatment. methods and results—in the first phase (fixed-dose double-blind, randomized, placebo-contROLLED, TWO-WAY CROSSOVER study), we studied in 23 men with chf the effects of 50 mg sildenafil on exercise and neurohormonal activation. patients underwent a treadmill 6-minute cardiopulmonary walking (6⬘wt) test followed by', '04⫾1922 1759⫾1501 1210⫾1211 1116⫾1012 placebo sildenafil p values are mean⫾sd. ve indicates pulmonary ventilation; vo2, oxygen consumption; basal, upright position immediately before the exercise; recOVERY, 1 MINUTE after stopping the exercise; distance in 6⬘wt (miles); exercise time in minutes; vco2, carbon dioxide production; slope ve/vco2, the regression coefficient of the linear regression between the ve and', 'sbp) and diastolic blood pressure (dbp) and determined plasma norepinephrine blood levels in upright position immediately before each exercise test, at the last minute of the 6⬘wt, at et peak, and at 1-MINUTE RECOVERy. ecg was continuously monitored. pulmonary ventilation and gas exchange data were determined on a breath-by-breath basis with a computerized system (model vmax 229 sensormedics). the 6⬘wt was perfor']",TRUE,,,,,,01.cir.0000027149.83473.b6,TRUE
FALSE,01.cir.80.4.769,,['last 90 seconds '],FALSE,TRUE,,,,,,01.cir.80.4.769,TRUE
FALSE,01.mss.0000058441.94520.32,,"['every 30 s ', 'recorded in 5-s ', 'tensity running cover', ' 10-s recover', ' 15-s period']","['y a 3-l syringe as well as two gases of known o2 and co2 concentrations. individual peak heart rate (hrpeak) and maximal oxygen uptake (v˙ o2max) were determined as the peak values reached in a 5- and 15-S PERIOD, respectively, at the end of the incremental maximal test. blood samples were drawn from an antecubital vein before and after each exercise bout as well as 2, 4, 6, and 15 min after the incremental t', '% of exhaustion time. during the precompetition period, elite soccer players improved (p ⬍ 0.05) yo-yo test performance and maximum oxygen uptake (v˙ o2max) by 25 ⫾ 6 and 7 ⫾ 1%, respectively. high-inTENSITY RUNNING COVERed by the players during games was correlated to yo-yo test performance (r ⫽ 0.71, p ⬍ 0.05) but not to v˙ o2max and itt performance. conclusion: the test had a high reproducibility and sensitivity, a', 'incremental maximal test performed after 15 min of rest. the maximal test started at a running speed of 14 km·h⫺1 for 2 min and continued at 16 km·h⫺1 for 30 s with stepwise 1 km·h⫺1 speed increments EVERY 30 S until exhaustion. time to exhaustion was recorded as the test result. heart rate was RECORDED IN 5-S intervals during the entire protocol by a polar vantage nv heart rate monitor. pulmonary oxygen uptake was measured during the last 3 min of each submaximal running speed and during the maximal test b']",FALSE,time,bin,15,mean,whole,01.mss.0000058441.94520.32-time-bin-15-mean-whole,TRUE
FALSE,01.mss.0000064936.04725.fd,,"[' 10-s intervals', 'every 30 s ', 'average during the last 2 min', ' 10-s averages', '1·min⫺1 during']","['ry skiing (f2,8 ⴝ 2.32, pⴝ 0.16). trail, the v˙ o2 rose further by 2 ⫾ 1 ml·kg⫺1·min⫺1 and stayed close to that value during the subsequent level skiing (fig. 4a). the value then fell by 19 ⫾ 2 ml·kg⫺1·MIN⫺1 DURING the section of the ski trail with mainly downhill skiing. this pattern was largely repeated during the second lap, but the decline in the v˙ o2 during the downhill part was less pronounced. the v˙ o2', 'st at an inclination of 10%. starting at a speed of 2.59 –2.84 m·s⫺1 (0.3– 0.6 m·s⫺1 above the last velocity of the obla test), the treadmill speed was increased gradually in steps of 0.15– 0.3 m·s⫺1 EVERY 30 S to a level that brought the subjects close to exhaustion in approximately 3 min. if the o2 uptake showed no further increase or increased only slightly with a further increase in the treadmill speed a', 'ence (highest point at the ski trail minus the lowest point); mm is the maximum climb; mt is the total climb. nated intensity was reconfirmed. the hr and the v˙ o2 were recorded continuously in 5- and 10-S INTERVALS, respectively. the blood lactate concentration was measured before and within 30 s after each repeat. maximal o2 uptake for the studies on treadmill running, the v˙ o2max was measured just after the ', 'at ⬇60, 70, 80, and 90% of their v˙ o2max. the first run was carried out at 1.58 m·s⫺1, and before each of the next runs, the speed was increased by 0.25 m·s⫺1. the v˙ o2 and the hr were taken as the AVERAGE DURING THE LAST 2 MIN of each run. a 30-s break that allowed taking a capillary blood sample from a fingertip was included after each 5-min run. these runs were carried out at 10% inclination. the energy cost at the obla ', ' portable metabolic analyzers that weigh 1.3 kg each, including batteries. the instrument was carried in a pack on the skier’s back during the experiments. the analyzers were set to record the data in 10-S AVERAGES. the instruments were calibrated against ambient air and a commercial gas of known concentrations of o2 (16.00%) and co2 (4.00%) in the morning before the start of each experiment. the concentration ']",FALSE,time,bin,120,mean,whole,01.mss.0000064936.04725.fd-time-bin-120-mean-whole,TRUE
FALSE,01.mss.0000064936.04725.fd,,"[' 10-s intervals', 'every 30 s ', 'average during the last 2 min', ' 10-s averages', '1·min⫺1 during']","['ry skiing (f2,8 ⴝ 2.32, pⴝ 0.16). trail, the v˙ o2 rose further by 2 ⫾ 1 ml·kg⫺1·min⫺1 and stayed close to that value during the subsequent level skiing (fig. 4a). the value then fell by 19 ⫾ 2 ml·kg⫺1·MIN⫺1 DURING the section of the ski trail with mainly downhill skiing. this pattern was largely repeated during the second lap, but the decline in the v˙ o2 during the downhill part was less pronounced. the v˙ o2', 'st at an inclination of 10%. starting at a speed of 2.59 –2.84 m·s⫺1 (0.3– 0.6 m·s⫺1 above the last velocity of the obla test), the treadmill speed was increased gradually in steps of 0.15– 0.3 m·s⫺1 EVERY 30 S to a level that brought the subjects close to exhaustion in approximately 3 min. if the o2 uptake showed no further increase or increased only slightly with a further increase in the treadmill speed a', 'ence (highest point at the ski trail minus the lowest point); mm is the maximum climb; mt is the total climb. nated intensity was reconfirmed. the hr and the v˙ o2 were recorded continuously in 5- and 10-S INTERVALS, respectively. the blood lactate concentration was measured before and within 30 s after each repeat. maximal o2 uptake for the studies on treadmill running, the v˙ o2max was measured just after the ', 'at ⬇60, 70, 80, and 90% of their v˙ o2max. the first run was carried out at 1.58 m·s⫺1, and before each of the next runs, the speed was increased by 0.25 m·s⫺1. the v˙ o2 and the hr were taken as the AVERAGE DURING THE LAST 2 MIN of each run. a 30-s break that allowed taking a capillary blood sample from a fingertip was included after each 5-min run. these runs were carried out at 10% inclination. the energy cost at the obla ', ' portable metabolic analyzers that weigh 1.3 kg each, including batteries. the instrument was carried in a pack on the skier’s back during the experiments. the analyzers were set to record the data in 10-S AVERAGES. the instruments were calibrated against ambient air and a commercial gas of known concentrations of o2 (16.00%) and co2 (4.00%) in the morning before the start of each experiment. the concentration ']",FALSE,time,bin,10,mean,whole,01.mss.0000064936.04725.fd-time-bin-10-mean-whole,TRUE
FALSE,01.mss.0000065001.17658.68,,['every 5s '],"['gauge and revolution counter built into the chain ring. power output variables were recorded every second. metabolic data were measured breath-by-breath using open-circuit spirometry. hr was measured EVERY 5S using radio telemetry. all studies were conducted in the early fall of the year, when the subjects were quite fit. in the primary study with the recreational athletes, the subjects were studied on thr']",TRUE,,,,,,01.mss.0000065001.17658.68,TRUE
FALSE,01.mss.0000152732.46744.4f,The final 10 s of HR and V˙ O2 data for each condition were averaged and compared.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,['tens over'],FALSE,FALSE,time,bin,10,mean,whole,01.mss.0000152732.46744.4f-time-bin-10-mean-whole,TRUE
FALSE,02640414.2012.685086,,"[' 15 s of each', 'during the last 15 seconds ', 'every 15 s ', 'every three minutes']","['cise corresponding to the period after a maximal sprint and prior to beginning a3 min bout of exercise at 40% _v o2max. heart rate was continually monitored and recorded at the end of each sprint and DURING THE LAST 15 SECONDS of each 40 and 60% _v o2max bout. values for peak power and work done (wd) corrected for ﬂywheel acceleration and deceleration (lakomy, 1986) were calculated for each sprint via in-house software. blo', 'e stages were undertaken to ensure accurate prediction of submaximal exercise intensities for the experimental trials. following these stages participants resumed exercise at 140 w increasing by 35 w EVERY THREE MINUTES until volitional exhaustion (price et al., 2003). prior to and following the test participants exercised for 3 min on the unloaded ergometer (50–70 rev \x01 min71) to warm up and cool down. expired gas ', 'ry barometer (f. dalton & co ltd, watford, uk). oxygen consumption ( _v o2), minute ventilation ( _v e) and respiratory exchange ratio (rer) were subsequently calculated. heart rate (hr) was measured EVERY 15 S during the ﬁnal minute of each exercise stage (polar electro, kempele, finland). ratings of perceived exertion (rpe) were recorded during the ﬁnal 15 S OF EACH stage (borg scale, borg, 1973). approxim']",TRUE,,,,,,02640414.2012.685086,TRUE
FALSE,02640414.2013.807350,,"['during a 30-s ', 'averaged over 5-second ', 'butterworth']","['l of rehabilitation research and development, 26, 37–46. veeger, h.e.j., lute, e.m.c., roeleveld, k., & van der woude, l.h.v. (1992). differences in performance between trained and untrained subjects DURING A 30-S sprint test in a wheelchair ergometer. european journal of applied physiology, 64, 158–164. vinet, a., bernard, p.l., ducomps, c., selchow, o., le gallais, d., & micallef, j.p. (1998). a ﬁeld decelera', 'ration of gas, according to the manufacturer’s guidelines. during each 3- minute trial, heart rate was monitored throughout using radio telemetry (pe4000 polar sport tester, kempele, finland) and was AVERAGED OVER 5-SECOND intervals during the ﬁnal minute. respiratory data were recorded continuously at a sampling frequency of 1 hz with all values also averaged during the ﬁnal minute for analysis. oxygen uptake ( _vo2) a']",TRUE,,,,,,02640414.2013.807350,TRUE
FALSE,02640414.2017.1343956,,"[' 5 second intervals', 'highest 60 second ', '1·min-1 (mean', 'mean power for the last 5-mins of each 10-min', 'last 30 seconds ', 'every 15 sec)']","['alculated theoretical maximal heart rate, determined as 220 minus age. 2) the participants rer had to be greater than 1.1. 3) a plateau in the cyclist’s v̇ o2 (increase in v̇ o2 <0.05 l·min-1) in the LAST 30 SECONDS of the test. following a period of rest, participants then completed a familiarisation of the protocol for visits 2-5, during which each cyclist’s habitual cycling position was recorded and standardis', 'hen determined from the corresponding rer according to the table of zuntz (1901). thus, ‘work done’ (kcal·min-1) = v̇ o2 (l.min-1) x kcal·l-1 of o2 in order to establish the ‘energy expenditure’, the MEAN POWER FOR THE LAST 5-MINS OF EACH 10-MIN respiratory collection was determined and converted into kcal·min-1 via the following equation: ‘energy expenditure’ (kcal·min-1) = power (w) x 0.01433 (astrand & rodahl, 1988) supplement design: exa', ' visits 3-5. visit 1: participants performed an incremental exercise test to volitional fatigue. this comprised of an initial intensity of 100 w with a gradual increase in the exercise intensity (5 w EVERY 15 SEC). the test was terminated when cadence dropped below 50 rpm despite standardised verbal encouragement. ventilation, oxygen uptake (v̇ o2), and carbon dioxide production (v̇ co2) were measured througho', 'maintained at 19.6 ± 3.4 °c, 754 ± 8 mmhg and 54.1 ± 5.2 % humidity throughout. visit 1 comprised of an incremental exercise test to exhaustion to determine maximal minute power (mmp), defined as the HIGHEST 60 SECOND power output during the test, and maximum oxygen uptake (v̇ o2max). visit 1 also acted as a familiarisation trial in which the participants were made fully aware of the testing procedure and also ensu', 'pants completed a general health questionnaire. the participants had an age of 42.6 ± 8.4 years, mass of 76.7 ± 6.7 kg, height of 180 ± 5.9 cm and maximal oxygen uptake (v̇ o2max) of 57.6 ± 6.3 ml·kg-1·MIN-1 (MEAN ± sd). the study was approved by the canterbury christ church university ethics committee prior to completion. experimental protocol: all exercise tests were undertaken on an electronically braked cy']",TRUE,,,,,,02640414.2017.1343956,TRUE
FALSE,0967-3334_._36_._5_._911,,"['each 1 min', 'butterworth']",FALSE,TRUE,,,,,,0967-3334_._36_._5_._911,TRUE
FALSE,14767058.2016.1147550,,['ones for over'],FALSE,TRUE,,,,,,14767058.2016.1147550,TRUE
FALSE,2015_._804794,,"['1⋅min−1)record', 'every1min']","['·min−1)v\U000f3c00o2peak (ml·kg−1·min−1)r2=0.61(b)figure5:panelplotsofrelationshipbetweenrosproductionrate(𝜇mol⋅min−1)and(a)antioxidantcapacity(nw)and(b)peakrosproductionrate(𝜇mol⋅min−1⋅kg−1)and𝑉\U000f8020o2peak(ml⋅kg−1⋅MIN−1)RECORDedattheendofieinthetwosessions:before(pretrg,fullsquares)andafter(posttrg,emptysquares)training.thelinearregressionfit(solidline)isalsoshownandsoisthecorrelationcoefficient(𝑟2)reportedineachpanel.asig', 'chsubject.allsubjectswereinstructedtoremainseatedduringthetest.subjectsperformedanincrementalexercise(ie)uptovoluntaryexhaustion.inbrief,thisprotocolinvolvedastartingpoweroutputof15wwithincreasesof15wEVERY1MINuptovoluntaryexhaustion.arm-ergometerworkloadwasadjustedbyman-uallyplacingweightsontheattachedbasket.cadencewassetat60rpm.pulmonaryventilation(𝑉\U000f8020𝐸,expressedinbtps),o2uptake(𝑉\U000f8020o2),andco2output(𝑉\U000f8020co2),b']",TRUE,,,,,,2015_._804794,TRUE
FALSE,2015_._909561,,['1⋅min−1abovethehighest'],"['dmeninnorway[2]andabovethe90percentile(44.2ml⋅kg−1⋅min−1)intheacsmguidelines[14].hisvo2maxishigherthanthemeanof30-to39-year-oldnorwegianmenandinactive20-to29-year-oldnorwegianmen[2],anditisalso8ml⋅kg−1⋅MIN−1ABOVETHEHIGHESTvo2maxreportedamong12swedishlifelongoctogenarianenduranceathletes,includingaformerolympicchampion[1].hismetvalueof14ishigh,whichplaceshiminthelowmortalityriskcategory≥10mets[8,15]aswellasabovethe44.2m']",TRUE,,,,,,2015_._909561,TRUE
TRUE,2016_._6050193,,['over1min'],FALSE,FALSE,,,,,,2016_._6050193,TRUE
FALSE,2193-1801-2-229,,"['mean respiration rate of 23.83 ± 1.75 breaths per minute', 'three minute intervals', 'eights to each']","[' emg signal and the subsequent metabolic power was approximately 12 breaths, which equates to 28.33 ± 4.31 s, with a mean β of 0.28 ± 0.07 and τ of 96.11 ± 2.57 breaths (table 1). applying different wEIGHTS TO EACH muscle in the model had a significant effect on the determination of metabolic power as seen by the significantly different mean correlations for the 100 highest (hcor; see methods) and 100 lowest (l', 'ads, which provides a small measure of smoothing, similar to a moving average, for the breathby-breath emg intensities when compared to the cycleby-cycle values. even at 25% _v o2max, with the lowest MEAN RESPIRATION RATE OF 23.83 ± 1.75 BREATHS PER MINUTE, there were only 4.15 ± 0.36 pedal cycles per breath. this level of data reduction maintains the important information of the emg signal while reducing the amount of noise (figure 4). determination o', 'cycling protocol and data collection was completed as described previously (blake et al. 2012). briefly, participants cycled at a freely chosen cadence (94.7 ± 1.1 rpm) continuously for 18 minutes in THREE MINUTE INTERVALS at 25, 40 and 55% of the power output at _v o2max in random order followed by 60, 75 and 90% _v o2max, also in random order, while breath-by-breath oxygen and carbon dioxide gas exchange (vmax 229 me']",TRUE,,,,,,2193-1801-2-229,TRUE
FALSE,978-3-030-34461-0_28,,"['averaged over the last 10\xa0s ', 'every 1\xa0min']","['moglobin concentration (∆total-hb) were  measured at gastrocnemius medialis and vastus lateralis muscles in the left leg by  near infrared spatial resolved spectroscopy (nirsrs). the nirsrs data were AVERAGED OVER THE LAST 10\xa0S at rest, 20, 40, 60, 80, and 100% of peak vo2. the nirsrs  probe consisted of one light-emitting diode using two-wavelength (770 and 830\xa0nm)  and two photodiode detectors, and the optode distances wer', 'sent was given. 2.2 experimental design the subjects performed graded ramp treadmill exercise (mat-2700, fukuda-  denshi, japan) until exhaustion. the speed and grade of the treadmill were increased  EVERY 1\xa0MIN by approximately 1 metabolic equivalent. vo2 was measured continuously during the experiments to determine peak vo2 (ae300s, minato medical  science, japan). all subjects attained respiratory gas exc']",TRUE,,,,,,978-3-030-34461-0_28,TRUE
FALSE,978-3-319-38810-6_37,,"['averaged over the last 5s ', 'averaged every 60 s ']",FALSE,FALSE,time,bin,5,mean,whole,978-3-319-38810-6_37-time-bin-5-mean-whole,TRUE
FALSE,978-3-319-38810-6_37,,"['averaged over the last 5s ', 'averaged every 60 s ']",FALSE,FALSE,time,bin,60,mean,whole,978-3-319-38810-6_37-time-bin-60-mean-whole,TRUE
FALSE,978-3-319-91287-5_20,,"['mean pre-exercise,  during the last 5\xa0 min']","['ed as changes from the average value  obtained during the pre-exercise rest phase. a  one-way repeated-measures analysis of variance  (anova) was performed to compare o2hb levels, sbe and map between MEAN PRE-EXERCISE,  DURING THE LAST 5\xa0 MIN of exercise and the last  5\xa0min of the post-exercise rest period. the level  of statistical significance was set at p\xa0<\xa00.05. 3 results temporal changes the grand averthe  ages of o2hb and hhb are sh']",TRUE,,,,,,978-3-319-91287-5_20,TRUE
FALSE,a-0877-6981,,"['fast fourier transform', 'fft', 'during\u2009the\u200945\u2009s\u2009']","['ming pool to measure physiological capacities during this event. the test consisted of performing the best total time possible. capillary samples for blood lactate  [la]b\u2009were\u2009collected\u2009at\u2009the\u2009finger\u2009DURING\u2009THE\u200945\u2009S\u2009rest\u2009interval\u2009after\u2009 each step of the test: after 500 m, 3 500 m, 7 000 m, 8 500 m and  10 000 m. gas analysis for v˙o2peak was conducted immediately after  the end of the test using the k4b2 gas anal']",TRUE,,,,,,a-0877-6981,TRUE
FALSE,a-1073-8016,,"['highest  10\u2009s\u2009', 'highest\u200930\u2009s\u2009']","['−\u20091); a respiratory exchange ratio greater than 1.1; a maximal hr above 90 % of the predicted maximal theoretical heart rate (220- age in years) or apparent exhaustion [36]. vo2max\u2009was\u2009defined\u2009as\u2009the\u2009HIGHEST\u200930\u2009S\u2009average in oxygen uptake and maximal heart rate (hrmax) as the HIGHEST  10\u2009S\u2009average\u2009during\u2009the\u2009test.\u2009ppo\u2009was\u2009defined\u2009as\u2009maximal\u2009aerobic\u2009 power, which was achieved at the end of the incremental tests. capillary blood samples were taken from the earlobe at the end of each  stag']",FALSE,time,bin,30,mean,whole,a-1073-8016-time-bin-30-mean-whole,TRUE
FALSE,a-1100-7253,,"['1.min − 1) mean', 'each 1-min', ' 45 s of each']","[' the study by pringle & jones [9], subjects wore a  nose clip and breathed into douglas bags for a whole number of  breaths over a hand-timed period, whereas the expired air was collected for at least 45 s of EACH 1-MIN period. the statistical analyses for la and vo2 in the study by pringle & jones were based on a  lower number of measuring points. cle tests below and at mlss  statistics were based on 5-min measures', '.kg − 1) maximum oxygen uptake (vo2max in ml.kg − 1.min − 1)  workload at the rcp (prcp in watt) workload per kg body mass at the rcp (prcp in watt.kg − 1) oxygen uptake at the rcp (vo2rcp in ml.kg − 1.MIN − 1) MEAN ± sd 28 ± 5 178 ± 7 73 ± 9 23 ± 2 331 ± 68 4.53 ± 0.75 55.3 ± 8.2 244 ± 55 3.34 ± 0.61 44.3 ± 6.6 min 20 163 52 18 167 3.05 41.6 103 1.95 33.8 max 44 193 90 28 450 6.4 74.9 349 4.8 60.3 ) 1nmi. 1gk. ']",TRUE,,,,,,a-1100-7253,TRUE
FALSE,ajpendo.00598.2006,,['1 min. for each'],FALSE,TRUE,,,,,,ajpendo.00598.2006,TRUE
FALSE,ajpregu.00030.2004,,"[' 18s samples', 'each sample, 18s ']",FALSE,TRUE,,,,,,ajpregu.00030.2004,TRUE
FALSE,ajrccm.157.3.9703055,"Minute ventilation ( E) and oxygen and carbon dioxide tensions in the expired air were determined every eight breaths, and from these measurements the mean E, oxygen uptake ( O2), and carbon dioxide production ( CO2) were rapidly calculated.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",['every 3s '],FALSE,FALSE,breath,rolling,8,mean,whole,ajrccm.157.3.9703055-breath-rolling-8-mean-whole,TRUE
