done,doi_suffix,Data Processing Text,interpolation_text,Interpolation type,Interpolation time (s),Notes
TRUE,s40064-016-2952-4,,FALSE,,,
TRUE,s40279-019-01103-y,,,,,
TRUE,s41467-019-10925-3,,,,,
TRUE,s1517-86922008000400007,,,,,
TRUE,s1517-86922009000200010,,,,,
TRUE,s1517-86922010000400012,,,,,
TRUE,s42000-020-00176-z,"An Ergo-Fit Cardio Line 4000 TRAC (EuroMedix, Leuven, Belgium) treadmill ergometer was used with a Cardiovit AT-104 ECG recorder (Schiller Medizintechnik GmbH, Ottobrun, Germany), in conjunction with a PowerCube (Ganshorn Medizin Electronic GmbH, Niederlauer, Germany) O2 and carbon dioxide (CO2) gas analyser. The system was calibrated before each measurement.",,,,
TRUE,sc.2017.34,"The data from the tests (VO2, RER and Ve) were time-averaged into 30 -s intervals",FALSE,,,
TRUE,s10103-016-2011-y,"For analysis of respiratory variables, the data were smoothed every five points and interpolated every 1 s using the software OriginPro 8.0 (OriginLab Corporation, Northampton, USA).","[' a spirometer with a 3- l syringe (hans rudolf, kansas city, usa), according to the manufacturer’s recommendations. for analysis of respiratory variables, the data were smoothed every five points and INTERPOLATed every 1s using the software originpro 8.0 (originlab corporation, northampton, usa). heart rate was measured during all efforts using a transmitter belt coupled to the gas analyzer (wireless hr 138']",,1,
TRUE,s12887-022-03257-7,,,,,
TRUE,s41419-017-0256-4,,,,,
TRUE,s41598-019-54912-6,,,,,
TRUE,s41598-020-58492-8,The breath-by-breathV̇ O2 data collected by the gas analysis system was averaged per minute for further analysis,,,,
TRUE,s004210100384,,,,,
TRUE,s00421-017-3677-y,,,,,
TRUE,s00421-019-04275-7,,FALSE,,,
TRUE,s00431-017-2948-2,,FALSE,,,"This study measured different activities for 4 minute periods. They removed the first 2.5 minutes and averaged the remaining 90 seconds. However, that means they took every breath (unaveraged) and got the average value across that time. Though, unaveraged data was not explicitly stated..."
TRUE,s00520-015-2993-1,The peak oxygen uptake (VO2peak) was calculated as the mean value of the final 30 s of the test and expressed in milliliters per kilogram per minute (ml/kg/min).,FALSE,,,
TRUE,s0717-75182021000600893,,,,,
TRUE,s10654-006-9038-5,,,,,
TRUE,s12970-020-00369-2,,,,,
TRUE,s12986-020-00497-1,"At the end of the test, the highest average VO2 value recorded over a 30 s period of exercise was considered the participants VO2max.",,,,
TRUE,s004210050052,Expired gas was collected for a timed period of whole number of breaths during the final 45 seconds of each minute.,,,,
TRUE,s1047951109990928,,FALSE,,,
TRUE,s0066-782x2012005000092,,,,,
TRUE,s0100-879x2004000300019,,,,,
TRUE,s00421-020-04390-w,"During the maximal exercise test, the highest 30-s rolling average of ̇V O2 and HR were used to calculate ̇V O2Peak and HRPeak.","[' calculated using the log–log transformation method (beaver  et\xa0al. 1985). moreover, this test enabled the identification of  the po corresponding to a fixed bla of 4\xa0mmol\xa0l−1 (po4),  by using linear INTERPOLATion methods as used in the handcycling literature (stangier et\xa0al. 2019; zeller et\xa0al. 2017). 1 3\x0ceuropean journal of applied physiology (2020) 120:1621–1628 1623 fig. 1 experimental protocol for the ']",,,There was a submaximal test focused on lactate that took the last minute of data from each stage
TRUE,s00421-021-04769-3,"The time course of oxygen and carbon dioxide partial pressures throughout the respiratory cycles were continuously monitored by a mass spectrometer (Balzers Prisma, Balzers, Liechtenstein) calibrated against gas mixtures of known composition. Oxygen and carbon dioxide partial pressures traces were aligned with the flowmeter traces and breath-by-breath ̇V O2 and carbon dioxide output ( ̇V CO2) were then computed off-line by means of a modified version of Grønlund’s algorithm (1984) run in LabVIEW ® environment ( LabVIEW® 5.0, National Instruments™, Austin, TX, USA).","['hysiol 87:1506–1512 barstow tj, molé pa (1987) simulation of pulmonary o2 uptake during exercise transients in humans. j appl physiol 63:2253–2261 bringard a, adami a, moia c, ferretti g (2014) a new INTERPOLATionfree procedure for breath-by-breath analysis of oxygen uptake in  exercise transients. eur j appl physiol 114:1983–1994 bringard a, adami a, fagoni n, fontolliet t, lador f, moia c, tam e,  ferrett', 'aligned, by setting the time of exercise start as time zero for  the analysis of the on-kinetics. then co, hr and ̇vo2 traces  from the three repetitions were pooled together for each subject without INTERPOLATion (bringard et\xa0al. 2014). for each  variable, the time course upon exercise onset was analysed  by the double exponential model (barstow and molé 1987;  lador et\xa0al. 2006): t−d1 − t−d2 − f (t) = b +']",uninterpolated,,
TRUE,s00421-022-04898-3,Breath-by-breath gas exchange values were recorded and averaged every 15 s by a gas exchange analyser,"['s of dr training regarding vl muscle  volume and acsamean. although results could be influenced table 1 test–retest  reproducibility of knee-extensor  muscle strength, voluntary  activation (va, i.e. INTERPOLATed  twitch technique) and vastus  lateralis muscle morphology  measurements in seven  recreationally active participants minimum detectable change  (95% ci) 1.27% (± 3.88\xa0n·m) 5.90% (± 16.90\xa0n·m) 2.79', 'area\n analysis of variance\n coefficient of variation\n downhill running\n downhill run at −\xa05% slope\n downhill run at −\xa010% slope\n downhill run at −\xa015% slope\n electromyography\n intraclass coefficient\n INTERPOLATion twitch technique\n knee extensors\n fascicle length\n maximal m-wave amplitude\n muscle thickness\n maximal voluntary torque\n maximal voluntary isometric torque vol.:(0123456789)1 3\x0c1072 mvtecc  mvtcon', 'provided throughout the test. for all contraction  modalities, the repetition with the highest mvt (mvtpeak)  was used for subsequent analysis. voluntary activation and\xa0electromyographic activity the INTERPOLATed twitch technique (itt) was conducted with  transcutaneous electrical stimuli (100\xa0hz doublet) delivered  to the right femoral nerve via a constant-current stimulator (ds7a, digitimer, welwyn garden']",,,
TRUE,s00586-009-1002-0,,FALSE,,,
TRUE,s10973-018-7067-4,,,,,
TRUE,s11845-021-02861-3,,FALSE,,,
TRUE,s12576-020-00750-5,,"[' analog-to-digital (ad) conversion device  and software (powerlab 8/35, adinstruments, colorado  springs, co, usa) at 1\xa0 khz. then, second-by-second  time courses were calculated for each variable by INTERPOLATing the beat-by-beat or average data. beat-by-beat bv through the right ba to the distal  third of the right inactive upper limb, as well as vessel diameter, was measured by using a pulse-echo doppler', 'ter system, in addition to  the ecg, so that beat-by-beat data could be analyzed.  finally, second-by-second time courses of antegrade, retrograde, and mean (i.e., net) velocities were calculated  by INTERPOLATion of the beat-by-beat data. b-mode echo  images of the right ba were recorded simultaneously on  a hard-disk drive video recorder, and the diameter of the  vessel was measured by using on-screen cal', 'calibrated by introducing a known volume of  air at several mean flow rates and gas mixtures of known  composition, respectively. the second-by-second time  course was calculated for each variable by INTERPOLATion  of the breath-by-breath data. sbf was monitored in the center of the right forearm  by using a laser-doppler flowmeter (alf21; advance  co., ltd., japan) as a measure of red blood cell flux. the ']",,1,
TRUE,s12877-018-0993-y,,FALSE,,,
TRUE,s-0033-1337905,"To calculate V O2peak, the V O2 data were interpolated (second to second) and the highest 15s moving average was taken to be V O2peak for each laboratory test.","['icipant. the resulting individual linear regression equations were used to calculate individual estimated energy expenditures from the live performance mean hrs. to calculate o2peak, the o2 data were INTERPOLATed (second to second) and the highest 15s moving average was taken to be o2peak for each laboratory test. hrpeak was defined as the highest recorded value from each test. the relationship between betw']",,1,
TRUE,s0022-4707.20.10322-0,,,,,
TRUE,s0034-98872019000300289,,,,,
TRUE,s0100-879x2011007500073,"Pulmonary ventilation was quantified, and the partial oxygen and carbonic gas fractions were analyzed and expressed every 10 s by a VO2000 Metabolic Analyzer (MedGraphics), which was periodically calibrated with a 2-L syringe and with gases of known concentrations.",,,,
TRUE,s00246-020-02359-2,Gas exchange was measured continuously during each test using a breathby- breath method and averaged over 15 s intervals.,FALSE,,,
TRUE,s00421-005-1350-3,Peak VO2 was calculated as the average of the 30 s breath-by-breath data immediately prior to the peak workload.,FALSE,,,
TRUE,s00421-022-04928-0,The highest 15-s VO2 during the final stages of the test was considered as the individual VO2max,FALSE,,,
TRUE,s10072-020-04965-7,,,,,
TRUE,s11357-013-9596-x,,,,,
TRUE,s11695-020-04944-z,"Respiratory gas exchange and ventilation (VE) were analysed breath-by-breath, averaging 20-s intervals during rest and incremental exercise.",FALSE,,,
TRUE,s12970-015-0106-7,"Pulmonary gas exchange was continually collected throughout the incremental test (Oxycon Pro, VIASYS GmbH, Eric Jaeger, Hoechberg, Germany) and was averaged to fifteen seconds collection periods.",FALSE,,,
TRUE,s0007114521002208,,,,,
TRUE,nu8120755,The .V O2max was determined based on the highest 30 s average value,FALSE,,,
TRUE,nu14091776,,FALSE,,,
TRUE,oxfordjournals.eurheartj.a014942,"Ventilation and gas concentration were averaged over 30 s and from these values minute venilation, the rate of oxygen uptake, the rate of CO2 production and respiratory exchange ratio were derived",,,,
TRUE,oxim.2.4.9415,,FALSE,,,
TRUE,pbc.27113,,,,,
TRUE,raq.12501,,,,,
TRUE,resp.12162,The highest 30-s average VO2 was recorded as the VO2peak,FALSE,,,
TRUE,s-0035-1548810,"Oxygen uptake (VO2), carbon dioxyde production (VCO2) and respiratory 140 exchange ratio 141 (VCO2/VO2) were measured by portable system for pulmonary gas exchange measurements using a breath-by-breath analysis device (K4 b2142 , Cosmed, Rome, Italy) and averaged over 15 s",FALSE,,,
TRUE,s00421-007-0519-3,,FALSE,,,
TRUE,s00421-013-2741-5,VO2peak was identified over the highest 30s period during the test,"['e intensity is significant. furthermore, the post-exercise ee assessment protocols were very different compared to the current investigation with significantly lower sampling volume and hence greater INTERPOLATion of data. in the present study both hiie protocols had a significant impact on the rer during exercise and within the epoc rp. explicitly, during exercise the rer increased in each protocol represe', ' activity, prior to and during the investigation, is a key strength of the study. moreover, the detail of post-exercise assessment in terms of the percentage of actual sampling time, rather than data INTERPOLATion, is also notable (51% of the total 11 h epoc assessment). limitations of this study include the lack of generalisability afforded by the use of a homogenous sample of young, healthy males. specifi']",,,
TRUE,s00421-014-2883-0,,"['rey et al. 2010; racinais et al. 2007) but were  in accordance with the losses previously observed after  a maximal cycling exercise (~8 %; racinais and girard  2012). maximal emg activity and twitch INTERPOLATion  recordings obtained during mvc were used to assess  the completeness of plantar flexors activation capacity.  our results displayed a ~7 % reduction in maximal, raw  soleus rms activity, whereas ', 'aep 110 100 90 80 70 60 100 96 92 88 84 80 21 19 17 15 13 11 con hyp hot h+h fig. 4 maximal isometric voluntary contraction torque of plantar  flexors (pf mvc torque, a), voluntary activation (twitch INTERPOLATion technique, b) and peak twitch torque (pt, c) before (pre-tests) and  after (post-tests) cycling to exhaustion in various conditions. con  temperate and sea level, hot hot and sea level, hyp temper', 't sciences, department of physiology,  faculty of biology and medicine, university of lausanne,  lausanne, switzerland significance. maximal voluntary contraction torque, voluntary activation (twitch INTERPOLATion) and peak twitch torque  decreased from pre- to post-exercise (−9 ± 1, −4 ± 1 and  −6 ± 1 % all trials compounded, respectively; p < 0.05),  with no effect of the temperature or altitude. m-wave  ', 'rd  2012; tennis match play: girard et al. 2011), our results  confirm that the neural input reaching the muscle—at least  measured during mvcs—decreases with fatigue. however, surface emg and twitch INTERPOLATion techniques do  not quantify the descending drive to the lower motoneurons nor do they take into account the source of this drive  (de haan et al. 2009). thus, other neurostimulation techniques wer']",,,
TRUE,nu8080518,,FALSE,,,
TRUE,nu13124391,,FALSE,,,
TRUE,pc.2015.29,Peak VO2 was defi ned as the mean of the two highest consecutive values of 15-s averages of VO2,FALSE,,,
TRUE,pes.24.2.187,,,,,
TRUE,phm.0000000000000108,Breath-by-breath measurement of VO2 data (ml/kg/min) was collected and averaged into 30-second intervals to reduce variability,FALSE,,,
TRUE,s00394-019-02101-6,,FALSE,,,
TRUE,s00421-011-2129-3,"Expired gases were collected and averaged in 15 s intervals during the test using a calibrated metabolic cart (Parvomedics, Inc., Salt Lake City, UT).",,,,
TRUE,s00421-013-2767-8,"VO2max was taken as the highest 30-s average of breath-by-breath data and confirmed when the corresponding respiratory exchange ratio was at least 1.1 and blood lactate was at least 7.5 mmol/l. PPO was interpolated from the average P/t slope (i.e., 15 W/min) and time point at exhaustion.","['x was taken as the highest 30-s  average of breath-by-breath data and confirmed when the  corresponding respiratory exchange ratio was at least 1.1  and blood lactate was at least 7.5 mmol/l. ppo was INTERPOLATed from the average p/t slope (i.e., 15 w/min) and  time point at exhaustion. bla max was taken at exhaustion. p  vt 2 was identified by two independent investigators as the  INTERPOLATed po correspon', 'est and the estimated o2  demand (bangsbo et al. 1990). o2 consumption was the  area under the curve of gross vo2 between 0 and 90 s (i.e.,  mean vo2·1.5 min). o2 demand at 110 % ppo was estimated by INTERPOLATing data from the most recent incremental test (using stages prior to plateau in vo2 only) and correcting the y-intercept based on steady-state vo2 during the  warm-up prior to the fpt. the following ']",,,
TRUE,nu14010141,,FALSE,,,
TRUE,oem.34.2.126,,,,,
TRUE,oxfordjournals.eurheartj.a015352,,,,,
TRUE,pes.2018-0141,,,,,This is a review paper that compiled many data sets.
TRUE,physiolsci.rp011906,,FALSE,,,
TRUE,ppul.21024,"Gas measurements were collected in the upright position before and during CPXT to 2 O V & peak, and during the first 10 min of recovery using a 10 s moving average.",,,,
TRUE,psyp.12868,,FALSE,,,
TRUE,s00360-012-0690-7,,,,,
TRUE,s00421-006-0327-1,The cardio-respiratory values were averaged over a 15 s period during the maximal graded test,FALSE,,,
TRUE,s00421-016-3379-x,pVO2 was averaged over the last minute of each work load of the lactate threshold test and pVO2peak was defined as the highest one-minute average attained during the MAP-test.,FALSE,,,
TRUE,journal.pone.0201598,,FALSE,,,
TRUE,journal.pone.0208452,"VO2max was determined by the average of the two highest VO2 measurements (30 sec periods), and maximal aerobic power output (Wmax) was calculated as the mean power output of the last minute of the test.",,,,
TRUE,journal.pone.0249504,,FALSE,,,
TRUE,jrrd.2007.09.0153,,FALSE,,,
TRUE,jsc.0000000000003470,,FALSE,,,
TRUE,juoeh.8.11,,,,,
TRUE,mss.0000000000000880,"In addition, breath-by-breath VO2 and VE were averaged over 10s periods to derive the OUES for each individual.",FALSE,,,
TRUE,mss.0000000000001429,"Gas exchange results were used to determine the VO2-peak, 134 which was defined as the average VO2 over the last 30 seconds of the exercise test.",,,,
TRUE,mss.0000000000002245,Peak power was recorded as the highest power output achieved and V̇ 122 O2peak was identified as the highest V̇ 123 O2 recorded over a consecutive 30 s average during the test.,FALSE,,,
TRUE,journal.pone.0257549,,,,,
TRUE,jpah.2014-0535,,FALSE,,,
TRUE,jsc.0b013e3181876ad0,,,,,
TRUE,jsc.0000000000001521,V . 194 O2peak was considered the highest volume of oxygen (V . O2) obtained in any 10 s period with V . 195 O2peak more appropriately describing the ACCEPTED 7 end point of the test due to an absence of O2 plateau in all participants,,,,
TRUE,mss.0000000000000568,"Sub-maximal V ! O2 was determined via a final minute average for each stage. V ! O2max established via a rolling 30 s average, after eliminating values that are outside four standard deviations of the midpoint of a rolling 20 breath mean (attributed to ‘noise’; 30).",FALSE,,,
TRUE,mss.0000000000001353,"Expired gases were collected continuously, and ventilatory variables were calculated at 15-s intervals using a calibrated metabolic cart (TrueOne  2400 or TrueMax 2400; Parvo Medics, Sandy, UT).",,,,
TRUE,nu12123911,,,,,
TRUE,journal.pone.0210216,The data were filtered every 15 seconds for further analysis,[' have chosen the medium artifact correction which means that any rr interval that was larger/smaller than 0.25 s compared to the locale average was corrected by replacing the identified artefact with INTERPOLATed values using a cubic spline INTERPOLATion. we adjusted this threshold with mean heart rate. we quantified in the time domain the standard deviation of the rr intervals. the linear indices obtained '],,,
TRUE,journal.pone.0210275,"During the test, oxygen uptake (VO2) was continuously measured by means of a breath-by-breath analyzer (Metalyzer 3B, Cortex, Germany) and the data were averaged every 15 s.",FALSE,,,
TRUE,journal.pone.0210651,,,,,
TRUE,journal.pone.0217491,,FALSE,,,
TRUE,jsc.0b013e3181bc19b1,Open circles represent breath-by-breath V  O2 data; the dashed horizontal line represents 95% of the subject’s V  O2max; the solid line represents a three breath moving average.,FALSE,,,
TRUE,mppa.2020.1007,All cardiorespiratory data underwent a 5-breathe smooth,FALSE,,,
TRUE,mss.0000000000000793,,,,,
TRUE,mss.0000000000001151,"Heart rate, V̇O2 (ml.kg.-188 1.min1), V̇E and RER were averaged across 10 s epochs with BP recorded at 1:30 and 4:30 of 189 the five minute protocol.",FALSE,,,
TRUE,nu11061287,"Throughout cardio-pulmonary exercise testing, breath-by-breath measurements were conducted and averaged over 5 s for later analysis (METAMAX® 3B; Cortex Biophysik GmbH, Leipzig, Germany).",FALSE,,,
TRUE,nu11071642,"The breath-by-breath pulmonary gas exchange data were continuously measured during the test and averaged over 15 s periods (Oxycon Pro, Jaeger GmbH, Würzburg, Germany).",FALSE,,,
TRUE,japplphysiol.00499.2018,,"['xhaustion (deﬁned as not being able to maintain cadence above 60 revolutions/min despite verbal encouragement). the workload corresponding to a blood lactate concentration of 3 mmol/l (w3mm) was then INTERPOLATed from this test and recorded. the ratings of perceived exertion (rpes) and heart rate (hr) (polar, kempele, finland) were measured in the last 10 s of each stage, and data from the metabolic cart we']",,,
TRUE,japplphysiol.00634.2013,,,,,
TRUE,journal.pone.0049098,,,,,
TRUE,journal.pone.0097534,,,,,
TRUE,journal.pone.0235567,"To compare peak values for ⩒o2, RER and HR between INC and CWR, gas exchange and ventilation data were exported in 10-s bins that were subsequently rolling averaged to provide 20-s values.",FALSE,,,
TRUE,jsc.0000000000001638,"Expired ventilatory volume, V_ O2 (l$min21), and V_ CO2 (l$min21) were analyzed and calculated by open circuit spirometry in 15-second sampling intervals.",FALSE,,,
TRUE,nu10070815,,,,,
TRUE,japplphysiol.00853.2006,,,,,
TRUE,japplphysiol.01437.2012,,,,,
TRUE,jb.184.3.746-753.2002,,,,,
TRUE,jbc.m117.806786,,,,,
TRUE,jcj.63.945,,,,,
TRUE,jjphysiol.23.645,Maximum oxygen intake and carbon dioxide output were determined by the Douglas bag technique: Expired gas was collected in the bag every minute until exhaustion.,,,,
TRUE,joe-07-0625,,,,,
TRUE,journal.pone.0114729,"Expired gases were continuously collected and analyzed with the MetaMax II metabolic test system (Cortex Biophysik, Leipzig, Germany; mixing chamber; sampling frequency 10 s).",,,,
TRUE,journal.pone.0139279,Expired gases were VO2peak was calculated as the highest _V O2 value averaged over 60 s,FALSE,,,
TRUE,journal.pone.0140616,,,,,
TRUE,journal.pone.0140863,,,,,
TRUE,journal.pone.0181228,,FALSE,,,
TRUE,jappl.1996.81.2.738,"On-line 30-s average values of O2 uptake (VO2, CO2 output (VCO2), minute ventilation (VE), and respiratory exchange ratio (R) were calculated",FALSE,,,
TRUE,japplphysiol.00498.2015,"The pulmonary V ˙ O2 data from each test were initially examined to exclude occasional errant breaths caused by coughing, swallowing, sighing, etc., which were considered not to be reflective of the underlying kinetics; i.e., only values greater than 3 SDs from the local mean were omitted. During the incremental exercise, the pulmonary V ˙ O2max attained was taken as the highest 15-breath rolling average value attained. An identical procedure was employed on the Tlim tests for the determination of peak V ˙ O2 and its associated heart rate (HR) and V ˙ E. To avoid being influenced by the amount of data used in the comparison between the control and IPC conditions, the V ˙ O2 onset kinetics were analyzed by fixing the time window to the shortest Tlim recorded for each subject (i.e., isotime). The breath-by-breath data were first linearly interpolated to provide second-by-second values, and, for each individual, identical repetitions were time-aligned to the start of exercise, and the ensemble was averaged.","['ontrol and ipc conditions, the v˙ o2 onset kinetics were analyzed by ﬁxing the time window to the shortest tlim recorded for each subject (i.e., isotime). the breath-by-breath data were ﬁrst linearly INTERPOLATed to provide second-by-second values, and, for each individual, identical repetitions were time-aligned to the start of exercise, and the ensemble was averaged. a biexponential model was then applied']",linear,1,
TRUE,jc.2003-030632,,,,,
TRUE,jc.2015-1339,,,,,
TRUE,jci.insight.122247,,,,,
TRUE,jci109443,,,,,
TRUE,jme-16-0159,,,,,
TRUE,jospt.1998.27.2.154,"A gas analysis system (SensorMedics 2900, SensorMedics Corp., Anaheim, CA) was used to record all respiratory measures every 30 seconds, and heart rate was monitored using a three-lead ECG (Porta Pak/SOA, Medical Research Laboratories Inc., Buffalo, Grove, IL).",FALSE,,,
TRUE,japplphysiol.00767.2016,,,,,
TRUE,japplphysiol.00864.2015,,,,,
TRUE,jci110399,,,,,
TRUE,jomh.2021.111,,,,,
TRUE,jospt.1994.19.3.140,,FALSE,,,
TRUE,journal.pone.0108690,,FALSE,,,
TRUE,journal.pone.0113541,,,,,
TRUE,journal.pone.0125053,"These measures and flow signals were integrated to yield 30-s averages of V_ E, tidal volume, respiratory rate, V_ O2, and carbon dioxide output (V_ CO2).",FALSE,,,
TRUE,journal.pone.0154135,"The raw breath-by-breath data were preprocessed to remove occasional, artifactual values resulting from, e.g., swallowing or coughing, by means of a procedure similar to that described by Lamarra et al. [35]. V’O2 responses from the bouts of repeated exercises were time-aligned to the onset of the exercise and interpolated on a second-by-second basis. The resulting data were then, for each subject, superimposed, averaged over the transitions of the exercise and, finally, averaged over consecutive 10 s time intervals, as in, e.g., Ref. [36], in order to reduce the noise.","['wallowing or coughing, by means of a procedure similar to that described by lamarra et al. [35]. v’o2 responses from the bouts of repeated exercises were time-aligned to the onset of the exercise and INTERPOLATed on a second-by-second basis. the resulting data were then, for each subject, superimposed, averaged over the transitions of the exercise and, finally, averaged over consecutive 10 s time intervals,']",,1,
TRUE,s1980-65742012000100011,,,,,
TRUE,1472-6793-4-1,,,,,
TRUE,abc.20190443,,,,,
TRUE,1980-6108.2016.4.24394,,,,,
TRUE,1806-9282.65.3.361,,,,,
TRUE,jspfsm1949.34.177,,,,,
TRUE,ajpendo.00084.2016,,,,,
TRUE,01.res.82.12.1312,,,,,
TRUE,hypertensionaha.109.135426,,,,,
TRUE,bf03018946,,,,,
TRUE,fphys.2021.755656,,,,,
TRUE,hcr.0000000000000581,,,,,
TRUE,422056,,,,,
TRUE,17461391.2018.1447019,Oxygen consumption and HR were continuously collected during the trials. Kinetic data and physiological outcomes were calculated as an average value over 20 seconds of the steady state of the last minute.,,,,
TRUE,bjhpa.12.3.03,"Ventilation-metabolic indicators can be monitored  for each breath-by-breath cycle. The data must be filtered at 30-second time  intervals due to a large amount of data, and the highest values are taken as the  maximum value of the indicator in a 30-second interval.",FALSE,,,
TRUE,ccm.0000000000000854,,,,,
TRUE,01.cir.98.22.2390,,,,,
TRUE,1471-2350-11-84,,,,,
TRUE,jjphysiol.33.971,,FALSE,,,
TRUE,cep12028,,,,,
TRUE,ihj.35.301,Peak VO2 was determined as the average of values obtained in the final 15 seconds of exercise.,FALSE,,,
TRUE,jnnp.37.11.1236,,,,,
TRUE,1517-869220152103137534,,FALSE,,,
TRUE,jaha.118.008837,,,,,
TRUE,fphys.2021.683942,,,,,
TRUE,circheartfailure.113.000187,,,,,
TRUE,hrt.70.1.17,,FALSE,,,
TRUE,circheartfailure.110.944694,"Oxygen consumption (VO2) at peak exercise and at anaerobic threshold, carbon dioxide output (VCO2), minute ventilation (VE), and other exercise variables were computer-calculated breath by breath, interpolated second by second, and averaged over a 10-second interval.","['ce: oxygen consumption (vo2) at peak exercise and at anaerobic threshold, carbon dioxide output (vco2), minute ventilation (ve), and other exercise variables were computercalculated breath by breath, INTERPOLATed second by second, and averaged over a 10-second interval. test termination criteria consisted of symptoms (ie, dyspnea and/or fatigue), ventricular tachycardia, ⬎2 mm of horizontal or downsloping s']",,1,
TRUE,2049-6958-9-20,,FALSE,,,
TRUE,hrt.70.3.247,,,,,
TRUE,ijms21145162,"All measured and derived parameters [e.g., ventilatory equivalents for O2 and CO2 (V’E/V’O2 and V’E/V’CO2, respectively), end-tidal O2 and CO2 partial pressures (PETO2 and PETCO2, respectively)] were recorded and averaged every ten seconds.",FALSE,,,
TRUE,archpedi.161.6.561,,FALSE,,,
TRUE,hrt.52.2.124,,,,,
TRUE,01.hyp.33.6.1385,,,,,
TRUE,1471-2202-14-73,,,,,
