Article,Eligible,Eligibility note,External ref,Gas data
1472-6793-4-1,i,NA,NA,NA
abc.20190443,i,NA,NA,NA
1980-6108.2016.4.24394,i,NA,NA,NA
1806-9282.65.3.361,e,NA,n,n
jspfsm1949.34.177,i,Language,NA,NA
ajpendo.00084.2016,i,Non-human,NA,NA
01.res.82.12.1312,i,Non-human,NA,NA
hypertensionaha.109.135426,i,Non-human,NA,NA
bf03018946,e,NA,n,n
fphys.2021.755656,e,NA,n,n
hcr.0000000000000581,e,NA,n,y
422056,i,Non-human,NA,NA
17461391.2018.1447019,e,NA,n,y
20755279.2019.0307,e,NA,n,y
bjhpa.12.3.03,e,NA,n,y
ccm.0000000000000854,i,Non-humans,NA,NA
01.cir.98.22.2390,e,NA,n,n
1471-2350-11-84,e,NA,n,n
jjphysiol.33.971,e,NA,n,y
cep12028,i,Non-human,NA,NA
ihj.35.301,e,NA,n,y
jnnp.37.11.1236,e,NA,n,y
1517-869220152103137534,e,NA,n,y
jaha.118.008837,e,NA,n,n
fphys.2021.683942,e,NA,n,y
circheartfailure.113.000187,e,NA,n,y
hrt.70.1.17,e,NA,n,y
circheartfailure.110.944694,e,NA,n,y
2049-6958-9-20,e,NA,n,y
hrt.70.3.247,e,NA,n,y
ijms21145162,e,NA,n,y
archpedi.161.6.561,e,NA,n,y
hrt.52.2.124,e,NA,n,y
01.hyp.33.6.1385,e,NA,n,y
1471-2202-14-73,e,NA,n,y
fphys.2022.824154,e,NA,n,y
13993003.01793-2018,e,NA,n,y
jpr.s238718,e,NA,n,n
s12984-015-0099-0,e,NA,n,y
fphys.2018.01759,e,NA,n,y
j.neuroimage.2016.10.033,e,NA,n,y
bjsm.2008.046391,e,NA,n,n
fphys.2019.00629,e,NA,n,y
01.atv.15.10.1668,e,NA,n,y
fphys.2021.726414,e,NA,n,y
j.ehj.2004.04.034,e,NA,n,y
j.freeradbiomed.2015.05.014,e,NA,n,y
2052-1847-6-21,e,NA,n,y
bjsm.10.1.4,e,NA,n,y
apnm-2014-0470,e,NA,n,y
nu11020440,i,Not OP-RR,NA,NA
bjn20031031,e,NA,n,y
nu11071494,e,NA,n,y
ejcn.2011.175,e,NA,n,y
j.wem.2014.06.011,e,NA,n,y
bjsm.24.3.201,e,NA,n,y
036.102.2015.2.9,e,NA,n,y
bmjopen-2015-010359,e,NA,n,y
s004240100689,e,NA,n,n
bjsm.25.4.227,e,NA,n,y
s10047-016-0893-x,i,Not OP-RR,NA,NA
fphys.2019.00262,i,Non-human,NA,NA
japplphysiol.00587.2015,e,NA,n,y
bf00695018,e,NA,n,y
bjha-2014-0023,e,NA,n,y
bf00421316,i,Not OP-RR,NA,NA
japplphysiol.00993.2003,e,NA,n,y
ijms21228531,e,NA,n,y
s00439-009-0731-9,e,NA,n,y
jeb.00369,i,Non-human,NA,NA
journal.pone.0118809,i,Non-human,NA,NA
bf02844004,e,NA,n,n
s004210050218,e,NA,n,y
s12350-016-0724-8,i,Not OP-RR,NA,NA
journal.pone.0205976,e,NA,n,y
s12931-020-01350-y,e,NA,n,n
cells10123490,e,NA,n,y
jci109431,e,NA,n,n
s00421-003-0917-0,e,NA,n,n
sj.ijo.0802779,i,Not OP-RR,NA,NA
bf00697597,e,NA,n,y
bme-141097,e,NA,n,n
fphys.2021.769971,e,NA,n,y
bf03324567,i,Not OP-RR,NA,NA
bf00964120,e,NA,n,n
s00421-015-3180-2,e,NA,n,n
s12889-017-4237-4,e,NA,n,n
bf02527670,e,NA,n,n
s00421-009-1120-8,i,Not OP-RR,NA,NA
s00421-021-04841-y,e,NA,n,y
01.cir.80.4.863,e,NA,n,n
s12541-012-0077-4,e,NA,n,n
13993003.00160-2016,e,NA,n,y
01.str.3.4.441,e,NA,n,n
s004210100498,i,Non-human,NA,NA
s12906-017-1595-5,e,NA,n,y
bf00640658,e,NA,n,y
japplphysiol.00051.2011,e,NA,y,NA
bf00449513,i,Not OP-RR,NA,NA
jsc.0000000000003209,e,NA,n,y
jc.86.6.2525,e,NA,n,y
s004210050508,e,NA,n,n
bf00357625,e,NA,n,y
bf00864223,e,NA,n,n
bf00964107,e,NA,n,y
bf00865406,e,NA,n,y
bjsm.17.1.27,e,NA,n,y
bjsports-2013-092559,e,NA,n,n
s11332-018-0480-z,i,Non-human,NA,NA
1875399x02114010051,e,NA,n,n
s00424-003-1020-4,i,NA,NA,NA
bf00808445,i,Non-human,NA,NA
pku.whxb20090934,i,Language,NA,NA
s12020-013-9969-z,i,Not OP-RR,NA,NA
s12889-016-3652-2,e,NA,n,n
apnm-2015-0152,e,NA,n,y
bf00422959,i,Not OP-RR,NA,NA
fphys.2017.00264,e,NA,n,y
japplphysiol.00092.2018,i,Non-human,NA,NA
s00421-011-2115-9,i,Not OP-RR,NA,NA
bf00640670,i,Not OP-RR,NA,NA
nu13124258,e,NA,n,n
s00421-010-1447-1,i,Not OP-RR,NA,NA
s1047951109991090,i,Letter,NA,NA
1479-5868-4-24,e,NA,n,n
fphys.2017.01029,e,NA,n,y
bf00636620,e,NA,n,n
j.clnu.2008.03.001,e,NA,n,n
s1517-86922013000600011,i,Language,NA,NA
jbc.m113.450353,i,Non-human,NA,NA
jci152911,i,Non-human,NA,NA
ab00584,i,Non-human,NA,NA
japplphysiol.00797.2019,e,NA,n,y
journal.pone.0045755,e,NA,n,n
archrheumatol.2020.7548,e,NA,n,y
14651858.cd012678.pub2,i,Not OP-RR,NA,NA
jsc.0b013e318256bedc,e,NA,n,y
mss.0b013e3181c37458,e,NA,n,y
ejcn.2010.149,e,NA,n,y
s00421-010-1384-z,e,NA,n,n
fneur.2014.00191,e,NA,n,y
jsc.0000000000001431,e,NA,n,n
s12872-018-0839-8,e,NA,n,n
bf03167072,i,Not OP-RR,NA,NA
bjsm.37.6.516,e,NA,n,y
s00421-010-1653-x,e,NA,n,y
j.apmr.2003.11.001,e,NA,n,y
s00421-017-3627-8,e,NA,n,y
jsm.0b013e3182293891,e,NA,n,y
ijerph19031830,e,NA,n,y
j.jcf.2017.05.011,e,NA,n,y
ijspp.2020-0594,e,NA,n,y
arm.2015.39.1.91,e,NA,n,y
ijerph182412958,e,NA,n,y
ijerph17134636,e,NA,n,y
pl00013781,e,NA,n,y
ijerph19063206,e,NA,n,y
j.1440-1843.2011.02089.x,e,NA,n,y
07315724.2019.1601601,e,NA,n,y
medicina55070348,e,NA,n,y
fphys.2013.00243,e,NA,n,n
bjsm.35.6.431,e,NA,n,y
sj.ijo.0802724,e,NA,n,y
09031936.05.00011404,e,NA,n,y
bf00236696,i,Not OP-RR,NA,NA
fpsyg.2022.825738,e,NA,n,y
ijerph19074227,e,NA,n,y
etm.2017.4084,e,NA,n,y
01.mss.0000135785.68760.96,e,NA,n,y
ijerph17113865,e,NA,n,y
02640414.2021.1880171,e,NA,n,y
ijerph182111378,e,NA,n,y
ijspp.2018-0221,e,NA,n,y
10803548.2017.1381468,e,NA,n,y
bf00421711,i,Not OP-RR,NA,NA
s004210050337,i,Not OP-RR,NA,NA
ajph.85.12.1702,e,NA,n,n
journal.pone.0072215,e,NA,n,y
jc.2010-2735,e,NA,y,NA
circimaging.120.010567,e,NA,n,y
bf00618488,e,NA,n,y
ajpregu.00182.2018,e,NA,n,y
1741-7015-9-74,i,Not OP-RR,NA,NA
bf00422845,i,Not OP-RR,NA,NA
japplphysiol.00619.2018,e,NA,n,n
hrt.2003.028167,e,NA,n,y
bf00417773,i,Not OP-RR,NA,NA
bf01075985,e,NA,n,y
02640414.2011.562232,e,NA,n,y
s00421-011-2040-y,e,NA,n,n
ajpregu.00545.2015,e,NA,n,n
01.cir.90.6.2877,e,NA,n,y
s00421-004-1048-y,e,NA,n,n
sj.ijo.0801637,i,Not OP-RR,NA,NA
j.numecd.2011.03.002,e,NA,y,NA
journal.pone.0031880,e,NA,n,y
fphys.2019.00365,e,NA,n,y
bf00714996,e,NA,n,y
hrt.2003.025684,e,NA,n,y
bm.2018.030707,e,NA,n,y
09031936.04.00142903,e,NA,n,y
thx.44.9.716,e,NA,n,y
bjsm.25.4.191,e,NA,n,y
s00421-010-1709-y,e,NA,y,y
bjsm.22.3.109,e,NA,n,y
bjsm.12.4.176,e,NA,n,y
sj.ijo.0802845,i,Not OP-RR,NA,NA
hrt.71.4.391,e,NA,y,y
sj.ijo.0801037,i,Not OP-RR,NA,NA
s00464-014-3691-7,e,NA,n,y
hrt.61.5.421,e,NA,n,y
japplphysiol.01341.2012,e,NA,n,y
1351000214y.0000000105,i,Non-human,NA,NA
s004210050488,i,Not OP-RR,NA,NA
jeb.151019,i,Non-human,NA,NA
jeb.02440,i,Non-human,NA,NA
j.msard.2022.103721,e,NA,n,n
fendo.2020.531926,e,NA,n,n
s00421-006-0181-1,i,Not OP-RR,NA,NA
mss.0000000000001204,i,Not OP-RR,NA,NA
s0066-782x2002001200004,e,NA,n,n
jcm10153299,e,NA,n,y
