Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Tokmakidis, S.P., Leger, L., Mercier, D., Peronnet, F., Thibault, G.","6701440376; 7201826902; 7006264602; 7005991412; 56738491600","New approaches to predict V̇O2max and endurance from running performances",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,401,409,,16,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023543490&partnerID=40&md5=2ec1fa6bbe151126eedeb6b4eadd3a52",Article,Final,"",Scopus,2-s2.0-0023543490
"Fagard, R., Van Den Broeke, C., Bielen, E., Amery, A.","55031224200; 7801372689; 6603844854; 35396947800","Maximum oxygen uptake and cardiac size and function in twins",1987,"The American Journal of Cardiology",60,"16",,1362,1367,,42,10.1016/0002-9149(87)90620-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023522064&partnerID=40&md5=66b35366a5e24d2347197c86a716cd22",Article,Final,"",Scopus,2-s2.0-0023522064
"Tristani, F.E., Hughes, C.V., Archibald, D.G., Sheldahl, L.M., Cohn, J.N., Fletcher, R.","7004043614; 24539712900; 7007016553; 7003281641; 35254807700; 7201875302","Safety of graded symptom-limited exercise testing in patients with congestive heart failure",1987,"Circulation",76,"6 II SUPPl.",,VI,54-VI-58,,35,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023513910&partnerID=40&md5=ce428b03cf3826db8894804864747ba7",Article,Final,"",Scopus,2-s2.0-0023513910
"Schutz, Y., Bray, G., Margen, S.","7103285460; 35374693900; 7003674660","Postprandial Thermogenesis at Rest and During Exercise in Elderly Men Ingesting Two Levels of Protein",1987,"Journal of the American College of Nutrition",6,"6",,497,56,,11,10.1080/07315724.1987.10720209,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023486679&partnerID=40&md5=8cfae72a731ae55afcb49d2158bb92a7",Article,Final,"",Scopus,2-s2.0-0023486679
"Kjaer, M., Secher, N.H., Bach, F.W., Galbo, H.","26424698800; 7102380830; 7202286447; 7004999683","Role of motor center activity for hormonal changes and substrate mobilization in humans",1987,"American Journal of Physiology - Regulatory Integrative and Comparative Physiology",253,"5",,,,22/5,99,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023485144&partnerID=40&md5=7f918708a6507258e2e4d1f49e180b2f",Article,Final,"",Scopus,2-s2.0-0023485144
"Keizer, H.A., Beckers, E., De Haan, J., Janssen, G.M.E., Kuipers, H., Van Kranenburg, G., Geurten, P.","7006208712; 7003564496; 16193240100; 7103080696; 35592509400; 6602565111; 6602578935","Exercise-induced changes in the percentage of free testosterone and estradiol in trained and untrained women",1987,"International Journal of Sports Medicine",8,"SUPPL. 3",,151,153,,12,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023481230&partnerID=40&md5=1329e734d79842dc9aeafb6c07c046a3",Article,Final,"",Scopus,2-s2.0-0023481230
"Keizer, H.A., Kuipers, H., De Haan, J., Janssen, G.M.E., Beckers, E., Habets, L., Van Kranenburg, G., Geurten, P.","7006208712; 35592509400; 16193240100; 7103080696; 7003564496; 7006306965; 6602565111; 6602578935","Effect of a 3-month endurance training program on metabolic and multiple hormonal responses to exercise",1987,"International Journal of Sports Medicine",8,"SUPPL. 3",,154,160,,38,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023473477&partnerID=40&md5=ed8e65746a1336c886e55a64057ec3aa",Article,Final,"",Scopus,2-s2.0-0023473477
"Peyrin, L., Pequignot, J.M., Lacour, J.R., Fourcade, J.","7005184495; 17534976400; 8310472200; 57214645469","Relationships between catecholamine or 3-methoxy 4-hydroxy phenylglycol changes and the mental performance under submaximal exercise in man",1987,"Psychopharmacology",93,"2",,188,192,,47,10.1007/BF00179932,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023553104&partnerID=40&md5=fd5d7ad1406df606ba4013308fc0dc7b",Article,Final,"",Scopus,2-s2.0-0023553104
"Chow, R.K., Harrison, J.E.","7101916081; 7402742203","Relationship of kyphosis to physical fitness and bone mass on post-menopausal women",1987,"American Journal of Physical Medicine",66,"5",,219,227,,55,10.1097/00002060-198710000-00002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023436381&partnerID=40&md5=d6e8ea07cb9378f7111fb8422246795f",Article,Final,"",Scopus,2-s2.0-0023436381
"Casey, K., Duffin, J., Kelsey, C.J., McAvoy, G.V.","7102432281; 7103303034; 7006084007; 6602349372","The effect of treadmill speed on ventilation at the start of exercise in man.",1987,"The Journal of Physiology",391,"1",,13,24,,28,10.1113/jphysiol.1987.sp016722,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023252344&partnerID=40&md5=68a870b75717b1a2f2878924d7aa4d91",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0023252344
"Agre, J.C., Findley, T.W., McNally, M.C., Habeck, R., Leon, A.S., Stradel, L., Birkebak, R., Schmalz, R.","7007002790; 7004987963; 7006561160; 6603838118; 7202686294; 55529750200; 6602617220; 55529418500","Physical activity capacity in children with myelomeningocele",1987,"Archives of Physical Medicine and Rehabilitation",68,"6",,372,377,,48,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023266008&partnerID=40&md5=49355c2d68f2bb640fc13c7f81c80717",Article,Final,"",Scopus,2-s2.0-0023266008
"Ivy, J.L., Chi, M.M.-Y., Hintz, C.S., Sherman, W.M., Hellendall, R.P., Lowry, O.H.","7006413388; 7102038535; 7004542580; 35596005600; 55529698800; 7005586508","Progressive metabolite changes in individual human muscle fibres with increasing work rates",1987,"American Journal of Physiology - Cell Physiology",252,"6",,,,21/6,63,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023179029&partnerID=40&md5=a572b4bfc5d5ba180e714dd2e424d9d6",Article,Final,"",Scopus,2-s2.0-0023179029
"Sargeant, A.J.","7006290848","Effect of muscle temperature on leg extension force and short-term power output in humans",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,693,698,,254,10.1007/BF00424812,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023639347&partnerID=40&md5=964a9e3f88c4605bdcf1f25dccfdc1c4",Article,Final,"",Scopus,2-s2.0-0023639347
"VanHelder, W.P., Casey, K., Radomski, M.W.","6602799071; 57194230058; 21135704300","Regulation of growth hormone during exercise by oxygen demand and availability",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,628,632,,30,10.1007/BF00424801,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023629633&partnerID=40&md5=9d846ea0cb15f51ddba651cc70336e27",Article,Final,"",Scopus,2-s2.0-0023629633
"Tanaka, K., Nakadomo, F., Moritani, T.","55602172500; 6701647474; 55752168000","Effects of standing cycling and the use of toe stirrups on maximal oxygen uptake",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,699,703,,6,10.1007/BF00424813,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023626448&partnerID=40&md5=09ea0a654dbbbeed14e7ff0edda13120",Article,Final,"",Scopus,2-s2.0-0023626448
"Helal, J.N., Guezennec, C.Y., Goubel, F.","6602684134; 57225344418; 56266124200","The aerobic-anaerobic transition: re-examination of the threshold concept including an electromyographic approach",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,643,649,,59,10.1007/BF00424804,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023625939&partnerID=40&md5=7ae6910b60b7460d958ee629bc3b409d",Article,Final,"",Scopus,2-s2.0-0023625939
"Simoneau, J.-A., Lortie, G., Boulay, M.R., Marcotte, M., Thibault, M.-C., Bouchard, C.","7006741048; 6701371276; 7006144462; 7006342121; 7006809075; 7201418586","Effects of two high-intensity intermittent training programs interspaced by detraining on human skeletal muscle and performance",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"5",,516,521,,65,10.1007/BF00635363,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023221948&partnerID=40&md5=e03c77c6c4f0b1e6e43071e1a1b08515",Article,Final,"",Scopus,2-s2.0-0023221948
"Pierrynowski, M.R., Tüdus, P.M., Plyley, M.J.","6701520051; 6504769702; 7003612629","Effects of downhill or uphill training prior to a downhill run",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,668,672,,33,10.1007/BF00424808,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023203099&partnerID=40&md5=75ecba1f588f00bef4dd6d27e85f659d",Article,Final,"",Scopus,2-s2.0-0023203099
"Sargeant, A.J., Dolan, P.","7006290848; 7102416435","Human muscle function following prolonged eccentric exercise",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"6",,704,711,,94,10.1007/BF00424814,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023201267&partnerID=40&md5=8888c5a34b58ff9ed6fc6dcda4df40e5",Article,Final,"",Scopus,2-s2.0-0023201267
"Lambert, C.R., Hill, J.A., Feldman, R.L., Pepine, C.J.","7202614230; 57190759883; 7402660475; 35353341300","Effects of nicardipine on exercise- and pacing-induced myocardial ischemia in angina pectoris",1987,"The American Journal of Cardiology",60,"7",,471,476,,20,10.1016/0002-9149(87)90288-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023198214&partnerID=40&md5=117e752a12b8af6945941e57695e14e7",Article,Final,"",Scopus,2-s2.0-0023198214
"Shindo, M., Kumagai, S., Tanaka, H.","7201912896; 7202646143; 55628563123","Physical work capacity and effect of endurance training in visually handicapped boys and young male adults",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"5",,501,507,,18,10.1007/BF00635361,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023181668&partnerID=40&md5=6357c21e82193f8336ef7e66576e1ce6",Article,Final,"",Scopus,2-s2.0-0023181668
"Eßfeld, D., Hoffmann, U., Stegemann, J.","7004130972; 7102993904; 7005024895","VO2 kinetics in subjects differing in aerobic capacity: investigation by spectral analysis",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"5",,508,515,,53,10.1007/BF00635362,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023162436&partnerID=40&md5=fdb506a0e458d24f6ae7ae121c550794",Article,Final,"",Scopus,2-s2.0-0023162436
"Findlay, I.N., Taylor, R., Dargie, H.I., Grant, S., Pettigrew, A.R., Wilson, J.T., Cleland, J.G.F., Elliott, A.T., Fisher, B.M., Gillen, G., Rumley, A.G., Durnin, J.V.G.A.","57221950436; 55628530729; 55256629900; 35553286400; 24543392200; 57198215462; 57207802819; 7201419547; 7403501326; 7005794345; 35307676900; 7006631341","Cardiovascular effects of training for a marathon run in unfit middle aged men",1987,"British Medical Journal (Clinical research ed.)",295,"6597",,521,524,,16,10.1136/bmj.295.6597.521,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023274342&partnerID=40&md5=a6e2b176f3c6610ecfab9d955ada5662",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0023274342
"MacRae, P.G., Spirduso, W.W., Cartee, G.D., Farrar, R.P., Wilcox, R.E.","6701417619; 6701679686; 7006023614; 7005348154; 56240493100","Endurance training effects on striatal D2 dopamine receptor binding and striatal dopamine metabolite levels",1987,"Neuroscience Letters",79,"1-2",,138,144,,78,10.1016/0304-3940(87)90686-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023639596&partnerID=40&md5=4ef8de2c99f1e0f58f883839e3d4dd5a",Article,Final,"",Scopus,2-s2.0-0023639596
"Maskin, C.S., Weber, K.T., Janicki, J.S.","6602175570; 7402658564; 7005910491","Long-term oral enoximone therapy in chronic cardiac failure",1987,"The American Journal of Cardiology",60,"5",,63,67,,24,10.1016/0002-9149(87)90528-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023195006&partnerID=40&md5=99672bc18be455d4ee0f853ff7a5040e",Article,Final,"",Scopus,2-s2.0-0023195006
"Galbo, H., Kjaer, M., Secher, N.H.","7004999683; 26424698800; 7102380830","Cardiovascular, ventilatory and catecholamine responses to maximal dynamic exercise in partially curarized man.",1987,"The Journal of Physiology",389,"1",,557,568,,86,10.1113/jphysiol.1987.sp016672,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023159136&partnerID=40&md5=063bde6dc38f7268aec320e99b50104f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0023159136
"Juneau, M., Rogers, F., De Santos, V., Yee, M., Evans, A., Bohn, A., Haskell, W.L., Taylor, C.B., Debusk, R.F.","7003551578; 7102164183; 57199591986; 24407328200; 55461785900; 24403549400; 56612991500; 55666998300; 7006630641","Effectiveness of self-monitored, home-based, moderate-intensity exercise training in middle-aged men and women",1987,"The American Journal of Cardiology",60,"1",,66,70,,97,10.1016/0002-9149(87)90986-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023258450&partnerID=40&md5=ecd6a894ffa9b54ce626759ad5a04bfe",Article,Final,"",Scopus,2-s2.0-0023258450
"Greenhaff, P.L., Gleeson, M., Whiting, P.H., Maughan, R.J.","7006604087; 55523790700; 56273362300; 35829587300","Dietary composition and acid-base status: limiting factors in the performance of maximal exercise in man?",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,444,450,,32,10.1007/BF00417773,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023252308&partnerID=40&md5=d7946921381125e80216a6351a7ea083",Article,Final,"",Scopus,2-s2.0-0023252308
"Greig, C., Finch, K.M., Jones, D.A., Cooper, M., Sargeant, A.J., Forte, C.A.","7003441733; 6701824849; 7406576993; 7404410514; 7006290848; 7003870123","The effect of oral supplementation with l-carnitine on maximum and submaximum exercise capacity",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,457,460,,57,10.1007/BF00417775,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023241548&partnerID=40&md5=886a599ab558c721ea17863e981be968",Article,Final,"",Scopus,2-s2.0-0023241548
"Nielsen, R., Gwosdow, A.R., Berglund, L.G., Dubois, A.B.","7202361328; 6603954870; 24532778400; 7201768493","The Effect of Temperature and Humidity Levels in a Protective Mask on User Acceptability During Exercise",1987,"American Industrial Hygiene Association Journal",48,"7",,639,645,,52,10.1080/15298668791385336,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023240353&partnerID=40&md5=33595758ed82bbe8e8353c65203106f0",Article,Final,"",Scopus,2-s2.0-0023240353
"Rusko, H., Bosco, C.","7004018248; 7004550799","Metabolic response of endurance athletes to training with added load",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,412,418,,29,10.1007/BF00417768,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023230506&partnerID=40&md5=94014387f5ca23e0c03ca7be6b2eea74",Article,Final,"",Scopus,2-s2.0-0023230506
"Knapik, J.J., Jones, B.H., Meredith, C., Evans, W.J.","7006767186; 7404958545; 7006518911; 55351673700","Influence of a 3.5 day fast on physical performance",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,428,432,,24,10.1007/BF00417770,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023229569&partnerID=40&md5=b8ed0eb4e8eef30483888ce21d71bcc6",Article,Final,"",Scopus,2-s2.0-0023229569
"Poehlman, E.T., Tremblay, A., Marcotte, M., Pérusse, L., Thériault, G., Bouchard, C.","7103388047; 7202202458; 7006342121; 7005230506; 7005966217; 7201418586","Heredity and changes in body composition and adipose tissue metabolism after short-term exercise-training",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,398,402,,29,10.1007/BF00417766,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023205740&partnerID=40&md5=0f05bcc010a7eb8c9a59e924f0c76ba2",Article,Final,"",Scopus,2-s2.0-0023205740
"Armstrong, L.E., Hubbard, R.W., DeLuca, J.P., Christensen, E.L., Kraemer, W.J.","7101900428; 7202298773; 7102873422; 7202966566; 7102360794","Evaluation of a temperate environment test to predict heat tolerance",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"4",,384,389,,11,10.1007/BF00417764,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023161319&partnerID=40&md5=8f5231f813ded990bdb5325258b83c43",Article,Final,"",Scopus,2-s2.0-0023161319
"Bostom, A.G., Bates, E., Mazzarella, N., Block, E., Adler, J.","7005922441; 7101673415; 57193405942; 57196799732; 57196525132","Ergometer modification for combined arm-leg use by lower extremity amputees in cardiovascular testing and training",1987,"Archives of Physical Medicine and Rehabilitation",68,"4",,244,247,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023251093&partnerID=40&md5=130487d1c04ca3b774a75f2986253b51",Article,Final,"",Scopus,2-s2.0-0023251093
"Chow, R.K., Harrison, J.E., Sturtridge, W., Josse, R., Murray, T.M., Bayley, A., Dornan, J., Hammond, T.","7101916081; 7402742203; 7004414252; 7102898075; 7401956416; 55244859900; 57198128382; 57197376563","The effect of exercise on bone mass of osteoporotic patients on fluoride treatment",1987,"Clinical and Investigative Medicine",10,"2",,59,63,,18,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023216710&partnerID=40&md5=dd627f0fa189a28a1023b74f147e5c5f",Article,Final,"",Scopus,2-s2.0-0023216710
"Berry, M.J., McMurray, R.G.","7402662278; 7102681977","Effects of graduated compression stockings on blood lactate following an exhaustive bout of exercise",1987,"American Journal of Physical Medicine",66,"3",,121,132,,110,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023365193&partnerID=40&md5=e800dfb1daf8bdbcb5c01dcc7cbfc96b",Article,Final,"",Scopus,2-s2.0-0023365193
"Ghosh, A.K., Ahuja, A., Khanna, G.L.","57198664628; 7101832837; 7003981896","Distance run as a predictor of aerobic endurance (VO2 max) of sportsmen.",1987,"The Indian journal of medical research",85,"",,680,684,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023352714&partnerID=40&md5=8b03adf5c83bb3a9ce8df27f7b058ea1",Article,Final,"",Scopus,2-s2.0-0023352714
"Magder, S., Sami, M., Ripley, R., Lisbona, R.","7007032510; 55412399100; 6701768075; 7004986183","Comparison of the effects of pindolol and propranolol on exercise performance in patients with angina pectoris",1987,"The American Journal of Cardiology",59,"15",,1289,1294,,7,10.1016/0002-9149(87)90906-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023273738&partnerID=40&md5=5f216e83f60e7d18265fcfe9ea83eaa1",Article,Final,"",Scopus,2-s2.0-0023273738
"Luger, A., Deuster, P.A., Kyle, S.B., Gallucci, W.T., Montgomery, L.C., Gold, P.W., Loriaux, D.L., Chrousos, G.P.","35544522000; 7005157028; 7003926082; 6602747204; 7102056730; 7201814905; 7004572739; 36051235900","Acute Hypothalamic–Pituitary–Adrenal Responses to the Stress of Treadmill Exercise",1987,"New England Journal of Medicine",316,"21",,1309,1315,,433,10.1056/NEJM198705213162105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023238586&partnerID=40&md5=2c17b46b12a962e10c68209b4f219581",Article,Final,"",Scopus,2-s2.0-0023238586
"Plyley, M.J., Shephard, R.J., Davis, G.M., Goode, R.C.","7003612629; 7202263739; 7404343468; 7103088271","Sleep deprivation and cardiorespiratory function - Influence of intermittent submaximal exercise",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,338,344,,57,10.1007/BF00690902,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023150348&partnerID=40&md5=00d76877d27e8a03801212a1ea047a7d",Article,Final,"",Scopus,2-s2.0-0023150348
"Stanley, W.C., Chen, J.D., Lee, W.R., Brooks, G.A.","7101954748; 55864200300; 57219007526; 7202058198","Ventilatory control studied with circulatory occlusion during exercise recovery",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,299,305,,8,10.1007/BF00690896,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023146928&partnerID=40&md5=48768fc95e02aeb4c579e9262020ffb5",Article,Final,"",Scopus,2-s2.0-0023146928
"Maughan, R.J., Fenn, C.E., Gleeson, M., Leiper, J.B.","35829587300; 7004644700; 55523790700; 57225464361","Metabolic and circulatory responses to the ingestion of glucose polymer and glucose/electrolyte solutions during exercise in man",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,356,362,,29,10.1007/BF00690905,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023140297&partnerID=40&md5=6332725939fba8e9e43c95b3075bbd00",Article,Final,"",Scopus,2-s2.0-0023140297
"Greenhaff, P.L., Gleeson, M., Maughan, R.J.","7006604087; 55523790700; 35829587300","The effects of dietary manipulation on blood acid-base status and the performance of high intensity exercise",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,331,337,,71,10.1007/BF00690901,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023136448&partnerID=40&md5=d04bde7cd0a353930c34c34130b2dad5",Article,Final,"",Scopus,2-s2.0-0023136448
"Wolf, J.P., Nguyen, N.U., Dumoulin, G., Baulay, A., Berthelay, S.","7403565281; 7403180379; 7003622747; 6507825865; 7003723309","Relative effects of the supine posture and of immersion on the renin aldosterone system at rest and during exercise",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,345,349,,3,10.1007/BF00690903,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023111342&partnerID=40&md5=8cadf9c7d79c22b814788b886bc65e52",Article,Final,"",Scopus,2-s2.0-0023111342
"Morton, R.H., Gass, G.C.","7201714707; 7003801207","A systems model approach to the ventilatory anaerobic threshold",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,367,373,,4,10.1007/BF00690907,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023090884&partnerID=40&md5=a746b5afe90fdba714f939b9fe031d3c",Article,Final,"",Scopus,2-s2.0-0023090884
"Toussaint, H.M., Meulemans, A., de Groot, G., Hollander, A.P., Schreurs, A.W., Vervoorn, K.","7005429858; 7005813784; 7005401925; 7101605088; 7005034678; 6507450850","Respiratory valve for oxygen uptake measurements during swimming",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,363,366,,55,10.1007/BF00690906,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023090469&partnerID=40&md5=a035c421203e56611af5773408f5a59f",Article,Final,"",Scopus,2-s2.0-0023090469
"Kullmer, T., Kindermann, W., Singer, M.","6603401779; 7005535704; 57197038163","Effects on physical performance of intrinsic sympathomimetic activity (ISA) during selective β1-blockade",1987,"European Journal of Applied Physiology and Occupational Physiology",56,"3",,292,298,,17,10.1007/BF00690895,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023090468&partnerID=40&md5=0ec1e61816b202a94279b72102ebe398",Article,Final,"",Scopus,2-s2.0-0023090468
"Powers, H.J., Bates, C.J., Eccles, M., Brown, H., George, E.","7006130182; 35467807500; 57213630779; 57198417520; 57197560173","Bicycling performance in Gambian children: Effects of supplements of riboflavin or ascorbic acid",1987,"Human Nutrition: Clinical Nutrition",41,"1",,59,69,,12,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023115457&partnerID=40&md5=fd5175a864899dc2e3fc7690844e9201",Article,Final,"",Scopus,2-s2.0-0023115457
